#{"t_start": 1715981463.4450183, "env_id": "ContinuousJumps-v0"}
r,l,t
0.192984,6,1.391875
-1.188601,5,1.87698
1.728601,5,2.329104
-0.809321,6,2.886283
0.703451,4,3.243557
-2.006522,5,3.721772
-4.008644,6,4.240084
-6.23582,8,4.993128
5.668528,8,5.706633
2.944288,5,6.186684
3.169015,4,6.568188
-4.996663,6,7.12151
-2.687339,3,7.41251
-3.048536,4,7.781877
5.285454,7,8.40474
4.14744,6,8.980698
7.500424,9,9.775687
-3.470873,5,10.234928
1.543808,4,10.619913
-0.725949,3,10.892192
4.310505,5,11.361427
1.763763,8,12.075219
2.371381,7,12.828511
7.268802,8,13.566278
6.378012,15,14.91639
3.829917,5,15.37763
7.64067,8,16.083718
3.206569,8,16.805421
1.591394,4,17.16188
4.750824,6,17.730406
3.176091,4,18.076073
-3.021278,6,18.606643
-3.864181,7,19.261664
-1.075313,5,19.709835
1.182994,4,20.083479
11.364169,13,21.271629
-4.068634,8,21.999761
1.782142,8,22.726559
1.084583,7,23.370104
4.472659,7,23.975251
4.254171,9,24.898024
-1.20344,3,25.180573
2.343743,6,25.716975
1.36244,6,26.298451
6.555259,9,27.127368
1.887541,5,27.57724
2.213066,10,28.503561
-3.223581,5,28.940041
-12.763921,17,30.45151
3.695462,7,31.099712
-3.601058,5,31.584649
5.504697,9,32.415313
-1.357542,4,32.784446
-2.832964,8,33.520942
3.510084,5,33.947848
1.919741,4,34.31736
7.380831,9,35.14626
4.556197,8,35.832233
4.06446,10,36.856146
-2.30313,6,37.395233
-1.024402,5,37.855498
-0.514529,5,38.325124
-0.897006,4,38.683575
3.587494,6,39.213461
-1.766707,5,39.671206
3.222622,5,40.138768
1.083831,4,40.497926
3.652603,8,41.238664
3.442308,4,41.601635
4.597387,5,42.040613
-4.784779,8,42.769479
2.80162,9,43.600682
-3.872409,5,44.049822
1.133391,6,44.595696
-4.429761,5,45.02277
1.86235,5,45.477988
3.088249,5,45.93627
-1.868564,6,46.486322
15.198372,19,48.268598
2.411061,6,48.839678
4.389152,7,49.463089
-1.302549,4,49.820177
-1.900108,6,50.346214
0.359872,4,50.713192
9.571795,10,51.638869
-2.198323,5,52.095858
2.381699,5,52.549982
4.473825,5,53.019781
3.841679,9,53.826855
1.880235,5,54.289224
0.576502,6,54.836699
4.631257,10,55.773189
17.198083,20,57.557987
3.061158,12,58.640454
6.059746,9,59.455013
2.440428,5,59.981838
3.225828,7,60.624625
18.352823,20,62.386299
6.154805,10,63.309404
6.008332,9,64.127181
6.064175,7,64.769148
-5.449707,20,66.548957
-3.905261,12,67.609071
-1.268446,5,68.068278
6.620769,8,68.804307
4.346766,6,69.396159
0.691532,3,69.646567
8.412272,9,70.470501
12.883172,17,72.043242
5.621313,8,72.74745
6.271239,8,73.462426
7.66429,14,74.744075
14.914004,20,76.551363
-2.346143,6,77.103959
-3.650853,10,78.022244
2.621623,6,78.562721
15.787674,20,80.347693
3.275215,5,80.774741
2.952741,5,81.222297
-0.583035,4,81.57177
2.338142,5,82.032771
39.731449,20,83.945701
19.118958,20,85.72113
4.25361,12,86.768924
-1.506631,4,87.158658
13.457297,17,88.652498
-1.711199,4,89.022247
1.432576,4,89.391334
-2.467659,5,89.832289
-0.054468,6,90.36132
0.368989,5,90.852089
1.389024,6,91.389621
-2.382421,7,92.036056
-0.098241,4,92.393317
-0.390624,6,92.933177
3.623869,10,93.800069
-1.656163,7,94.497579
2.583406,8,95.192583
-1.558849,3,95.449144
-2.639876,8,96.164233
-1.299291,5,96.631621
-0.892304,6,97.159212
2.776277,7,97.799915
0.43644,6,98.350559
0.063405,4,98.698308
15.004983,20,100.489928
-2.870396,5,100.935869
-6.145885,9,101.720533
3.288867,5,102.166672
-1.932297,7,102.744864
-1.810425,8,103.425153
0.426233,6,103.943525
5.054729,7,104.567953
3.308299,4,104.914573
4.144482,8,105.629702
15.711908,20,107.439742
0.435303,8,108.154159
-2.297573,7,108.771453
3.227756,10,109.656213
0.222458,13,110.759464
15.738222,20,112.537605
-1.655295,9,113.341692
0.005776,6,113.851252
-2.783184,9,114.621505
-1.568086,6,115.166808
8.076573,10,116.02335
-0.694969,4,116.381936
-0.640404,10,117.366177
2.893337,5,117.786418
4.433917,8,118.46029
0.630041,6,119.011144
-1.753883,7,119.613523
13.5772,20,121.342891
0.159908,5,121.777735
-0.34403,12,122.82854
-1.854204,5,123.266538
-0.753309,5,123.678062
17.354915,20,125.429119
7.416458,7,126.032454
4.129472,7,126.648771
2.851728,9,127.426929
2.831007,8,128.115462
5.429045,9,128.996274
0.228876,6,129.511284
2.36541,7,130.12667
13.619114,20,131.872931
-2.773497,7,132.476284
3.101531,6,132.993185
-0.853826,5,133.449715
2.260633,6,133.984529
15.86774,20,135.725056
-1.562223,4,136.104285
37.655669,20,137.885695
2.843384,5,138.339165
-1.221133,6,138.882973
5.979044,7,139.510398
1.060718,10,140.488839
2.069693,6,141.009662
-1.494313,9,141.77529
11.317461,15,143.022413
2.982096,8,143.730747
16.622711,20,145.428612
-0.071294,6,145.964364
38.455989,20,147.640697
-0.465888,7,148.23512
5.506503,15,149.607694
-0.137526,5,150.022931
0.110395,6,150.527369
18.525517,20,152.368417
13.356498,20,154.076958
-1.765218,9,154.857835
-0.82527,7,155.492951
-1.575288,7,156.106913
-3.03384,7,156.705856
0.921234,6,157.234654
0.231398,7,157.880234
38.78231,20,159.610875
16.95574,20,161.303694
13.401889,18,162.963225
-10.336782,17,164.405952
4.561116,8,165.107036
2.216904,5,165.530929
17.268446,20,167.228611
-0.390656,5,167.681197
18.051962,20,169.402475
-3.819394,8,170.103493
7.364665,19,171.680535
5.356598,20,173.469021
6.388671,11,174.415813
1.832753,7,175.03793
14.082209,20,176.804006
2.481538,4,177.138086
5.308798,11,178.089273
-2.293087,7,178.720802
3.355187,7,179.310307
-1.245349,5,179.752484
14.851394,20,181.448189
37.351703,20,183.160198
0.311187,7,183.78728
18.295794,20,185.61385
18.642737,20,187.342189
18.285066,19,188.945283
15.819839,20,190.614807
-1.540159,7,191.216461
0.137111,4,191.572149
-1.437294,7,192.183337
-0.690596,6,192.705488
-1.633476,5,193.140378
-2.214967,11,194.107171
-1.337895,6,194.617013
6.301576,20,196.386302
-2.772705,6,196.90935
-1.262838,5,197.311329
-0.222972,7,197.928555
0.911815,7,198.547743
-0.286955,7,199.126597
-1.541639,6,199.67325
-3.535997,7,200.277928
-1.403287,5,200.718079
-5.487112,6,201.255018
19.200857,20,202.979966
7.082968,16,204.361139
3.297685,8,205.076099
17.682432,20,206.86849
1.859428,15,208.198909
-1.101116,5,208.678288
-1.115282,4,209.026282
0.062026,6,209.552278
-3.643649,8,210.234796
-1.139218,10,211.094965
3.248219,7,211.675115
18.451072,20,213.379951
-0.155252,14,214.613487
0.339216,9,215.416152
-2.473797,3,215.684153
12.282216,14,216.93439
-0.064582,4,217.303179
17.227493,20,219.107756
16.565153,20,220.816362
1.016418,5,221.276258
16.484217,20,222.986811
-1.352625,9,223.770184
-1.061434,6,224.292484
-1.055945,5,224.738301
16.597409,20,226.428248
-1.207262,5,226.864034
-2.908135,6,227.402684
-0.413848,4,227.747399
18.121271,20,229.576334
-6.242619,14,230.769528
0.66097,5,231.215526
17.729408,20,232.958897
-0.376824,5,233.382854
14.041554,20,235.032276
-6.861445,20,236.714601
-4.617712,10,237.566669
15.616084,20,239.314202
-0.27125,11,240.356215
2.772105,12,241.360101
-4.903479,7,241.959915
19.276886,20,243.61828
-0.228352,7,244.210287
0.596956,6,244.72284
9.832251,20,246.451567
-5.534488,12,247.465006
0.455519,7,248.068413
-1.733033,3,248.335808
-1.651188,3,248.60103
-0.263817,6,249.12645
9.424946,20,250.847753
-3.183317,9,251.720073
5.496407,20,253.4594
9.335117,20,255.185067
0.170606,4,255.545138
-3.815198,15,256.86986
0.179854,6,257.421426
0.650351,8,258.186216
-1.016667,5,258.618584
-8.583759,14,259.865605
13.089817,20,261.570614
1.753387,6,262.075994
-0.826521,4,262.549985
15.157229,20,264.241773
9.020153,18,265.794564
-1.451187,5,266.215191
-3.966654,10,267.100525
-1.331826,4,267.454893
-0.968313,7,268.043814
0.564908,7,268.659182
-1.695299,4,269.013459
5.665847,10,269.833738
-2.232988,8,270.530261
-19.137913,20,272.2153
2.011432,11,273.171595
2.831699,4,273.618683
18.919682,20,275.293321
36.291305,20,276.996101
15.348288,20,279.846844
-1.70334,7,280.437503
0.688473,8,281.113649
-1.295145,8,281.806051
-0.322892,6,282.333655
1.719407,8,283.019195
-4.409522,17,284.436198
11.982296,20,286.190202
-8.507164,20,287.879222
-1.054081,10,288.705167
-6.02865,17,290.165641
-6.039341,10,291.01632
1.837955,8,291.660334
-1.291318,6,292.190888
-2.632256,5,292.612594
-0.07048,6,293.100798
0.843768,6,293.629327
18.490736,20,295.331981
6.951617,14,296.668181
1.942741,6,297.171879
1.391745,6,297.701115
-1.876296,8,298.398137
0.743259,6,298.909524
3.889912,10,299.791758
-5.148245,9,300.566139
19.036493,20,302.25109
-0.431186,6,302.772615
-3.992346,7,303.369887
-1.206205,12,304.357859
0.863637,6,304.883245
-1.337042,3,305.148225
-0.93263,16,306.558788
12.591475,20,308.291538
-0.066087,4,308.645913
-1.35838,7,309.223588
-7.445275,15,310.487463
12.674164,20,312.224289
0.927649,3,312.493992
6.108347,15,313.749386
12.403169,20,315.477288
-2.987491,11,316.424748
1.601504,10,317.287218
9.968186,20,319.057848
38.754043,20,320.769308
-1.001548,5,321.179209
3.62281,7,321.792098
3.093301,6,322.354716
5.776963,20,324.043414
2.72587,13,325.186569
6.396014,10,326.080841
3.36678,6,326.594103
-1.793332,5,327.017992
14.180914,20,328.746397
-4.042109,9,329.536691
2.854686,7,330.227001
-1.132474,6,330.723985
15.109215,20,332.440088
-0.942568,5,332.865986
16.184632,20,334.579985
-0.212011,6,335.103986
-1.562373,7,335.711039
18.568397,20,337.422191
-3.156954,7,338.025516
-0.95806,8,338.729469
0.72962,7,339.337657
0.107695,3,339.609611
11.786917,20,341.477
-17.819828,20,343.39155
-1.812278,5,343.859369
14.008747,20,345.710947
-0.967161,6,346.259996
-3.737144,11,347.213669
-0.059156,3,347.492041
-2.283299,4,347.875006
1.479924,6,348.425499
-4.997137,20,350.158569
2.977536,7,350.781813
-2.099495,7,351.391078
6.974907,20,354.078341
-1.347056,5,355.015473
16.679108,20,356.697453
37.183129,20,358.408117
-1.185593,5,358.824726
1.352517,9,359.574981
-0.298814,4,359.92636
-0.763924,4,360.278554
-1.431891,5,360.69926
5.190121,18,362.218453
0.46908,7,362.870606
-0.326583,6,363.471881
-0.077537,7,364.111214
-0.171335,9,364.924245
-0.880449,4,365.437371
1.964719,5,365.927453
-1.242619,5,366.368373
-0.575095,6,366.936914
0.952107,7,367.622332
17.554006,20,369.388605
2.671193,6,369.950668
