#{"t_start": 1715981463.4390821, "env_id": "ContinuousJumps-v0"}
r,l,t
3.568502,5,1.268431
-0.165274,5,1.741634
0.697197,8,2.491601
-0.841668,4,2.85322
3.734608,7,3.499309
-8.336357,11,4.499045
2.851172,7,5.158963
-6.249372,7,5.783583
-2.286104,4,6.152221
-3.412473,11,7.197903
3.272918,6,7.748739
4.412014,9,8.58688
3.80767,5,9.056353
9.82345,10,9.921293
1.291219,9,10.777946
0.272078,6,11.318372
-1.180562,4,11.684433
8.623395,11,12.784391
2.949653,4,13.175667
2.316814,6,13.723272
2.341593,7,14.353154
8.901215,9,15.176126
28.762724,20,16.970124
-0.896907,5,17.428043
5.08556,13,18.567883
5.341453,7,19.2176
-0.185919,7,19.878075
3.169035,8,20.609823
0.246759,6,21.138627
-4.555307,5,21.594965
3.325387,4,21.965874
4.767379,8,22.691709
1.334814,13,23.851486
6.105451,10,24.864812
-4.143924,7,25.513971
6.180076,7,26.151098
5.489,7,26.808742
2.831297,10,27.745625
-11.101492,14,29.016102
-0.269928,6,29.562246
5.76236,9,30.339558
-1.337249,7,30.965529
1.766845,3,31.277043
-0.319267,3,31.551583
-1.460554,4,31.930231
1.815098,4,32.292247
-2.702023,4,32.661321
-2.029636,5,33.129895
-1.362603,15,34.484981
-2.31548,7,35.102145
2.625244,8,35.798928
-0.137284,4,36.276
-1.035083,11,37.250625
3.561367,6,37.821296
-0.732606,4,38.202559
10.229687,11,39.180092
0.850588,5,39.636637
9.033308,12,40.754813
2.806379,9,41.568167
0.51612,6,42.127044
17.684628,18,43.75689
-3.49776,5,44.215788
16.455351,17,45.72313
-0.676728,4,46.114603
-3.323059,10,46.994457
-1.392831,5,47.443114
3.961443,6,48.074337
4.025539,6,48.624831
12.540751,20,50.412178
-5.803318,8,51.146287
-2.359098,4,51.524611
1.826583,4,51.885195
-1.082862,5,52.317605
0.117226,3,52.618256
-1.695889,4,52.975505
0.72701,6,53.533808
3.080845,9,54.374758
-1.480471,6,54.903573
-2.153427,8,55.619748
6.694629,9,56.451892
-1.203034,5,56.912399
4.471827,7,57.523428
1.451398,7,58.14898
5.928902,7,58.809425
5.2963,8,59.520893
-0.347802,6,60.154726
3.488782,6,60.68953
6.664753,14,61.929619
0.899774,5,62.353295
1.882387,8,63.097461
-0.647094,5,63.554369
0.337774,3,63.826271
0.533683,6,64.385366
-3.951093,17,65.898057
9.534492,9,66.703059
-1.327433,5,67.148694
1.70577,7,67.764738
3.432791,6,68.30354
-2.418857,3,68.581195
-1.401561,5,69.070842
2.735898,7,69.732059
13.853542,14,70.983443
3.304585,7,71.683022
-1.683575,6,72.209105
-4.212245,11,73.178257
7.903181,14,74.430202
-2.639213,5,74.901691
4.466066,6,75.437842
7.011275,8,76.135722
-3.052078,7,76.818362
1.258452,5,77.269831
10.595939,14,78.529659
-0.872142,11,79.507047
-1.276336,4,79.888047
