#{"t_start": 1715981463.4329922, "env_id": "ContinuousJumps-v0"}
r,l,t
5.815136,10,1.708742
-3.665793,5,2.189222
6.902923,8,2.930171
1.176554,6,3.455389
2.298333,7,4.092537
0.746946,3,4.372946
2.677347,4,4.745946
4.363001,13,5.938926
2.772574,5,6.409891
-3.807532,4,6.784869
-5.413553,6,7.344736
-3.129895,6,7.905011
6.136812,7,8.552199
3.462737,6,9.122646
-2.063136,16,10.550498
-2.501059,4,10.934219
11.260771,11,11.928711
-0.368445,3,12.197307
-2.369622,7,12.97283
-6.084575,8,13.689363
-1.781268,4,14.049992
3.779697,7,14.68986
-3.768671,6,15.241675
10.237769,10,16.126921
2.409733,9,16.937334
-6.437239,7,17.584136
-0.24573,5,18.01946
-0.272002,5,18.453178
-0.564915,3,18.752958
0.057363,5,19.184166
2.061719,6,19.75573
1.846584,7,20.395026
3.326377,5,20.857132
5.24806,7,21.482293
2.474343,7,22.132349
7.521556,9,22.938333
9.165853,8,23.659559
2.033891,4,24.018396
-1.747843,5,24.570727
1.663163,6,25.11272
8.679224,9,25.960279
1.135934,7,26.600515
25.724748,20,28.416233
5.446401,6,28.982256
3.646589,9,29.786304
10.680513,9,30.584801
2.76909,5,31.031734
-1.351697,5,31.516111
1.655577,5,31.997754
-2.203986,3,32.248352
-1.538916,4,32.618158
4.691856,9,33.453241
-0.739974,6,33.989914
-6.13594,11,34.977964
9.110677,10,35.87539
-1.901282,5,36.421415
-2.255608,4,36.79902
3.476661,6,37.339047
4.31689,6,37.8979
-0.122882,4,38.268104
-8.090537,11,39.255618
4.165404,5,39.725233
2.983181,6,40.272494
-4.343097,6,40.820325
2.989425,7,41.442058
-1.73047,7,42.082631
6.780228,10,42.970766
4.34573,5,43.434895
15.267341,12,44.538166
-3.786736,6,45.06581
-1.105737,3,45.333882
0.61787,7,45.981179
-2.305453,7,46.609718
8.348597,8,47.330567
4.910608,7,48.041446
-1.525295,6,48.591119
-0.777852,5,49.051028
1.77115,8,49.75272
4.776695,6,50.289125
2.014041,6,50.834437
12.792751,17,52.403951
3.479618,5,52.85279
-0.598429,7,53.500193
-1.641135,4,53.868855
1.556753,5,54.331362
5.986682,7,54.980716
2.094798,5,55.41792
-2.957796,5,55.895182
3.136419,6,56.417981
3.320374,4,56.799511
8.711225,10,57.701699
3.661884,9,58.504294
-4.508255,6,59.04322
7.368243,14,60.388816
5.720264,10,61.267396
3.702257,6,61.796751
-0.687315,8,62.519297
3.479875,7,63.16369
-2.106231,6,63.702065
-1.401364,7,64.350768
0.855172,5,64.813379
0.68841,6,65.337266
1.189975,3,65.605696
5.566776,7,66.222728
11.209056,20,68.010687
-1.971562,4,68.369635
3.257438,6,68.92733
-1.787003,4,69.330195
4.211106,9,70.135193
4.032534,7,70.761991
13.184269,17,72.364424
3.701606,6,72.883482
-1.66569,8,73.6056
2.4112,5,74.046055
-2.667845,7,74.686935
-0.830743,5,75.146403
1.300893,5,75.59193
9.015755,8,76.31192
-3.666421,7,76.968321
12.040126,12,78.065246
-1.528963,6,78.607728
1.949054,4,78.955171
-0.421448,8,79.683136
-1.075272,5,80.12245
11.426525,11,81.075812
1.176931,7,81.703794
1.510808,9,82.518729
-1.09154,4,82.991906
1.956641,15,84.338406
-1.573238,4,84.69589
16.357103,20,86.448995
3.548711,6,86.992605
-0.253703,6,87.535722
-3.138039,20,89.323359
