rank,name_cn,location
1,麻省理工学院,United States
2,剑桥大学,United Kingdom
3,牛津大学,United Kingdom
4,哈佛大学,United States
5,斯坦福大学,United States
6,帝国理工学院,United Kingdom
7,苏黎世联邦理工大学（瑞士联邦理工学院）,Switzerland
8,新加坡国立大学,Singapore
9,伦敦大学学院,United Kingdom
10,加州大学伯克利分校,United States
11,芝加哥大学,United States
12,宾夕法尼亚大学,United States
13,康奈尔大学,United States
14,墨尔本大学,Australia
15,加州理工大学（Caltech),United States
16,耶鲁大学,United States
17,北京大学,China (Mainland)
17,普林斯顿大学,United States
19,新南威尔士大学（UNSW）,Australia
19,悉尼大学,Australia
21,多伦多大学,Canada
22,爱丁堡大学,United Kingdom
23,哥伦比亚大学,United States
24, 巴黎科学艺术人文大学,France
25,清华大学,China (Mainland)
26,南洋理工大学,Singapore
26,香港大学（HKU）,Hong Kong SAR
28,约翰霍普金斯大学,United States
28,东京大学,Japan
29,加州大学洛杉矶分校,United States
30,麦吉尔大学,Canada
32,曼彻斯特大学,United Kingdom
33,密歇根大学,United States
34,澳大利亚国立大学（ANU),Australia
34,不列颠哥伦比亚大学,Canada
36,洛桑联邦理工学院（EPFL),Switzerland
37,慕尼黑工业大学,Germany
38,巴黎理工学院,France
38,纽约大学（NYU）,United States
40,伦敦国王学院,United Kingdom
41,首尔国立大学,South Korea
42,蒙纳士大学,Australia
43,昆士兰大学（UQ）,Australia
44,浙江大学,China (Mainland)
45,伦敦经济政治学院,United Kingdom
46,京都大学,Japan
47,代尔夫特理工大学,Netherlands
47,西北大学,United States
47,香港中文大学,Hong Kong SAR
50,复旦大学,China (Mainland)
51,上海交通大学,China (Mainland)
52,卡内基梅隆大学,United States
53,阿姆斯特丹大学,Netherlands
54,路德维希 - 马克西米利安 - 慕尼黑大学,Germany
55,布里斯托大学,United Kingdom
56,韩国科学技术研究所,South Korea
57,杜克大学,United States
58,德克萨斯大学奥斯汀分校,United States
59,索邦大学,France
60,香港科技大学（HKUST),Hong Kong SAR
61,鲁汶大学,Belgium
