rank,name_cn,location
62,加州大学圣地亚哥分校,United States
63,华盛顿大学,United States
64,伊利诺伊大学香槟分校,United States
65,香港理工大学,Hong Kong SAR
65,马来亚大学（UM）,Malaysia
67,华威大学,United Kingdom
68,奥克兰大学,New Zealand
69,台湾大学,Taiwan
70,香港城市大学,Hong Kong SAR
71,巴黎萨克雷大学,France
72,西澳大学（UWA）,Australia
73,布朗大学,United States
73,皇家理工学院,Sweden
75,利兹大学,United Kingdom
76,格拉斯哥大学,United Kingdom
76,延世大学,South Korea
78,杜伦大学,United Kingdom
79,高丽大学,South Korea
80,大阪大学,Japan
81,都柏林三一学院,Ireland
81,南安普敦大学,United Kingdom
83,宾夕法尼亚州立大学,United States
84,伯明翰大学,United Kingdom
85,隆德大学,Sweden
85,圣保罗大学,Brazil
87,罗蒙诺索夫莫斯科国立大学,Russia
87,鲁普莱希特-卡尔斯-海德堡大学,Germany
89,阿德莱德大学,Australia
90,悉尼科技大学（UTS）,Australia
91,东京工业大学,Japan
91,苏黎世大学,Switzerland
93,波士顿大学,United States
93,墨西哥国立自治大学,Mexico
95,布宜诺斯艾利斯大学,Argentina
95,圣安德鲁斯大学,United Kingdom
97,乔治亚理工学院(Georgia Tech),United States
98,柏林自由大学,Germany
99,普渡大学,United States
100,浦项科技大学,South Korea
100,诺丁汉大学,United Kingdom
102,威斯康星大学麦迪逊分校,United States
103,智利天主教大学,Chile
104,谢菲尔德大学,United Kingdom
105,乌普萨拉大学,Sweden
106,亚琛工业大学,Germany
107,哥本哈根大学,Denmark
107,乌得勒支大学,Netherlands
109,阿尔托大学,Finland
110,纽卡斯尔大学,United Kingdom
111,阿尔伯塔大学,Canada
112,滑铁卢大学,Canada
113,东北大学,Japan
114,韦仕敦大学（西安大略大学）,Canada
115,赫尔辛基大学,Finland
116,南加州大学,United States
117,奥斯陆大学,Norway
118,斯德哥尔摩大学,Sweden
118,加州大学戴维斯分校,United States
119,卡尔斯鲁厄理工学院,Germany
120,柏林洪堡大学,Germany
121,丹麦技术大学,Denmark
122,兰卡斯特大学,United Kingdom
123,,Italy
124,米兰理工大学,Netherlands
124,埃因霍芬理工大学,Switzerland
126,巴塞尔大学,Netherlands
126,莱顿大学,Switzerland
128,伯尔尼大学,Switzerland
129,日内瓦大学,Sweden
130,查尔姆斯理工大学,Australia
130,麦考瑞大学,Austria
132,维也纳大学,United States
134,北卡罗来纳大学教堂山,Italy
134,萨皮恩扎 - 罗马大学,United States
136,德州农工大学,United States
137,密歇根州立大学,Malaysia
137,马来西亚理科大学（USM）,China (Mainland)
139,中国科学技术大学,Netherlands
140,格罗宁根大学,Australia
141,皇家墨尔本理工大学,China (Mainland)
141,南京大学,Canada
143,蒙特利尔大学,Denmark
143,奥胡斯大学,Saudi Arabia
145,阿卜杜勒·阿齐兹国王大学（KAU）,United Kingdom
145,伦敦大学皇后玛丽学院（QMUL）,United States
145,赖斯大学,South Korea
148,成均馆大学,United Kingdom
149,巴斯大学,India
149,印度理工学院孟买分校,Spain
151,巴塞罗那自治大学,United States
151,俄亥俄州立大学,Netherlands
153,瓦赫宁根大学,United Kingdom
154,埃克塞特大学,Italy
154,博洛尼亚大学,United Kingdom
154,卡迪夫大学,Germany
154,柏林工业大学,United States
158,华盛顿大学在圣路易斯,Malaysia
159,马来西亚博特拉大学（UPM）,Belgium
159,根特大学,Chile
159,智利大学,Malaysia
162,马来西亚国民大学（UKM）,Australia
163,伍伦贡大学,United States
164,加州大学圣芭芭拉分校,South Korea
164,汉阳大学,Japan
164,九州大学,Spain
166,巴塞罗那大学,United States
167,埃默里大学,United Kingdom
168,约克大学,United States
169,佛罗里达大学,United States
169,马里兰大学，学院公园,United Kingdom
171,雷丁大学,Spain
171,马德里康普顿斯大学（UCM）,Ireland
173,都柏林大学,Qatar
173,卡塔尔大学,Australia
173,纽卡斯尔大学,South Africa
176,开普敦大学,Netherlands
176,鹿特丹伊拉斯谟大学,Japan
176,名古屋大学,United Kingdom
179,利物浦大学,United States
180,亚利桑那州立大学,Saudi Arabia
180,法赫德法国石油和矿物大学（KFUPM）,Belgium
182,法语天主教鲁汶大学,Canada
183,卡尔加里大学,Australia
184,科廷大学,Austria
184,维也纳技术大学,Mexico
184,蒙特雷科技大学,France
187,里昂高等师范学院,Sweden
188,哥德堡大学,Malaysia
189,马来西亚工艺大学（UTM）,Canada
189,麦克马斯特大学,Australia
189,昆士兰科技大学（QUT）,Belgium
192,布鲁塞尔自由大学,Germany
192,弗莱堡大学,France
194,国立路桥学校,China (Mainland)
195,武汉大学,United States
196,明尼苏达大学,Japan
197,北海道大学,India
198,印度理工学院德里分校,Colombia
199,洛斯安第斯哥伦比亚大学,Spain
199,马德里自治大学,Japan
202,早稻田大学,United Kingdom
203,贝尔法斯特女王大学,Saudi Arabia
203,沙特国王大学（KSU）,Canada
205,渥太华大学,Germany
206,汉堡大学,New Zealand
207,奥塔哥大学,Netherlands
208,阿姆斯特丹自由大学,United Kingdom
209,阿伯丁大学,Canada
210,女王大学,Netherlands
211,特温特大学,Thailand
212,朱拉隆功大学,United Kingdom
213,拉夫堡大学,Germany
214,蒂宾根大学,Japan
215,庆应义塾大学,Israel
216,特拉维夫大学,China (Mainland)
217,同济大学,Taiwan
218,国立阳明交通大学,United Kingdom
219,苏塞克斯大学,Italy
220,帕多瓦大学（UNIPD）,Brazil
220,金边大学,Switzerland
222,洛桑大学,Netherlands
222,雷德布德大学奈梅亨,United States
224,匹兹堡大学,United States
225,罗切斯特大学,India
226,印度科学研究所班加罗尔,Lebanon
226,贝鲁特美国大学（AUB）,Colombia
228,哥伦比亚国立大学,Taiwan
229,国立成功大学,Germany
230,埃尔朗根-纽伦堡大学,Kazakhstan
230,哈拉克国立大学,United Arab Emirates
232,哈利法大学,Germany
233,乔治奥古斯特哥廷根大学,Australia
233,迪肯大学,Taiwan
235,国立清华大学,United Kingdom
236,赫里瓦特大学,France
237,巴黎大学,United States
237,达特茅斯学院,Indonesia
239,印度尼西亚大学,New Zealand
239,梅西大学,Germany
241,波恩大学,New Zealand
242,惠灵顿维多利亚大学,Australia
243,乐卓博大学,Australia
244,格里菲斯大学,United Kingdom
245,萨里大学,United States
246,马萨诸塞大学，阿默斯特,Germany
246,达姆施塔特技术大学,Germany
248,德累斯顿工业大学,Czech Republic
248,布拉格查理大学,Belgium
250,安特卫普大学,New Zealand
251,怀卡托大学,Israel
252,希伯来大学,Italy
253,都灵理工大学,Portugal
254,波尔图大学,Macau SAR
255,澳门大学,United States
256,凯斯西储大学,China (Mainland)
256,哈尔滨工业大学,Netherlands
256,马斯特里赫特大学,New Zealand
259,坎特伯雷大学,Belgium
260,布鲁塞尔大学,United States
261,弗吉尼亚大学,United States
262,范德比尔特大学,Poland
263,华沙大学,Indonesia
264,加札马达大学,United States
264,科罗拉多大学博尔德分校,South Africa
266,威特沃特斯兰德大学,South Korea
266,蔚山国立科学技术院,Portugal
268,里斯本大学,Sweden
268,林雪平大学,United States
268,加州大学欧文分校,Germany
271,科隆大学,India
272,印度理工学院克勒格布尔分校,China (Mainland)
272,北京师范大学,United Kingdom
274,莱斯特大学,United States
275,,China (Mainland)
276,北卡罗来纳州立大学,Italy
276,华中科技大学,United Kingdom
278,米兰大学,India
278,思克莱德大学,United States
280,,Spain
281,印度理工学院坎普尔分校,Indonesia
281,迈阿密大学,Norway
283,纳瓦拉大学,South Africa
284,万隆理工学院,Malaysia
285,卑尔根大学,India
285,斯泰伦博斯大学,Australia
285,泰莱大学,United States
285,印度理工学院马德拉斯分校,China (Mainland)
289,斯温本科技大学,Ireland
290,亚利桑那大学,United Arab Emirates
291,天津大学,China (Mainland)
292,爱尔兰国立高威大学,Norway
292,阿联酋大学,Ireland
294,西安交通大学,France
295,挪威科技大学,Hong Kong SAR
295,考克大学,United Kingdom
297,格勒诺布尔阿尔卑斯大学（UGA）,United States
298,香港浸会大学,Canada
299,东英吉利大学（UEA）,United States
300,乔治城大学,Malaysia
301,戴尔豪斯大学,China (Mainland)
302,罗格斯大学 - 新泽西州立大学新不伦瑞克分校,Germany
302,UCSI大学,United States
304,南方科技大学,Poland
304,法兰克福大学,United States
306,弗吉尼亚理工学院（Virginia Tech）,South Africa
307,雅盖隆大学,South Korea
307,圣母大学,United Kingdom
307,约翰内斯堡大学,Malaysia
307,大邱庆北科学技术院 (DGIST),Australia
310,斯旺西大学,Qatar
310,国油大学（Petronas）,Spain
312,斯马尼亚大学,Germany
313,Hamad bin Khalifa University,United States
313,庞培法布拉大学,Finland
315,斯图加特大学,Pakistan
315,印第安纳大学伯明顿分校,Russia
315,奥卢大学,Finland
318,奎德阿萨姆大学,Canada
319,圣彼得堡国立大学,Russia
319,图尔库大学,France
319,西蒙弗雷泽大学,Spain
322,鲍曼莫斯科国立技术大学,Canada
323,巴黎政治学院,China (Mainland)
323,马德里大学卡洛斯三世大学,United States
323,维多利亚大学,South Africa
326,中山大学,Australia
326,伊利诺伊大学芝加哥分校,Denmark
328,比勒陀利亚大学,United Kingdom
328,南澳大学（UniSA）,South Korea
328,丹麦南部大学,Switzerland
328,伦敦大学城市学院,France
332,,South Korea
332,光州科技学院（GIST）,United States
334,提契诺大学,"Iran, Islamic Republic of"
335,巴黎第一大学,Italy
336,庆熙大学,Denmark
336,加州大学圣克鲁兹分校,Turkey
336,谢里夫理工大学,Peru
336,那不勒斯腓特烈二世大学,United Kingdom
340,奥尔堡大学,China (Mainland)
340,中东技术大学,United States
342,秘鲁天主大学,Russia
343,肯特大学,United Kingdom
344,北京理工大学,Portugal
345,乔治华盛顿大学,Indonesia
345,俄罗斯人民友谊大学,Canada
347,布鲁内尔大学,Greece
347,阿威罗大学,Colombia
349,艾尔朗加大学,Spain
349,萨斯喀彻温大学,Italy
351,雅典国立科技大学,Finland
351,哈韦里亚纳主教大学,Portugal
353,马德里理工大学,Canada
354,比萨大学,Spain
355,拉彭兰塔理工大学,Kazakhstan
355,科英布拉大学,China (Mainland)
355,约克大学,Japan
358,加泰罗尼亚理工大学,Italy
358,国立欧亚大学 (ENU) ,Estonia
360,四川大学,China (Mainland)
360,筑波大学,"Iran, Islamic Republic of"
362,佛罗伦萨大学,New Zealand
362,塔尔图大学,Austria
364,山东大学,United Arab Emirates
364,德黑兰大学,India
364,林肯大学,Italy
367,因斯布鲁克大学,Pakistan
368,美国沙迦大学,Cyprus
369,印度理工学院古瓦哈提分校,India
369,都灵大学（UNITO）,United States
371,国立科技大学（NUST）伊斯兰堡,Egypt
371,塞浦路斯大学,Netherlands
371,印度理工学院鲁尔基分校,Brazil
374,耶什华大学,United Kingdom
375,开罗大学,"Iran, Islamic Republic of"
375,蒂尔堡大学,United States
375,里约热内卢联邦大学,Germany
375,伦敦的伯克贝克学院，大学,Australia
379,阿米尔卡比尔技术大学,United States
380,东北大学,Australia
381,鲁尔大学波鸿,Luxembourg
382,西悉尼大学,Thailand
382,塔夫茨大学,France
384,佛林德斯大学,China (Mainland)
384,卢森堡大学,Germany
386,玛希隆大学,United States
387,蒙彼利埃大学,France
387,南开大学,Belarus
387,威廉姆斯大学明斯特,Canada
387,夏威夷大学马诺亚分校,Taiwan
387,马赛大学,Brunei
392,白俄罗斯州立大学,France
392,康考迪亚大学,China (Mainland)
392,台湾科技大学,Israel
392,文莱达鲁萨兰国大学,China (Mainland)
396,国立科学院院校里昂（INSA）,Germany
396,华南理工大学,Russia
396,以色列理工学院,United States
399,厦门大学,Russia
400,吉森大学,United States
400,喀山联邦大学,Czech Republic
400,石溪大学,Portugal
403,俄罗斯国家研究型高等经济大学（HSE）,Spain
404,爱荷华州立大学,Turkey
404,马萨里克大学,United States
404,新里斯本大学,Philippines
407,格拉纳达大学,New Zealand
407,伊斯坦布尔理工大学,India
409,加州大学河滨分校,United States
410,菲律宾大学,Chile
410,奥克兰理工大学,United States
410,德里大学,Australia
413,科罗拉多州立大学,United Kingdom
413,智利圣地亚哥大学,United Kingdom
415,堪萨斯大学,Australia
415,南昆士兰大学,Russia
415,牛津布鲁克斯大学,Egypt
418,伦敦皇家霍洛威大学,Russia
419,詹姆斯库克大学（JCU）,Brazil
419,物理莫斯科与技术研究所州立大学,United States
421,开罗美国大学,Austria
421,托木斯克州立大学,Russia
421,圣保罗州立大学,Australia
421,华盛顿州立大学,Belgium
421,格拉茨大学,France
426,新西伯利亚州立大学,Ireland
427,堪培拉大学,India
428,列日大学,Spain
429,斯特拉斯堡大学,Singapore
429,利默里克大学,Italy
431,安娜大学,Turkey
431,IE大学,Australia
431,Singapore University of Technology and Design,Taiwan
431,特伦托大学,Taiwan
431,科什大学,United Kingdom
436,默多克大学,Ireland
436,国立台北理工大学,South Korea
436,台湾师范大学,Finland
436,斯特灵大学,China (Mainland)
436,都柏林城市大学,Switzerland
440,世宗大学,Germany
441,坦佩雷大学,United Kingdom
441,北京科技大学,United States
441,圣加仑大学（HSG）,Canada
444,维多利亚州立大学,Greece
444,邓迪大学,United States
446,,United Kingdom
446,犹他大学,Austria
446,拉瓦尔大学,United States
446,雅典大学,Japan
446,康涅狄格大学,Finland
451,阿斯顿大学,"Iran, Islamic Republic of"
452,林茨大学,China (Mainland)
452,田纳西大学,France
454,丰田技术学院,Czech Republic
454,于韦斯屈莱大学,India
454,科学技术大学伊朗,China (Mainland)
454,中南大学,Oman
454,里昂第一大学,Germany
459,捷克技术大学在布拉格,United Kingdom
460,印度理工学院印多尔校区,Germany
461,东南大学,United States
461,苏丹卡布斯大学,Russia
461,曼海姆大学,Germany
464,埃克塞斯大学,Germany
465,波茨坦大学,United States
465,佛罗里达州立大学,Sweden
465,国立核研究院“MEPhI”,France
465,耶拿大学,United Arab Emirates
469,美因茨大学,Israel
469,科罗拉多矿业学院,United States
469,乌梅大学,Italy
472,波尔多大学,Japan
473,沙迦大学,China (Mainland)
473,本·古里安大学,Russia
473,伊利诺伊理工大学,Lithuania
476,,Japan
476,帕维亚大学,Spain
478,广岛大学,Germany
479,北京航空航天大学,Germany
480,乌拉尔联邦大学,United States
481,,Italy
481,维尔纽斯大学,United Kingdom
481,神户大学,Japan
481,瓦伦西亚政治大学,Germany
481,康斯坦茨大学,Kazakhstan
485,莱比锡大学,Spain
486,密苏里科技大学,China (Mainland)
486,米兰 - 比卡卡大学,Canada
489,班戈大学,Indonesia
489,一桥大学,Italy
491,汉诺威大学,China (Mainland)
491,哈萨克斯坦国家技术大学,United States
491,瓦伦西亚大学,United States
494,电子科技大学,South Korea
494,圭尔夫大学,China (Mainland)
494,茂物农业大学,United States
494,罗马第二大学,Spain
498,大连理工大学,South Korea
498,纽约州立大学布法罗分校,United Kingdom
498,University of Iowa,United States
498,中央大学,Jordan
502,湖南大学,Turkey
502,伦斯勒理工学院,China (Mainland)
502,塞维利亚大学,United Kingdom
505,梨花女子大学,Macau SAR
505,阿尔斯特大学,Taiwan
505,特拉华大学,United States
505,约旦大学,Italy
509,毕尔坎特大学,South Korea
509,吉林大学,Germany
511,朴茨茅斯大学,China (Mainland)
511,澳门科技大学,United Kingdom
511,国立中山大学,France
514,俄勒冈州立大学,Turkey
514,意大利天主教圣心大学,Vietnam
514,西江大学,Argentina
514,拜罗伊特大学,China (Mainland)
514,华东师范大学,United States
514,SOAS伦敦大学东方与非洲研究学院,Germany
520,图卢兹第三大学,South Korea
520,Bogaziçi大学,Argentina
520,维新大学,United States
523,阿根廷天主教大学（UCA）,Spain
523,上海大学,United Kingdom
525,佐治亚大学,Brunei
526,不来梅大学,Russia
526,庆北国立大学,Turkey
526,奥斯特拉尔大学,India
529,德克萨斯大学达拉斯分校,Australia
530,萨拉戈萨大学,Greece
530,赫尔大学,Germany
530,文莱理工大学,Argentina
530,莫斯科国际关系研究所,Italy
534,萨班斯大学,China (Mainland)
534,马德拉斯大学,Russia
534,埃迪斯科文大学,Greece
534,亚里士多德大学,Spain
538,基尔大学（德国）,Spain
538,巴勒莫大学,Malaysia
540,热那亚大学,Pakistan
540,中国农业大学,Argentina
542,圣彼得堡国立政治大学,Russia
542,克里特大学,Germany
544,萨拉曼卡大学,Costa Rica
545,阿尔卡拉大学,Israel
545,马来西亚北方大学,United States
545,拉合尔管理科学大学（LUMS）,Singapore
548,拉普拉塔国立大学,United States
548,ITMO大学,United Kingdom
548,乌尔姆大学,Finland
551,哥斯达黎加大学,United Arab Emirates
551,巴伊兰大学,United Arab Emirates
551,纽约市立大学,Belgium
551,新加坡管理大学,United States
555,理海大学,Malaysia
556,诺森比亚大学,United States
556,东芬兰大学,Malaysia
556,阿治曼科技大学,Italy
556,迪拜的加拿大大学,China (Mainland)
556,哈瑟尔特大学,Czech Republic
561,内布拉斯加大学,China (Mainland)
561,玛拉工艺大学,United Kingdom
563,佛罗里达国际大学,Philippines
563,英迪国际大学,United States
563,巴里理工大学,Switzerland
567,中国人民大学,Australia
567,布拉格化学技术研究所,Taiwan
567,重庆大学,Chile
567,普利茅斯大学,United Kingdom
571,马尼拉雅典耀大学,Thailand
571,南佛罗里达大学,United Kingdom
571,弗里堡大学 ,India
571,邦德大学,Poland
575,国立政治大学,South Korea
575,阿道夫·伊瓦涅斯大学,United States
577,哈德斯菲尔德大学,Lebanon
577,清迈大学,Taiwan
577,考文垂大学,Norway
580,技术学院（BHU）- 瓦拉纳西,United Arab Emirates
580,华沙工业大学,Austria
582,韩国外国语大学,Bahrain
582,南卡罗来纳大学,Venezuela
582,黎巴嫩大学,Spain
586,台北医科大学,Russia
586,特罗姆瑟大学,Malaysia
586,阿布扎比大学,United States
590,阿尔卑斯 - 亚德里亚安大学克拉根福,Australia
590,巴林应用科学大学,United Kingdom
590,安德鲁贝罗天主大学,Saudi Arabia
593,科米利亚斯主教大学,United Kingdom
593,托木斯克理工大学,United States
595,双威大学,Saudi Arabia
595,,United Kingdom
595,密苏里大学,Brazil
595,中央昆士兰大学,China (Mainland)
595,曼彻斯特城市大学,Italy
600,王子穆罕默德本法赫德大学,China (Mainland)
600,伦敦大学金史密斯学院,Thailand
600,中佛罗里达大学,United States
600,达曼大学,Germany
601,诺丁汉特伦特大学,Finland
601,里约热内卢天主大学,United Arab Emirates
601,深圳大学,Australia
601,维多利亚大学圣拉斐尔大学,United States
601,南京理工大学,India
601,泰国法政大学,United Kingdom
601,杜兰大学,Saudi Arabia
601,萨尔大学,Chile
601,阿科美大学,Hungary
611,迪拜美国大学,United Arab Emirates
611,查尔斯达尔文大学,Kazakhstan
611,德雷塞尔大学,Czech Republic
611,尼赫鲁大学,Germany
611,金斯顿大学,Taiwan
611,乌尔库拉大学（UQU）,South Korea
611,德翁大学,Japan
611,塞格德大学,Portugal
621,艾因科技大学,Malaysia
621,南哈萨克斯坦国立大学（SKSU）,Taiwan
621,布尔诺工业大学,Indonesia
621,哈勒-维滕贝格大学,Malaysia
621,国立中央大学,China (Mainland)
621,釜山国立大学,United States
621,东京医科齿科大学,Spain
621,米尼奥大学,South Africa
621,亚太科技大学 (APU),Slovenia
621,长庚大学,Spain
621,泗水理工学院,China (Mainland)
631,管理与科学大学,South Korea
631,西北工业大学,United States
631,史蒂文生理工学院,China (Mainland)
631,拉曼·鲁尔大学,Czech Republic
631,夸祖鲁-纳塔尔大学,Japan
631,卢布尔雅那大学,Lebanon
631,维斯大学大学,Venezuela
631,郑州大学,United States
631,亚洲大学,France
641,波士顿学院,Russia
641,暨南大学,Italy
641,帕拉茨基大学奥洛穆茨,Kazakhstan
641,立命馆大学,Hong Kong SAR
641,圣约瑟夫德贝鲁特大学,Canada
641,委内瑞拉中央大学（UCV）,United States
641,新墨西哥大学,Pakistan
641,里尔大学,United States
641,远东联邦大学,Cuba
641,博尔扎诺自由大学,United Kingdom
641,哈萨克斯坦国家农业大学,United States
641,岭南大学（香港）,Italy
641,纽芬兰纪念大学,United States
641,新泽西理工学院（NJIT）,Canada
651,巴基斯坦工程与应用科学研究所（PIEAS）,Pakistan
651,新学院大学,Mexico
651,哈瓦那大学,Australia
651,布拉德福德大学,Estonia
651,休斯敦大学,Uruguay
651,艾米利亚大学,Israel
651,俄克拉荷马大学,Germany
661,温莎大学,United Kingdom
661,COMSATS信息技术研究所,United States
661,墨西哥自治大学（ITAM）,Italy
661,南十字大学,Lebanon
661,塔林理工大学,Austria
661,蒙得维的亚大学,Lebanon
661,海法大学,United Kingdom
661,霍恩海姆大学,Taiwan
661,阿伯斯威大学,Saudi Arabia
661,布兰迪斯大学,Japan
661,威尼斯大学,Mexico
661,卡斯里克的圣灵大学,Indonesia
661,格拉茨大学,Spain
661,黎巴嫩美国大学,Italy
671,米德塞斯大学,Kuwait
671,国立中兴大学,Canada
671,诺拉·宾特·阿卜杜勒拉曼公主大学,South Korea
671,东京科技大学,Hungary
671,泛美大学（UP）,United Kingdom
671,巴查查兰大学,Canada
681,罗维拉-威尔吉利大学,Kazakhstan
681,佩鲁贾大学,Mexico
681,中东美国大学,Philippines
681,卡尔顿大学,China (Mainland)
681,东国大学,Austria
681,德布勒森大学,Chile
681,格林威治大学,"Iran, Islamic Republic of"
681,曼尼托巴大学,China (Mainland)
681,哈萨克斯坦国家教育大学,Ukraine
681,墨西哥学院,Russia
681,德拉萨大学,United States
691,华东理工大学,India
691,帕丽斯·洛德伦萨尔茨堡大学,South Korea
691,瓦尔帕莱索天主教大学,Mexico
691,设拉子大学,Brazil
691,苏州大学,Brazil
691,基辅舍夫琴科基辅共和国国立大学,United States
691,国立科技大学“MISIS”,Bangladesh
691,肯塔基大学,Belgium
691,印度理工学院海得拉巴,Italy
691,仁荷大学,Ukraine
701,伊比利亚美洲大学,Russia
701,米纳斯吉拉斯联邦大学,Japan
701,联邦大学里约热内卢大学,Czech Republic
701,辛辛那提大学,Hungary
701,达卡大学,Colombia
701,蒙斯大学,Spain
701,的里雅斯特大学,United States
701,V.N.卡拉津哈尔科夫国立大学,United Arab Emirates
711,阿尔泰州立大学,Lebanon
711,千叶大学,China (Mainland)
711,捷克生命科学大学,Malaysia
711,匈牙利罗兰大学,Turkey
711,德安蒂奥基亚大学,India
711,孔波斯特拉大学,Colombia
711,维克森林大学,United States
711,扎耶德大学,Canada
711,贝鲁特阿拉伯大学,United Kingdom
711,中国石油大学（北京）,France
711,马来西亚国际伊斯兰大学（IIUM）,Australia
721,伊斯坦布尔大学,Egypt
721,浦那大学,China (Mainland)
721,罗萨里奥大学,South Korea
721,马里兰大学，巴尔的摩县,Japan
721,新不伦瑞克大学,United States
721,威斯敏斯特大学,Vietnam
721,雷恩第一大学,Italy
721,维多利亚大学,Serbia
721,艾因·沙姆斯大学,United States
721,北京化工大学,United States
721,全北国立大学,France
721,Osaka Metropolitan University,France
731,天普大学,Poland
731,孙德胜大学,Saudi Arabia
731,马尔凯理工大学,United Kingdom
731,贝尔格莱德大学,India
731,科罗拉多大学丹佛分校,Jordan
731,俄勒冈大学,Ukraine
731,蔚蓝海岸大学,Colombia
731,洛林大学,Brazil
731,波兹南密茨凯维奇大学,Italy
741,阿尔法萨尔大学,Hungary
741,伯恩茅斯大学,Mexico
741,印度理工学院布巴内斯瓦尔分校,India
741,约旦科技大学,Bulgaria
741,乌克兰国立技术大学“基辅理工学院”,United States
741,EAFIT大学,Pakistan
741,圣保罗联邦大学（UNIFESP）,Italy
741,锡耶纳大学,Pakistan
741,布达佩斯理工大学,United Kingdom
741,民族工业学院(IPN),Germany
751,贾达福布尔大学,Bahrain
751,索非亚大学“圣克拉门特奥尔希斯基”,Portugal
751,Swarthmore College,Thailand
751,费萨拉巴德农业大学,United Kingdom
751,巴里大学,Latvia
751,旁遮普大学,Germany
751,英国西部大学,Colombia
751,雷根斯堡大学,India
751,阿利亚大学,South Korea
751,ISCTE-IUL,Croatia
751,泰国农业大学,Canada
751,利物浦约翰·穆尔斯大学,United States
761,里加技术大学,Turkey
761,布伦瑞克工业大学,Saudi Arabia
761,哥伦比亚大学,Germany
761,孟买大学,Argentina
761,蔚山大学,Malaysia
761,萨格勒布大学,Germany
761,魁北克大学,United States
771,韦恩州立大学,India
771,哈西德佩大学,Slovakia
771,哈立德国王大学,United States
771,菲利普斯大学马堡,Russia
771,贝尔格拉诺大学,India
771,国家能源大学,Mexico
771,罗斯托克大学,Uruguay
771,弗吉尼亚联邦大学,United States
771,昌迪加尔大学,United Kingdom
771,科米诺斯大学在布拉迪斯拉发,Germany
771,罗格斯堡 - 新泽西州立大学纽瓦克,France
781,塞维诺夫第一莫斯科国立医科大学,China (Mainland)
781,舒利尼生物技术和管理大学,United Kingdom
781,阿纳瓦克大学,Kazakhstan
781,乌拉圭大学,China (Mainland)
781,奥尔巴尼纽约州立大学,India
781,布莱顿大学,United States
781,杜伊斯堡-埃森大学,South Korea
781,南特大学,Malaysia
781,中国矿业大学,United States
781,基尔大学,Canada
791,艾哈迈德亚萨威大学,United States
791,南京农业大学,United States
791,国立理工学院Tiruchirappalli,Indonesia
791,雪城大学,Argentina
791,韩国加图立大学,China (Mainland)
791,马来西亚彭亨大学,Russia
791,阿拉斯加大学费尔班克斯分校,Colombia
791,University of Northern British Columbia,Italy
791,美利坚大学,Pakistan
791,克拉克森大学,Greece
801,蒂波尼格罗大学,Jordan
801,布宜诺斯艾利斯理工学院,Kazakhstan
801,兰州大学,United States
801,普列汉诺夫俄罗斯经济大学,Australia
801,拉萨瓦纳大学,Romania
801,布雷西亚大学,Bangladesh
801,拉合尔工程技术大学,China (Mainland)
801,帕特雷大学,Belarus
801,阿尔阿里亚安曼大学,Australia
801,阿拉木图理工大学,China (Mainland)
801,奥本大学,United States
801,澳洲天主大学,United Kingdom
801,宝贝博爱大学,United Kingdom
801,孟加拉国工程技术大学,Russia
801,北京工业大学,Georgia
801,白俄罗斯国立技术大学,Saudi Arabia
801,查尔斯·斯坦特大学,Kazakhstan
801,中国地质大学,Lithuania
801,克拉克大学,South Korea
