#{"t_start": 1715981463.4460602, "env_id": "ContinuousJumps-v0"}
r,l,t
1.537664,5,1.31081
1.50823,6,1.896361
5.530564,10,2.796242
5.103835,7,3.422044
6.060748,7,4.058468
1.802758,6,4.631643
3.129968,5,5.101849
5.207055,7,5.725487
1.042268,7,6.375714
3.824023,6,6.93073
4.286194,6,7.530948
-3.2423,6,8.070513
0.745495,8,8.79823
-0.15915,5,9.277307
2.297204,8,9.965318
-1.375227,5,10.426417
3.710485,8,11.171339
1.353298,4,11.54865
3.56043,5,11.995028
6.581116,8,12.847465
7.360855,11,13.845897
3.772813,6,14.395518
2.340621,8,15.119039
3.983594,7,15.744295
2.516014,5,16.205034
-1.477754,6,16.725097
4.624583,5,17.18083
0.546831,3,17.471064
0.156079,20,19.28038
-2.324631,12,20.360954
3.502465,5,20.82176
-4.32951,7,21.448169
2.838978,5,21.908858
-0.182445,7,22.555159
5.382485,8,23.279917
5.632601,11,24.27369
-1.960702,7,24.996788
-3.525447,6,25.556112
3.39051,7,26.203722
7.131404,9,27.046326
-1.347988,7,27.688478
23.566069,18,29.326946
8.497699,9,30.124345
-2.074374,7,30.749511
1.049117,5,31.21906
-3.940427,5,31.694098
4.40264,13,32.882402
2.890425,5,33.340734
-1.202876,12,34.427631
2.362233,4,34.764549
8.021796,11,35.741239
4.605771,7,36.496672
5.016055,9,37.304855
1.08906,11,38.343152
7.881979,9,39.122395
2.573184,6,39.690164
0.248739,5,40.158247
2.196475,5,40.607673
-7.221359,20,42.431799
3.477139,7,43.045191
-1.383407,3,43.311357
0.886374,4,43.699887
1.967932,4,44.068765
-3.419211,17,45.575837
5.632106,13,46.768835
1.776604,5,47.204365
-2.898895,6,47.750496
-1.067299,5,48.288329
0.439597,6,48.858529
5.150076,6,49.383238
-2.684171,5,49.839543
9.376833,14,51.088965
-2.341419,3,51.377221
5.476382,6,51.928199
-2.977389,5,52.370867
-0.058685,5,52.818512
-0.086395,4,53.197518
0.834414,5,53.654679
4.049185,8,54.416329
-3.371389,8,55.126281
4.411763,6,55.672008
-3.229086,7,56.307382
0.066428,7,56.954281
3.191936,5,57.377974
-2.046406,4,57.768198
0.211063,5,58.191002
-0.041021,6,58.751608
1.79406,7,59.365252
4.890099,10,60.35465
1.331452,4,60.732719
1.594873,3,60.997549
-3.736311,20,62.751729
-2.602443,3,63.040232
-0.274948,4,63.417121
2.007612,5,63.867544
6.369998,16,65.303194
3.20262,5,65.749705
-11.66731,14,66.992383
6.575306,11,67.976627
4.639503,7,68.623972
-2.890774,7,69.295658
-0.605621,4,69.665552
-2.688125,6,70.200675
3.711542,7,70.837181
2.439715,8,71.626046
-2.723303,7,72.251081
8.265859,10,73.121347
5.497326,11,74.112928
6.748703,7,74.763033
-1.224769,6,75.291864
-2.089144,5,75.747517
0.932309,5,76.188487
3.010164,5,76.649816
7.454276,14,77.931723
6.534242,9,78.764302
2.740089,9,79.56007
5.117389,9,80.366998
-2.636973,10,81.241204
-0.254331,6,81.770729
-1.735065,5,82.231817
1.895545,5,82.685019
2.848788,5,83.236763
2.478387,5,83.674761
2.495525,6,84.213105
-1.203698,4,84.583751
4.010719,9,85.39309
1.779749,4,85.740097
2.42531,6,86.256795
-1.508265,5,86.677955
14.863705,20,88.473498
4.769043,6,89.041207
8.279847,12,90.100483
-1.27538,5,90.570502
-1.29139,5,91.049934
-0.357175,5,91.488337
3.196647,20,93.292107
-1.995122,11,94.247691
15.99971,20,96.082104
0.62705,10,96.977101
5.701575,8,97.718608
3.162039,6,98.248788
-1.814506,4,98.606445
0.538575,7,99.260586
2.033013,5,99.699277
0.797219,4,100.061646
18.141006,20,101.816499
16.09004,20,103.520578
-1.087458,5,103.962545
4.715689,8,104.675799
-2.714861,7,105.283726
-0.806513,6,105.915479
15.029906,20,107.637408
3.6706,9,108.431987
-1.856618,6,108.956801
17.409241,20,110.669306
-0.903288,4,111.014732
-1.313581,4,111.402878
4.246195,10,112.269535
-1.153102,6,112.814218
0.004277,20,114.531568
-0.133663,5,114.997432
16.790592,20,116.778901
38.436405,20,118.58716
13.158923,20,120.299678
3.06924,5,120.744321
8.558139,10,121.619748
1.857823,5,122.056296
1.359396,4,122.406234
16.29094,20,124.118012
37.35471,20,125.862472
-0.0814,5,126.298147
-2.486013,10,127.171104
-0.082504,5,127.614251
6.007855,20,129.429802
-0.47102,6,129.957206
-0.95414,5,130.381174
-1.764148,7,130.99919
-0.625618,4,131.334499
5.102488,6,131.891905
-1.601512,7,132.495359
17.5753,20,134.259899
14.662135,20,136.011422
0.083967,4,136.37415
-1.219147,5,136.810119
-2.070524,7,137.438528
0.018799,6,137.984842
1.884285,5,138.446274
2.755197,6,138.983533
18.002628,20,140.840674
-3.015569,9,141.606761
17.139324,20,143.287966
-0.653738,9,144.083776
9.915808,15,145.348251
-0.607,4,145.707222
14.727183,20,147.3727
4.279668,6,147.917652
0.697734,5,148.342643
-0.00633,4,148.700433
0.770501,9,149.517551
37.603159,20,151.305734
-1.464551,5,151.762874
16.235287,20,153.497633
-0.781373,5,153.918916
29.828476,20,155.679471
0.249722,5,156.125818
-0.303208,7,156.729157
-4.750559,7,157.331896
0.00624,4,157.698258
0.2766,7,158.32407
-2.38856,6,158.843498
18.906625,20,160.508649
-2.447076,9,161.321653
13.784273,20,163.138459
0.045924,6,163.649279
3.251388,6,164.149386
-0.995251,5,164.593431
36.160198,20,166.327901
13.916739,20,168.059632
16.707048,20,169.759894
-0.03404,5,170.200873
15.066604,20,171.867857
1.544216,5,172.290071
-0.692152,5,172.70032
2.414686,10,173.644827
7.040234,15,174.957999
0.294805,5,175.42852
-0.375604,5,175.873894
19.002773,20,177.580517
0.134021,10,178.452942
-1.759793,6,178.995323
1.074383,5,179.416532
12.677359,20,181.097678
-1.205808,5,181.54519
2.485248,5,181.979818
5.157496,8,182.655735
-2.810911,8,183.337862
16.3337,20,185.169232
-2.684293,14,186.375575
-2.424663,8,187.086105
-9.238502,16,188.456096
-6.511381,18,189.957685
18.436899,20,191.691606
-2.070165,6,192.202295
0.354785,4,192.546153
3.447091,8,193.248396
-1.635285,6,193.771319
7.200169,8,194.448541
12.531508,20,196.21552
37.27851,20,197.947511
1.278044,5,198.359455
-0.702231,7,198.958679
-1.502145,6,199.49081
11.321121,20,201.274977
-2.123795,6,201.768486
-0.288587,7,202.374079
-1.824337,5,202.810419
-0.045443,5,203.259121
-0.348137,14,204.459528
4.799708,12,205.502384
8.85331,20,207.300118
-3.615785,11,208.309862
3.789398,7,208.946261
-1.691222,10,209.817552
11.635293,20,211.506299
0.592288,5,211.934683
-0.615662,13,213.053656
-1.738961,8,213.725909
-3.545205,8,214.432697
0.985835,7,215.078259
-0.407107,4,215.435112
0.797052,4,215.78211
-1.943646,13,216.953344
-2.63386,7,217.580314
-0.451112,5,218.093683
2.8456,7,218.678222
3.038468,6,219.226655
-7.063017,13,220.312799
0.777865,4,220.645798
-8.045088,20,222.402941
-1.019806,6,222.906624
15.285973,20,224.648046
-8.09152,18,226.16143
-0.99618,8,226.883101
-1.548739,5,227.321779
18.881618,20,229.130583
1.470935,6,229.684913
-3.469241,7,230.277134
3.675229,9,231.045704
4.056243,9,231.842144
0.132222,5,232.267574
1.623013,5,232.701955
1.859376,9,233.489918
17.323599,20,235.139962
13.220498,20,236.824665
-2.350152,10,237.685559
1.14705,8,238.389695
0.642328,5,238.825839
1.267388,4,239.159312
1.399425,12,240.277164
12.796497,20,241.977871
-11.856757,20,243.637187
13.9302,20,245.30765
-3.051326,11,246.283115
-0.499339,9,247.0481
-19.850737,20,248.776943
-5.273822,20,250.481255
-0.099236,5,251.040544
3.002595,9,251.830109
4.685967,7,252.460752
-0.600368,9,253.21062
2.952097,7,253.796843
0.623535,8,254.501176
-1.132476,6,255.016893
-0.115052,7,255.646154
1.021689,7,256.276505
-2.74906,10,257.145368
18.961274,20,258.981651
1.407891,7,259.595563
-1.972688,7,260.239183
-0.287618,5,260.652352
1.117742,11,261.589911
17.570045,20,263.401761
12.153212,20,265.136078
19.285097,20,266.854277
13.8793,20,268.566968
18.698059,20,270.263683
0.021056,4,270.630495
-2.730194,12,271.638512
2.933576,7,272.234335
-1.764058,8,272.925442
-1.40003,5,273.441027
4.938773,10,274.30723
6.263063,20,275.965943
0.361492,7,276.576075
-3.204112,9,277.336843
-1.553019,6,277.826485
7.087419,20,280.703236
10.611876,20,282.429671
-0.436005,5,282.86276
-1.663359,13,283.927852
36.980226,20,285.69676
3.227686,10,286.538131
-3.530586,12,287.538759
38.605377,20,289.208728
17.197719,20,290.935772
-8.451825,20,292.631551
2.174024,6,293.118897
18.733929,20,294.840279
-1.005045,11,295.806777
0.180594,8,296.564324
1.600521,4,296.931749
1.430522,8,297.609226
38.348816,20,299.349277
-1.244112,7,299.988366
-4.26253,11,300.916683
0.106783,11,301.81291
-1.383933,6,302.358388
14.958313,20,304.032815
1.095999,18,305.57937
-0.421635,4,305.926853
-1.610777,4,306.293541
7.106558,20,308.02515
9.117761,20,309.716948
2.608339,6,310.227942
11.216024,20,311.939465
0.026257,4,312.323358
0.104623,8,313.030786
-0.976738,7,313.590975
0.319839,4,313.944983
6.662044,11,314.882675
38.753503,20,316.599384
18.422674,20,318.304703
-0.90804,7,318.968334
3.114483,7,319.568676
0.098756,10,320.447164
18.244373,20,322.171106
7.981116,17,323.612978
-1.90119,3,323.883631
0.413295,8,324.58347
-2.31259,8,325.285018
3.587022,8,326.001796
6.456198,20,327.707003
12.009045,20,329.447378
11.022005,20,331.24504
-1.27786,5,331.679943
1.198719,8,332.361049
-1.389355,7,332.963038
7.864172,20,334.677991
3.662534,20,336.411389
6.719054,20,338.143051
-0.102533,11,339.081495
0.956972,6,339.627616
17.779362,20,341.49496
-7.475661,19,343.288591
-3.820313,12,344.480213
14.261627,20,346.278855
0.140736,7,346.874101
2.722551,7,347.510998
38.635053,20,349.290978
17.53706,20,351.044244
12.248289,20,353.538139
9.290996,20,355.9297
-0.584071,8,356.606537
1.359982,6,357.13046
38.771594,20,358.8427
9.880178,20,360.530679
17.600931,20,362.236402
2.839364,6,362.778484
0.106981,5,363.271886
0.307343,5,363.77302
-1.331977,6,364.309569
-2.803061,10,365.356371
7.967514,20,367.227938
-2.611371,6,367.842652
10.029994,20,369.594696
-1.199448,5,370.061623
16.44286,20,371.849654
0.479235,5,372.303655
-2.432199,5,372.73066
-1.755063,5,373.204949
16.636556,20,374.900499
-1.483923,11,375.850361
2.994223,7,376.464714
12.58342,20,378.439467
3.302688,5,378.903908
-0.946714,5,379.374479
18.439463,20,381.255162
17.373857,20,383.080544
15.104954,14,384.408484
-0.585846,6,384.954368
-8.837967,18,386.658021
37.604727,20,388.489089
-2.342697,7,389.229763
1.712584,6,389.782592
3.98779,8,390.563916
-1.450466,4,390.937879
-2.672743,5,391.426436
0.478656,8,392.318398
18.428475,20,394.309911
-0.967032,7,394.938444
-1.122274,7,395.551838
-1.885012,8,396.19929
-1.542167,5,396.605851
-2.42553,14,397.820632
6.020499,20,399.560514
10.456409,20,401.32289
-1.532847,4,401.654316
0.976004,7,402.248789
37.247335,20,403.896691
17.762347,20,405.5576
0.377716,4,405.898391
17.858565,20,407.587521
-3.125286,9,408.361517
-2.747365,5,408.80224
16.635761,20,410.476122
3.044422,6,410.995732
19.183415,20,412.716832
15.856174,20,414.426105
0.825605,8,415.138602
26.29481,20,416.852413
1.333683,7,417.441264
2.010547,6,417.948568
-2.775127,5,418.399372
3.04284,8,419.136408
19.252759,20,420.8494
-1.711119,9,421.608023
-2.068651,10,422.545557
-0.164684,3,422.786654
16.748561,20,424.468408
0.454816,7,425.042873
19.214936,20,426.728372
-0.798115,6,427.233647
1.668707,5,427.674004
0.858972,6,428.19377
-2.441508,5,428.632142
-1.499691,5,429.04309
16.545346,20,430.746473
16.385004,20,432.435592
18.228457,20,434.209156
-0.832663,5,434.620201
-1.746454,5,435.0771
2.511343,14,436.290745
1.289577,10,437.134189
-0.22308,5,437.57605
19.272059,20,439.262562
1.001698,8,439.938473
16.723724,20,441.582501
-0.042718,6,442.113219
-5.363524,7,442.727801
-2.462533,7,443.331606
-2.615263,6,443.866163
-2.61984,6,444.478486
17.923946,20,446.147579
-0.757958,5,446.555089
18.895182,20,448.253485
3.088365,8,448.921405
8.810058,20,450.599367
11.99808,20,452.302027
-0.709077,5,452.763152
15.242633,20,454.475733
0.8168,6,454.996327
0.636696,6,455.589937
-0.940917,4,455.946568
2.628044,7,456.548606
13.089263,20,458.25124
12.092874,20,459.925429
-1.022914,5,460.379562
2.396443,7,460.988972
-2.535404,5,461.4224
10.258352,20,463.124502
-2.20528,4,463.456671
-1.481433,6,463.980602
-1.888224,5,464.442673
10.460619,20,466.138816
7.91635,20,467.919171
18.89001,20,469.59626
-0.673531,7,470.180424
-1.684394,5,470.618782
-1.946887,5,471.082497
2.133572,5,471.536355
3.899935,8,472.189591
-0.341073,3,472.462593
1.839403,11,473.406229
0.280554,4,473.740191
-1.825882,6,474.24888
19.01847,20,475.937316
2.621155,7,476.538406
-0.79059,5,476.982128
-0.64938,6,477.605168
-0.498723,5,478.026409
14.807559,20,479.735118
0.393164,4,480.057389
-0.974274,12,481.109892
-1.085647,7,481.749571
-1.233161,5,482.175242
15.091705,20,483.851811
-0.879162,4,484.207194
17.899352,20,485.918625
4.115253,20,487.607123
-0.36385,5,488.049828
1.938618,6,488.639212
-1.032451,4,488.990651
11.043916,20,490.720972
0.377063,4,491.063513
-2.69539,5,491.485287
-2.848197,5,491.92955
1.808084,7,492.508962
1.694529,6,493.015818
