#{"t_start": 1715981463.4410682, "env_id": "ContinuousJumps-v0"}
r,l,t
5.365695,9,1.6501
3.538864,9,2.511637
11.491183,12,3.606765
4.197215,6,4.134077
2.891567,8,4.878078
-14.796932,16,6.341641
4.241815,8,7.096343
6.008486,10,8.035574
1.764869,8,8.764219
-12.134239,20,10.59188
1.831233,4,10.975765
-6.605173,10,11.87018
7.731562,8,12.58631
-2.663973,3,13.014493
-2.581043,3,13.272393
-7.153773,8,13.991059
2.718355,5,14.462287
-2.474096,4,14.811125
5.520742,10,15.710244
-0.613328,4,16.058311
-0.615709,7,16.690096
4.543746,7,17.326744
-2.910426,5,17.804175
8.13684,14,19.042613
1.733746,3,19.355581
-7.020272,9,20.156705
-1.258986,4,20.519209
-2.39004,12,21.613979
-4.66869,8,22.342105
3.223585,9,23.160291
2.56044,8,23.8696
1.562428,5,24.33825
4.510655,8,25.155567
6.304976,7,25.791756
-1.945944,4,26.169038
-1.074731,3,26.461256
6.387462,8,27.213057
1.898673,4,27.552191
4.476857,10,28.467763
6.498614,8,29.202967
24.600389,16,30.625969
3.464264,7,31.2952
0.251306,5,31.759284
5.311141,6,32.310154
-0.436451,5,32.758392
3.785015,6,33.305697
6.510767,10,34.21188
7.329873,10,35.12016
4.76317,9,35.917096
0.083083,5,36.461745
3.220809,6,37.009552
-0.961039,6,37.569686
4.153621,6,38.119464
-3.016888,8,38.836925
9.524295,10,39.776817
-0.452676,4,40.113822
2.815942,6,40.673671
0.678555,6,41.210781
-4.399212,8,41.933605
3.813495,5,42.397015
-0.482,7,43.011039
3.563807,5,43.47559
1.2804,7,44.134748
5.025569,7,44.762316
7.582309,7,45.37407
1.740466,7,46.022268
5.539278,10,46.912993
4.937335,9,47.705731
5.246958,11,48.812324
-4.199884,6,49.347897
-4.282876,12,50.43006
4.750154,6,50.975327
1.858798,4,51.331469
5.847671,13,52.524328
-6.353836,8,53.261682
2.151876,9,54.080957
6.121425,9,54.9217
2.731773,5,55.358704
2.359533,4,55.747139
1.139822,5,56.194005
-1.263314,4,56.548796
6.304663,10,57.442522
4.997261,10,58.356487
5.159313,12,59.428955
-0.061159,6,60.064756
-2.117947,5,60.508747
-0.4068,4,60.874803
0.855947,5,61.318843
8.5988,8,62.025714
6.564973,7,62.640678
-0.064637,4,63.005223
0.589524,3,63.284081
3.774709,7,63.932907
2.701958,5,64.40338
1.937365,5,64.854436
1.103827,5,65.268107
4.40357,7,65.917219
-1.356457,5,66.355094
2.858135,10,67.245759
19.220133,14,68.499789
3.014901,5,68.978746
6.061267,8,69.750113
-1.713378,6,70.276263
3.065667,5,70.701896
2.716431,4,71.078736
-1.468132,5,71.592157
3.544854,6,72.117073
15.44077,15,73.437057
2.521369,5,73.898045
5.012527,6,74.447671
11.149703,20,76.252952
1.875285,5,76.727378
-0.442797,5,77.187258
2.355841,3,77.476006
-0.99662,6,77.996284
13.010944,16,79.426062
18.110212,20,81.195549
5.163334,7,81.836705
1.034164,4,82.197808
0.898295,4,82.570249
-4.144782,5,83.123096
1.886118,9,83.908441
-0.576285,15,85.27898
9.173429,17,86.742875
1.138707,4,87.1334
1.107674,5,87.577644
0.383683,4,87.924369
-2.05637,6,88.439508
1.66003,4,88.827222
-1.461747,5,89.263541
3.343932,6,89.80567
0.856378,7,90.44627
-0.973519,6,91.016109
3.053751,9,91.802773
-2.520543,6,92.368268
12.457947,19,94.052596
3.832667,7,94.749422
6.300359,7,95.34459
-1.64883,7,95.958162
3.0611,5,96.425458
-1.458281,5,96.863379
1.748595,5,97.322722
7.237734,11,98.324954
2.366045,6,98.874506
-0.086611,4,99.216251
2.449062,7,99.853078
-0.662684,4,100.21649
14.21718,16,101.616499
-1.926315,6,102.140561
0.261653,8,102.829222
-6.970122,12,103.82987
16.160243,20,105.604718
-0.896463,9,106.479787
5.111803,8,107.158739
1.668367,4,107.51391
-0.282997,4,107.878683
2.597787,5,108.307127
0.806991,9,109.098636
-0.341995,9,109.889723
-0.414026,7,110.466877
4.549054,10,111.35824
-1.212099,7,111.983188
4.779228,8,112.700522
-2.395799,6,113.236741
-2.298404,5,113.658276
-0.995417,5,114.080201
-2.646041,9,114.864102
-0.904287,18,116.465202
-1.407278,6,117.009355
17.504133,20,118.818097
4.483203,7,119.42179
-0.50501,5,119.854042
-2.069896,6,120.364729
-0.138329,4,120.708305
-0.762167,3,120.975011
4.388916,20,122.715885
13.04628,18,124.272936
1.213775,3,124.521641
5.667938,12,125.58292
1.403615,6,126.104392
-0.393768,5,126.542723
12.190224,20,128.390333
18.953581,20,130.101513
1.081523,6,130.605465
-4.801112,10,131.498477
1.155348,4,131.847925
-0.914521,8,132.563188
-1.776351,7,133.167592
-1.934696,6,133.700002
17.785111,20,135.433269
0.904143,5,135.897802
3.479137,6,136.438417
2.579942,6,136.975111
2.338933,6,137.513784
10.400699,13,138.679481
1.630934,6,139.238833
-3.303952,7,139.948293
37.382512,20,141.671247
8.207649,20,143.364174
10.755582,20,145.070902
1.425033,5,145.503603
11.590258,20,147.172771
15.453544,20,148.946799
38.656485,20,150.691881
-3.286238,7,151.369798
0.555736,6,151.907851
-3.314369,9,152.702945
-11.34109,20,154.396718
-2.534971,4,154.751787
16.159017,20,156.515491
-0.4632,7,157.130674
-1.055585,6,157.663248
18.390263,20,159.419917
15.115591,20,161.085056
12.127815,16,162.612513
-3.614091,13,163.71425
17.924131,20,165.41483
3.351249,6,165.947445
13.145151,20,167.65376
1.463875,6,168.21609
38.673567,20,169.911389
-1.401523,20,171.574521
18.684365,20,173.356556
2.202021,5,173.807989
5.481664,11,174.766882
-0.526075,6,175.315023
-1.694105,6,175.839639
3.221955,5,176.251152
-1.322957,9,177.034144
39.602887,20,178.794443
18.679121,20,180.508563
17.180934,20,182.209612
-0.50512,5,182.611771
0.113704,6,183.124616
-1.253648,6,183.681272
-1.55267,7,184.371382
2.286775,7,184.979246
-2.688893,8,185.697513
9.407542,20,187.425211
-1.744679,7,188.013856
0.513394,4,188.333664
-2.595811,9,189.101229
2.518221,16,190.433657
12.683386,20,192.157738
1.749357,3,192.433768
5.200782,10,193.323284
36.318788,20,195.010657
-3.522833,12,196.091593
2.333367,7,196.69483
15.019817,20,198.422691
-3.705557,9,199.199771
-2.048985,7,199.826134
-2.530672,7,200.442215
-0.229949,4,200.791507
38.67217,20,202.518072
-0.732431,9,203.325369
17.7125,20,205.03935
-0.574986,5,205.467375
7.672166,20,207.265094
3.384061,6,207.825544
1.416388,5,208.274866
-0.846901,4,208.642124
-0.196687,9,209.438233
2.891562,6,209.961748
14.466561,20,211.649147
-1.325095,7,212.278488
-0.192826,4,212.606325
-6.308105,12,213.610897
6.588758,9,214.398738
-0.883762,6,214.9514
9.167497,11,215.936564
-1.797998,3,216.204335
-0.800143,4,216.542924
1.517641,7,217.187628
12.368758,20,218.992722
2.013947,9,219.795975
-8.293932,15,221.058509
-0.651667,5,221.521561
-0.234554,8,222.19231
3.527315,11,223.151162
14.891211,20,224.910088
15.034412,20,226.579281
-1.204452,5,227.036172
1.48484,7,227.63273
-0.326077,6,228.15626
-1.175442,5,228.591159
1.893964,6,229.196014
-2.865728,4,229.551285
13.654952,20,231.288111
0.758638,5,231.725743
17.257339,20,233.45592
18.90962,20,235.104872
16.138796,20,236.790655
-3.022976,10,237.650553
6.855209,9,238.452584
10.958129,20,240.243046
12.342757,20,241.934388
18.086721,20,243.592135
15.086744,20,245.273648
-1.102771,5,245.730175
-3.519973,8,246.426099
18.332721,20,248.142309
-0.199049,4,248.497904
4.786627,6,249.012427
6.246789,20,250.733314
-2.518994,7,251.422592
3.557222,9,252.235607
2.526964,10,253.097878
38.769038,20,254.813622
-3.347461,8,255.51906
-3.865196,7,256.163491
-6.24946,14,257.386358
-1.181415,5,257.887151
-0.117684,5,258.349166
11.898377,20,260.116181
17.961274,20,261.817245
-1.604606,6,262.445922
-3.605112,7,263.043358
1.696234,8,263.72327
-0.749806,8,264.393103
-0.058918,5,264.842746
-0.646857,7,265.445422
-0.281154,12,266.466511
-0.259438,8,267.17249
13.253265,20,268.899153
2.248202,8,269.575604
-1.540606,6,270.062805
-0.369439,4,270.416761
17.417968,20,272.100808
37.499993,20,273.926068
5.280238,10,274.782464
4.107883,13,275.845538
-0.386309,6,276.375355
7.905074,20,279.217735
-3.36506,9,279.998998
1.110112,9,280.767227
-2.788449,7,281.343678
12.738203,20,283.091318
6.210834,20,284.763316
8.359521,20,286.504007
-0.440696,4,286.8476
-0.757321,6,287.348
18.727221,20,289.010006
-1.030569,6,289.527677
-0.797297,5,289.954314
-0.529539,7,290.568835
-0.103619,6,291.088137
-2.582567,10,291.921288
3.033422,7,292.499982
-2.639555,9,293.261015
-3.189255,9,294.032342
0.892073,5,294.462756
0.665186,11,295.406647
17.48795,20,297.254349
-1.687586,7,297.86423
-0.505757,10,298.707281
3.782358,6,299.237283
2.788277,7,299.86481
4.662612,9,300.64898
2.48088,11,301.545168
-0.43807,5,301.955664
-0.807929,7,302.581064
