#{"t_start": 1715981463.4430656, "env_id": "ContinuousJumps-v0"}
r,l,t
-4.410377,7,1.474659
-2.069611,3,1.768173
1.358072,4,2.139714
-1.231685,7,2.769236
2.337717,4,3.146499
1.153343,5,3.624768
8.289907,10,4.525056
2.690844,6,5.075082
0.248048,4,5.441106
0.993465,5,5.888643
3.629128,6,6.470147
-2.120098,6,7.004125
-2.437739,4,7.394433
5.834269,8,8.143482
0.107641,4,8.496777
0.691469,5,8.96258
8.029036,12,10.048028
-1.358015,5,10.50041
7.221659,9,11.344384
6.94677,11,12.336206
1.455272,4,12.810533
6.4749,8,13.547169
-4.701091,7,14.189927
2.786996,5,14.637508
4.443764,5,15.092021
3.102719,5,15.550135
11.263239,12,16.609269
4.314276,8,17.344733
4.090801,9,18.168386
10.076389,12,19.24367
0.804976,6,19.804511
5.848987,8,20.536626
0.445951,7,21.164536
1.699192,8,21.881782
2.630327,5,22.360106
1.0992,7,22.986851
1.741207,6,23.530514
4.811298,7,24.146914
-5.641129,12,25.351852
2.579872,5,25.809547
3.360029,5,26.279431
4.56528,6,26.839094
4.50854,6,27.391194
-0.966104,6,27.944239
1.561679,6,28.486498
3.146835,5,28.921997
2.16891,3,29.219973
4.309077,8,29.925534
1.858307,7,30.533352
1.93928,6,31.080663
-11.810893,20,32.965381
10.108795,8,33.691328
-2.294732,8,34.400647
2.263798,6,34.92645
1.294106,4,35.30908
-3.224841,7,35.935099
2.437479,6,36.579318
4.5981,8,37.278365
-1.060057,5,37.747579
10.256846,20,39.562622
20.795721,14,40.869251
9.136352,10,41.773688
19.579176,16,43.206117
-1.526033,3,43.493853
6.097214,13,44.680365
4.117689,6,45.205281
0.60671,6,45.751009
-1.051474,7,46.377429
-2.223652,4,46.742445
-1.898596,6,47.276473
3.253005,5,47.72409
3.90815,6,48.380207
-4.753988,8,49.099785
4.855806,6,49.622987
3.635369,7,50.236781
0.364305,5,50.695073
4.624408,7,51.349347
-3.013779,5,51.812912
-1.870177,6,52.343761
5.542559,7,53.001522
4.337712,8,53.72979
-4.503708,5,54.1899
-0.72347,7,54.818646
