#{"t_start": 1715901211.6025767, "env_id": "DiscreteSteps-v0"}
r,l,t
-7.173116,6,1.085903
-4.076655,6,1.635787
1.130802,6,2.185398
1.105747,5,2.652381
-20.77144,12,4.154898
-10.407702,9,5.013426
-3.613669,4,5.369363
-15.012361,8,6.128562
-10.617277,8,7.011711
-19.927403,5,7.861504
-12.336235,7,8.490633
-15.04736,6,9.116433
3.045892,8,9.827626
-31.271769,11,11.318456
-3.762991,7,11.965298
0.566771,7,12.602233
4.714064,7,13.236754
-11.495293,8,14.435786
0.518546,7,15.096833
-16.601273,7,15.917077
-0.977357,5,16.366183
-15.926826,8,17.097626
-9.685663,15,18.893687
-1.667658,8,19.619457
-11.337268,12,20.743097
-3.394105,7,21.846181
-22.876155,17,23.409854
-5.326515,7,24.054519
-18.7037,10,25.345313
-16.859625,7,26.004949
-15.810444,7,26.649057
0.378062,5,27.119593
-1.210445,3,27.384128
-6.926908,4,28.128951
-4.122964,7,28.795917
9.342202,20,30.626507
-7.185195,5,31.671434
-7.92272,4,32.015274
2.020039,6,32.613204
-15.405566,7,33.242466
-26.680389,13,34.812067
-13.650251,7,35.458516
-2.218894,5,35.938398
2.947993,5,36.38255
-9.925914,5,36.859807
2.683484,6,37.394318
8.180941,10,38.755016
-15.319205,12,39.933483
-13.132682,14,41.764136
-23.30529,19,43.518539
-3.271573,8,44.25519
-10.48061,6,45.191451
-13.18401,7,45.828463
2.78034,11,46.821834
-24.74247,20,49.012801
-19.294782,20,50.737129
-1.338366,3,51.012035
5.475106,16,53.027071
-19.716372,11,54.005718
8.238377,11,55.363468
4.12683,8,56.041583
10.050597,20,58.130138
-18.513609,20,59.872437
6.734302,10,60.771059
-16.976262,20,62.934973
-8.779508,16,64.742465
1.150371,4,65.088987
-1.431726,11,66.082393
37.252888,20,68.167549
-2.936786,8,68.876755
18.042855,14,70.085868
-7.020837,15,71.867611
9.37104,20,73.598872
-4.78731,16,75.443879
-1.764715,13,76.527647
1.866287,10,77.757228
3.754989,9,78.52365
18.408419,20,80.687386
-17.533826,20,82.404074
-10.315873,20,84.48284
8.887918,20,86.234769
38.465497,20,88.403409
16.272508,20,90.612938
17.458969,16,92.003653
-3.425989,20,94.236186
-2.879296,12,95.268257
38.737647,20,97.388594
-18.741873,20,99.080049
-16.076269,20,101.224603
12.250296,10,102.183203
-5.09357,20,104.371909
19.17923,20,106.44831
-8.213614,20,108.156195
-6.201384,20,110.336886
11.772442,20,112.494356
27.261642,20,114.165545
5.792885,20,116.294872
-23.131916,20,118.033289
-14.67233,15,120.061673
34.286964,20,121.73005
-9.519438,20,123.973298
12.804881,20,126.05646
39.755734,20,127.757928
35.392138,20,129.906068
9.494221,20,132.081989
9.06212,20,133.806423
39.04715,20,135.874922
-22.132221,20,137.586797
15.427572,20,139.680687
-10.783171,20,141.874285
39.56023,20,143.651164
-5.891707,20,145.714627
-15.69413,20,147.794026
22.848262,20,149.520571
-12.534352,20,151.597601
0.769565,20,153.32129
10.022288,20,155.382338
17.073256,20,157.430881
10.956384,20,159.199822
16.884723,20,161.271193
29.870886,20,163.367418
39.734761,20,165.070811
-13.771472,20,167.248523
16.688636,20,168.931461
-2.565802,20,171.011247
39.360854,20,173.092922
-1.74648,14,174.267459
39.396394,20,176.364631
10.713685,20,178.102103
19.87817,20,180.302243
-17.336885,20,182.400572
1.447768,18,183.998309
-16.386001,20,186.122406
0.369344,20,187.810411
-23.296284,20,190.020351
12.102406,20,192.150701
-12.468485,10,192.993381
38.490549,20,195.082017
39.025693,20,196.808601
1.920124,7,197.758451
-13.522054,17,199.169066
0.257181,20,201.309673
-18.743006,20,202.990272
-19.649192,20,205.106318
13.265294,20,207.310616
18.504523,20,209.011291
16.207614,20,211.078362
14.281321,20,212.756006
26.406116,20,214.911548
-12.060269,20,217.082123
17.393936,20,218.751467
23.21961,20,220.855324
16.404123,20,222.955922
39.627113,20,224.681498
-13.927634,20,226.842305
-7.431619,20,228.534636
4.731589,20,230.730156
-1.962334,20,232.819742
38.994741,20,234.562789
38.808496,20,236.959248
