#{"t_start": 1715901211.606576, "env_id": "DiscreteSteps-v0"}
r,l,t
-27.883777,15,1.921999
-17.715911,9,2.769221
-14.663787,5,3.217222
-9.461484,3,3.490746
-7.555155,4,4.271447
0.378926,7,4.93757
-5.857533,3,5.210591
-19.247266,9,6.042425
-18.367663,10,7.502796
0.818639,7,8.157781
-18.006693,6,8.690665
-9.960717,6,9.317033
-7.266138,5,9.752147
-12.00703,13,11.434267
-8.917598,7,12.079067
-5.356253,14,13.344188
-5.974628,8,14.551989
-12.301499,11,15.72702
-29.5226,14,17.007143
-4.209535,4,17.377337
-10.298727,8,18.536988
-7.785649,10,19.46269
-11.473468,8,20.203808
2.909655,6,20.769336
-8.13352,9,22.057245
-10.071963,8,22.786909
2.903304,14,24.080644
-24.596726,14,25.730291
-4.76566,4,26.134502
0.925749,16,27.951849
-5.239962,6,28.516876
-10.943886,5,28.99186
-7.868887,7,29.614295
-4.084536,5,30.071053
6.297882,8,30.83478
-4.831516,8,32.167601
-0.896,5,32.63878
-9.275837,5,33.087006
6.797894,8,33.817306
-20.979508,12,35.28043
1.965069,15,36.680823
5.771288,9,37.522393
-11.07275,9,38.780704
-4.373908,15,40.221733
-2.247187,4,40.675537
5.523658,9,41.982893
0.652886,6,42.503178
-7.063111,12,43.631002
-2.256639,20,45.85276
3.129949,7,46.480116
-10.612984,11,47.461914
-22.786954,20,49.62612
7.363275,20,51.922566
2.858999,6,52.487795
6.217683,18,54.112533
30.361288,19,56.157165
-13.382307,12,57.182984
-6.805467,7,58.156324
-13.890016,16,59.547865
-3.841806,5,59.987735
-22.116775,20,62.159564
-3.693709,5,62.605847
-23.687389,20,64.768394
11.590305,10,65.61328
13.498137,12,66.694662
20.201936,17,68.551857
-7.127246,9,69.303206
-6.338386,6,69.842708
4.087138,18,71.892746
-11.684032,20,73.624748
18.027009,15,75.358752
38.83212,20,77.446463
-17.081501,20,79.159601
10.064377,20,81.327848
-21.888145,20,83.026394
12.387587,20,85.142343
-4.814255,4,85.479778
-3.106115,6,85.986068
8.541766,20,88.148057
-18.527303,20,90.337177
13.221819,20,92.110701
29.29958,20,94.341889
-19.66006,20,96.036638
18.987801,20,98.145809
-19.945927,20,100.296785
17.628544,13,101.419097
-14.049632,20,103.70688
-27.435115,20,105.395402
12.348163,20,107.46882
6.370023,20,109.590307
5.015342,20,111.354692
-0.226153,20,113.510527
7.308576,20,115.578934
15.145381,20,117.373333
-18.502325,20,119.782594
8.664056,20,121.474463
3.157113,20,123.711579
17.337155,20,125.809534
5.17647,20,127.523263
39.715289,20,129.670778
-13.281845,20,131.843217
1.080915,20,133.569119
-9.356634,20,135.639072
38.713919,20,137.344433
8.595002,20,139.432017
1.708544,11,140.363555
-4.291171,20,142.623382
-13.345151,20,144.691891
-15.823526,20,146.386242
-10.65125,20,148.478754
16.708574,20,150.201962
4.661725,20,152.292617
-15.49483,20,154.377021
15.624283,20,156.071235
4.141934,20,158.130141
16.33009,20,160.258577
-3.840272,20,161.959887
0.582484,20,164.060803
0.196259,20,165.774157
10.532506,20,167.951648
15.794517,20,170.025518
-4.363029,6,170.531694
10.877972,20,172.612873
7.901169,20,174.293035
-5.768652,20,176.392694
5.935918,20,178.127808
38.965518,20,180.326761
-0.882051,5,180.758473
35.914251,20,182.846431
15.549096,20,184.617246
39.800256,20,186.737534
34.441459,20,188.90345
-1.136654,9,189.646424
17.203726,20,191.802509
13.115842,20,193.496243
14.280693,20,195.585855
-19.298939,20,197.323153
13.056443,20,199.363474
10.361272,20,201.50573
18.313791,20,203.189076
15.218444,20,205.300928
39.790988,20,207.505613
-21.771499,20,209.206216
1.432067,20,211.272266
15.360885,20,212.962018
-15.409656,15,214.679228
1.389137,20,216.836916
-14.781902,20,218.506233
15.796598,20,220.60591
11.047859,20,222.310723
-25.421108,20,224.4451
-16.639496,11,225.382017
39.695686,20,227.545965
6.021325,20,229.645522
33.968236,20,231.426217
18.007659,20,233.510611
-17.197077,15,234.831126
24.377004,20,237.227882
16.06595,20,239.371167
9.612464,20,241.157226
3.892062,20,243.278466
38.643431,20,245.405185
11.208753,20,247.092531
19.291962,20,249.190427
-5.652206,20,250.905632
22.084926,20,252.9866
27.141984,20,255.066607
2.955214,17,256.544398
8.826879,20,258.680983
15.584508,20,260.422272
16.190348,20,262.528066
0.918088,20,264.735552
8.023454,20,266.457205
17.747595,20,268.66677
16.486016,20,270.804279
-5.740178,20,272.51979
35.206692,20,274.556338
38.192993,20,276.245397
-14.48818,20,278.327309
39.074241,20,280.372934
11.566241,20,282.170024
-12.558639,15,283.859186
19.199874,20,285.585791
21.50438,16,287.30719
39.26236,20,289.351478
14.011619,20,291.037766
36.168586,20,293.224373
6.770447,20,294.896621
-5.789457,6,295.790321
9.184669,20,297.467043
-1.426001,20,299.63942
-12.087788,20,301.32021
16.398211,20,303.533571
1.222945,20,305.604507
3.141757,20,307.304483
39.557891,20,309.416961
11.78516,20,311.490795
-3.037363,13,312.584627
23.018312,20,316.73813
-12.576717,20,318.472137
28.028803,20,320.618801
15.713818,20,322.334674
12.55183,20,324.444919
3.692326,9,325.258815
8.794206,20,327.348771
-16.336734,18,329.253238
-7.86614,20,330.963125
19.089255,20,333.30511
12.915358,20,334.993613
18.096589,20,337.041589
17.294063,20,339.136448
29.986237,20,340.865845
-6.024086,6,341.791384
27.83238,20,343.550578
38.162606,20,345.654715
19.081478,20,347.409671
6.501566,20,349.716147
16.712572,20,351.847181
7.593553,20,353.629397
9.066281,20,355.748988
15.611716,20,357.806043
2.117662,20,359.603087
27.908216,20,361.645477
28.357579,20,363.35856
18.864132,20,365.459401
-9.741011,20,367.515586
11.515162,20,369.23834
20.807838,20,371.382496
30.091387,20,373.501973
37.871526,20,375.2195
39.776589,20,377.321719
-5.635453,5,377.740047
-7.757268,20,379.806674
38.950516,20,381.51163
7.204081,20,383.71138
38.835211,20,385.412777
18.438327,20,387.477391
16.165806,20,389.632224
18.535371,20,391.42029
16.404192,20,393.498679
-5.665051,20,395.70492
35.782693,20,397.459693
-19.845595,20,399.54011
14.270825,20,401.326189
-5.539618,5,402.118553
18.929829,20,403.88156
11.000652,20,405.986807
39.56519,20,407.768847
39.720439,20,409.862653
18.576958,20,411.955492
5.879682,20,413.687453
37.318553,20,415.705438
10.815939,20,417.756349
13.859464,20,419.437807
17.321117,20,421.464218
-7.227531,20,423.139744
21.034829,20,425.225338
-19.356042,9,426.00979
2.514775,20,428.165638
20.264671,20,430.194718
9.586178,20,431.900757
14.962997,20,434.100481
15.562009,20,435.78735
31.26218,20,437.820173
19.032789,20,439.877229
23.916832,20,441.600487
12.80726,20,443.666717
32.1851,20,445.941032
16.987524,20,447.634544
0.586164,14,449.245729
39.601262,20,450.907928
18.512511,20,452.960235
9.027839,20,454.995932
39.559098,20,456.694477
39.26474,20,458.779542
38.287015,20,460.539293
34.609427,20,462.635335
17.315757,20,464.752641
9.768545,20,466.441511
17.399231,20,468.487889
-12.267618,20,470.538588
11.744168,20,472.243467
-11.308631,5,472.666179
38.051943,20,474.777487
9.344887,20,476.844201
3.595384,20,478.560995
6.976398,20,480.63874
-2.164403,20,482.332933
8.773763,20,484.400132
31.17605,20,486.47443
39.592114,20,488.175277
15.832985,20,490.278109
12.026169,20,492.378917
18.881235,20,494.077269
13.729701,20,496.134952
-3.886261,4,496.484105
29.545986,20,498.55434
34.417321,20,500.265921
16.617945,20,502.388083
15.695697,20,504.119062
13.527619,20,506.510198
18.181106,20,510.527506
-1.563858,4,510.970789
8.794212,20,513.028034
3.417071,14,516.410313
26.777069,20,520.234519
30.347245,20,522.354346
17.154485,20,526.09045
14.176831,20,528.145235
39.278417,20,531.993705
4.078828,20,536.077298
39.678447,20,538.15031
17.297902,20,542.012795
23.454936,20,545.721491
38.808427,20,547.774487
34.446294,20,551.386807
10.869138,20,553.437374
10.029322,20,557.327822
11.784298,20,561.349128
14.560403,20,563.435129
22.57475,20,567.457361
16.983093,20,571.464578
21.96527,20,573.739308
34.765973,20,577.755867
14.618676,20,579.896256
24.2358,20,583.597633
9.805638,20,587.255584
15.71906,20,589.41101
15.01404,20,593.321861
7.561574,20,597.302415
29.085187,20,599.566944
33.253279,20,603.383641
24.27256,20,605.577182
34.719271,20,609.611974
14.515952,20,613.419807
28.2601,20,615.597034
38.081257,20,619.643094
9.294128,20,623.594632
16.397352,20,625.768471
33.914222,20,627.946888
13.978691,20,629.631031
4.847261,20,631.686594
39.729821,20,633.754298
-8.943729,8,634.458577
14.31875,20,636.513452
11.4417,20,638.199479
34.678981,20,640.252074
5.778193,14,641.420902
25.762666,20,643.508052
34.404795,20,645.245202
6.619327,20,647.286012
14.533873,20,649.388353
25.397246,20,651.087219
39.209285,20,653.144659
34.525576,20,655.219257
24.302212,20,656.904494
17.753546,20,658.938375
30.917959,20,660.647212
9.005647,20,662.780076
5.52679,19,664.724537
27.29425,20,666.392708
3.197255,13,667.827925
23.251883,20,671.414589
18.242653,20,673.506874
12.203383,20,675.561195
1.37218,20,677.242492
11.757165,20,679.408894
10.394731,20,681.127207
12.829194,20,683.352969
-4.335911,11,684.539669
35.356918,20,688.612188
34.408145,20,692.448559
10.748983,20,694.546199
29.320982,20,698.612748
27.603037,20,702.57434
14.731381,20,704.74428
-7.037744,7,705.516481
39.558589,20,709.719775
17.822335,20,713.715058
39.651328,20,715.78615
16.734053,20,719.837284
34.368,20,723.737009
33.433893,20,726.002187
16.953901,20,729.762137
6.025079,20,731.875977
12.185675,20,735.952792
29.959204,20,740.120623
11.06717,20,742.279147
-13.384874,5,742.844763
20.630389,20,746.929937
-5.752843,11,748.061537
34.125084,20,752.198155
7.792167,20,756.223455
39.664565,20,758.352795
-3.013134,6,758.987099
18.717822,20,762.87148
16.706737,20,766.473395
13.799497,20,768.569979
29.899194,20,772.731736
1.45404,13,774.132724
1.853242,8,776.974199
7.654518,20,779.118665
35.477577,20,783.230704
14.413296,20,785.326467
10.970686,20,789.011735
28.955578,20,792.767314
15.361967,20,794.839527
29.634008,20,798.696634
12.117781,20,802.81448
15.002604,20,804.934725
17.440824,20,808.838631
16.618966,20,810.942768
9.313548,20,814.910606
32.347244,20,818.969358
14.826961,20,821.145897
-4.843062,4,821.578997
12.785705,20,825.455774
27.670164,20,829.379817
