#{"t_start": 1715964952.887173, "env_id": "ContinuousJumps-v0"}
r,l,t
5.891411,7,3.94051
9.257998,13,5.484864
0.601823,5,6.097904
-3.280525,4,6.612945
-1.685907,3,6.962592
-16.108701,20,9.322984
-2.754284,6,10.040987
2.556733,7,10.883136
-1.824531,3,11.207998
5.251064,6,11.895912
-3.197193,10,13.006393
2.069498,6,13.723619
8.475712,10,14.915657
4.196865,6,15.613747
1.338352,6,16.286643
1.861424,5,16.844578
0.766526,5,17.45423
-0.655787,3,17.807104
2.150001,7,19.053693
0.091089,8,19.933784
4.389774,6,20.586164
1.494512,7,21.42206
6.724227,17,23.387391
1.240908,4,23.872455
-1.138804,4,24.374532
3.19353,7,25.214316
3.148845,7,26.070522
-0.789428,4,26.53852
0.182089,6,27.278687
4.106187,7,28.097996
4.002106,5,28.662036
0.678594,5,29.31624
1.802201,5,29.929185
4.305216,11,31.290565
-0.679232,5,31.868112
1.116734,7,32.697454
2.404277,5,33.279493
0.754076,5,34.230451
1.963202,8,35.077534
7.802163,10,36.254479
4.242901,8,37.14889
4.859329,6,37.841055
4.784474,6,38.516492
-0.512919,5,39.105554
0.639655,7,39.886722
6.308487,9,40.902377
-1.328058,3,41.221342
4.256691,7,42.038236
-3.373216,8,42.988685
-1.818215,4,43.427674
-0.165366,4,43.85713
3.643197,7,44.627458
2.734068,6,45.358802
1.013545,6,46.076241
1.474329,6,46.743113
-1.127328,6,47.430914
-1.757982,4,47.869877
1.486952,4,48.322078
-1.093361,5,49.286781
2.345927,7,50.033043
-1.394021,3,50.37865
0.099228,4,50.871688
3.115618,9,51.849661
-3.113927,9,52.873085
1.97005,12,54.176799
3.409767,8,55.097245
-7.140885,13,56.594439
2.943089,7,57.414537
2.237256,5,57.983853
-8.475687,11,59.208643
1.428719,5,59.841868
12.395267,20,62.081897
2.939493,10,63.216501
4.365655,6,64.28784
-0.859726,6,65.013877
-4.764278,9,66.071708
1.838606,4,66.512207
2.952472,6,67.195611
-0.606463,8,68.16776
1.066858,5,68.737258
0.055541,7,69.516855
0.563989,5,70.053013
-0.298112,5,70.62851
-2.976244,5,71.193805
3.215498,8,72.157166
0.417776,5,72.724759
-0.869555,13,74.148114
6.287007,11,75.465928
4.926662,7,76.279664
-6.715347,15,77.978988
6.122218,9,79.3262
-1.015144,8,80.31252
-2.254616,6,81.002994
5.936709,9,82.063836
3.177033,5,82.658853
5.42482,11,83.872573
6.633702,12,85.271321
2.761419,7,86.103828
6.414629,12,87.423864
1.590056,4,87.827857
-0.073039,5,88.34717
-0.35712,7,89.1382
-0.417282,8,90.082433
-2.53861,3,90.41287
2.411846,8,91.348469
5.414359,8,92.20736
3.695452,5,92.774992
-2.703222,3,93.142091
17.105093,20,95.713418
15.401445,18,97.742335
1.500134,6,98.401266
5.186871,8,99.294378
1.835465,6,99.929385
14.56312,20,102.159028
-2.422624,5,102.685806
-1.09656,5,103.240286
10.551283,14,104.816072
18.502395,20,107.170323
-0.045033,7,108.000455
0.250129,6,109.005428
6.188274,10,110.12539
-1.670428,6,110.754208
35.610848,20,112.987151
-5.341047,6,113.629231
-2.800838,5,114.175501
-1.996663,5,114.767403
-0.966945,10,115.893574
-1.580091,4,116.3746
-0.156597,4,116.84121
1.675852,5,117.411316
0.863723,7,118.20783
3.285681,4,118.675905
-0.180237,6,119.352325
16.9824,20,121.531917
3.938346,6,122.211488
31.968175,20,124.766205
10.766044,15,126.364491
1.214365,5,126.967417
1.568781,5,127.576716
7.986099,12,128.841959
2.583913,4,129.258891
0.080175,8,130.109046
1.726391,5,130.663588
-0.428394,10,131.765561
15.129108,20,133.876847
0.964815,4,134.305985
9.782529,15,135.94146
