#{"t_start": 1715883063.916141, "env_id": "DiscreteSteps-v0"}
r,l,t
-11.787142,9,1.374719
-29.990785,11,2.388812
-2.845749,4,2.730463
-25.172654,15,4.631708
-7.922145,3,4.899548
-16.652411,4,5.248898
-5.778289,9,6.060959
-7.936021,8,6.79683
-0.98836,3,7.427109
-7.210871,6,8.004303
-21.60895,8,8.716858
-4.601794,4,9.067778
-14.972234,12,10.150333
-13.093102,7,11.151444
-16.670885,13,12.301195
-13.484338,7,12.931313
-7.603746,8,14.065946
-18.894492,15,15.419514
-7.150074,7,16.057576
-28.377233,13,17.607455
2.631104,9,18.43132
-16.481043,6,18.984566
-7.503396,11,19.97582
-7.798155,10,21.204258
2.668754,13,22.375951
-27.459327,10,23.629931
24.051329,17,25.158833
-11.035382,8,25.867965
-1.793794,3,26.158669
-5.101008,5,26.996952
-19.653444,18,28.556968
-8.039907,8,29.26304
1.16582,5,30.087434
-8.442332,7,30.730901
-5.050887,5,31.19941
-6.46088,12,32.283575
-7.140607,4,32.644685
-9.552598,7,33.652465
2.545267,7,34.328628
-6.401964,4,34.710483
-8.570381,8,35.444439
4.550436,8,36.139202
3.889984,9,37.316864
-8.953127,5,37.789788
-7.419436,5,38.230969
-8.36217,8,38.96647
-0.508996,6,39.504162
17.102489,12,40.958992
-1.402352,4,41.332614
6.02303,7,41.960642
19.75377,14,43.567835
15.40438,13,44.726896
-19.994749,20,46.862982
0.207064,8,47.586799
11.084055,14,48.843307
-10.825164,8,49.912732
-6.009268,7,50.572206
0.505883,3,50.834774
4.606685,11,51.766913
-2.161831,8,52.844078
0.758294,9,53.617575
-12.756621,13,54.747511
-5.952124,9,55.560734
-4.351146,6,56.435374
20.809798,14,57.677023
7.498294,13,59.16946
3.585898,8,59.841524
14.296931,16,61.217788
33.607485,20,63.316841
-1.144626,13,64.443817
-20.678488,20,66.517651
-3.188274,10,67.354876
4.568823,6,67.891349
22.681052,20,69.958478
-0.595089,14,71.144903
-2.54187,4,71.862964
15.751914,20,73.618869
-8.618141,8,74.319705
2.592573,10,75.507834
12.214105,16,76.938491
-5.9342,3,77.18752
11.46622,10,78.423922
-6.16014,6,78.941516
1.561547,8,79.612827
-3.360544,4,79.94897
16.044812,20,81.987421
0.665958,6,82.4915
-1.437534,20,84.585782
-21.537666,20,86.301186
1.685772,20,88.364436
32.263381,20,90.506178
-5.031796,7,91.101018
-12.392408,15,92.434858
37.755757,20,94.513431
19.428893,20,96.540847
