#{"t_start": 1716399506.8481903, "env_id": "DiscreteSteps-v0"}
r,l,t
-21.870828,9,1.40518
3.741023,9,2.201386
-13.048954,8,2.93628
-5.575364,11,4.377906
-2.095505,9,5.182013
-37.519418,8,5.907803
-13.164723,9,6.755518
-24.878198,11,8.175696
-12.235228,16,9.623353
-9.292021,10,10.928085
-11.429393,20,12.757289
-15.107749,5,13.261116
-14.930526,10,14.586775
11.223262,17,16.175339
-15.336322,8,16.913996
3.086051,16,18.793477
-7.11979,6,19.320939
-8.444469,9,20.183391
6.750097,12,21.79306
3.214704,10,22.737396
