#{"t_start": 1716399506.8597157, "env_id": "DiscreteSteps-v0"}
r,l,t
-12.580892,13,1.817097
-12.496784,8,2.535057
-16.139732,6,3.087762
-13.402686,7,4.138168
-17.800256,6,4.702133
-9.545376,4,5.057456
-23.453609,7,5.688567
-23.104999,9,6.528602
-5.094351,7,7.595238
-20.653786,11,8.605898
-6.681126,3,8.884785
-15.202763,9,9.692209
-14.548635,15,11.458431
-1.155953,12,12.525521
-0.844831,5,13.014027
-23.250145,18,15.095592
-5.747022,8,15.83085
-21.20913,15,17.627015
-16.210717,8,18.377348
-12.703408,11,19.407148
-0.960275,10,20.343998
-15.416559,12,21.94383
-1.860684,8,22.68009
-6.383762,4,23.073607
