#{"t_start": 1716399506.850192, "env_id": "DiscreteSteps-v0"}
r,l,t
-22.245582,8,1.320504
-25.645867,11,2.311524
-7.143025,5,2.761275
-12.405924,11,4.191588
2.036004,19,5.925237
-23.157605,12,7.451423
-8.412802,8,8.193715
-20.362676,18,9.839964
-4.780124,3,10.118113
-8.342198,8,11.214095
4.513307,8,11.949668
-22.812194,12,13.079328
-2.034193,7,14.134555
-2.435962,5,14.605625
-13.988045,8,15.347074
-7.264227,4,15.698377
-0.068355,3,15.995516
-15.323012,14,17.689671
-19.888619,5,18.138745
-11.255292,18,19.830112
-16.96584,10,21.235444
-10.608107,8,21.996079
-3.223428,5,22.456376
