#{"t_start": 1715966504.5478184, "env_id": "ContinuousJumps-v0"}
r,l,t
1.000137,6,1.175473
1.148881,4,1.556561
0.887844,4,1.950148
0.945639,12,3.386416
-2.207215,5,4.016566
0.780421,4,4.509144
0.653934,6,5.244546
4.239553,8,6.230386
2.55705,5,6.87461
2.69057,6,7.664654
2.900663,9,8.730476
4.30369,6,9.424147
-1.362966,4,9.897016
2.53283,6,10.623723
-0.022336,4,11.091133
5.601639,7,11.954795
5.3925,7,12.792035
6.885392,10,14.001725
7.648982,9,15.11371
3.566561,10,16.743908
1.614832,3,17.107082
1.251059,6,17.857038
-0.506696,4,18.34973
2.836198,6,19.069405
-1.154722,3,19.426762
7.30249,9,20.545618
5.28433,11,21.831385
-7.189172,8,22.794054
-0.514784,4,23.291998
4.076849,6,23.985393
1.175103,9,25.028108
1.273286,10,26.208256
2.428391,9,27.26344
-7.889906,15,28.984605
0.821381,6,29.698413
0.210536,6,30.376899
6.175113,8,31.320388
2.73889,10,32.861052
1.799858,4,33.33171
0.205415,4,33.765311
2.283327,6,34.510071
0.960194,11,35.843975
-2.025991,4,36.324539
6.436641,7,37.15729
2.803191,4,37.664957
-4.272488,6,38.350109
4.256627,7,39.153986
-3.873799,6,39.847264
-2.152718,9,40.923325
-2.409974,3,41.291775
6.232178,8,42.217774
5.302204,7,43.056977
-1.021326,7,43.887327
4.570714,9,44.955411
6.679258,10,46.0957
16.923219,20,48.798431
-2.629881,3,49.171319
2.987735,6,49.873564
-4.557784,8,50.807817
3.198443,7,51.623705
9.113427,12,53.048955
-2.736357,3,53.425536
0.907678,4,53.85948
11.543646,9,54.891805
0.243479,7,55.680428
2.27921,5,56.225963
1.463857,6,56.933719
6.568862,8,57.874261
7.60093,7,58.717487
4.149183,7,59.505592
-3.136893,5,60.119575
2.58336,5,60.720451
4.822213,8,61.658711
0.217397,5,62.26252
2.655253,5,63.307808
1.209161,7,64.114287
3.342521,7,64.955623
4.319189,7,65.781461
0.099808,7,66.603351
5.164044,7,67.414276
4.651258,6,68.122297
8.333244,14,69.770691
1.204309,4,70.247937
8.879661,18,72.340322
-0.405328,5,72.900655
29.826559,20,75.197152
-0.951265,4,75.675433
3.135126,5,76.23174
3.174688,6,76.938937
0.921693,7,78.139444
4.504013,6,78.821062
3.474976,6,79.510057
7.145518,9,80.592569
0.516598,7,81.398636
1.412158,7,82.209507
-0.523775,7,83.034809
5.707066,7,83.818758
1.762989,7,84.651283
4.905502,6,85.346611
2.761604,6,86.083392
20.028127,20,88.403833
8.011078,9,89.5034
-3.989675,8,90.459645
2.585698,5,91.017814
2.860574,6,91.739987
4.538577,9,92.815223
3.37877,6,94.002911
1.424561,5,94.66324
-2.298215,6,95.37724
0.819062,5,95.997126
-0.698083,4,96.459733
-2.78972,7,97.273632
-0.407281,6,97.987123
-2.125008,8,98.933585
2.555349,6,99.691325
9.617686,10,100.957644
9.341257,12,102.368051
-0.512242,3,102.734757
-1.506585,7,103.553184
4.22203,7,104.412254
-0.591525,4,104.906388
9.928736,13,106.484386
1.932001,4,106.954229
-8.421889,11,108.218066
0.45629,7,109.407902
-7.009935,9,110.447065
-4.923847,11,111.733011
-2.668791,6,112.407693
2.562459,5,112.96528
-3.162668,6,113.693174
17.158395,20,116.007927
19.047834,20,118.293429
-2.3899,11,119.515934
0.428995,9,120.477108
0.290949,7,121.222713
0.372278,7,122.113344
4.497026,7,122.948607
9.121621,11,124.693088
3.717645,6,125.391991
1.417583,5,125.954993
12.093557,12,127.283877
-1.13227,12,128.674389
1.667483,6,129.358104
-1.967783,6,130.12684
2.1086,6,130.743822
3.949862,7,131.535214
4.920873,6,132.254465
2.928135,9,133.315575
1.902859,5,133.907932
2.913712,8,134.850411
17.829392,20,137.067986
1.531805,6,137.771264
4.607078,8,138.693817
2.572423,4,139.163237
17.204425,20,141.797761
38.598671,20,143.999328
-0.216821,6,144.704526
-1.48706,9,145.769011
4.753319,6,146.449446
-0.533332,6,147.137904
-2.886677,7,147.911863
2.15747,3,148.297055
-3.182849,14,149.828319
-2.753402,9,150.843462
18.053347,20,153.107195
2.466878,6,153.793825
4.999409,7,155.061448
3.117072,5,155.657937
1.266387,9,156.636061
