#{"t_start": 1715966504.5558193, "env_id": "ContinuousJumps-v0"}
r,l,t
-1.659324,4,1.008445
-2.497731,3,1.312517
-0.544409,9,2.255106
4.350149,9,3.291407
2.83588,7,4.190161
8.905664,12,5.662383
4.402387,7,6.549667
1.851181,6,7.298549
-2.703196,5,7.943761
4.52412,8,8.896906
0.825973,5,9.490377
0.828407,5,10.068569
-2.143787,6,10.805383
-2.476253,8,11.749153
-3.658665,5,12.345744
3.275076,5,12.981628
-2.539186,7,13.823708
4.946171,9,14.898695
-0.171531,8,15.861063
-2.321503,3,16.640864
-2.559677,4,17.166367
1.798845,6,17.913693
3.256747,9,18.978553
8.487915,10,20.182899
3.023504,4,20.728482
3.323642,7,21.524173
-2.682518,4,22.029678
2.952728,9,23.088833
3.097622,9,24.173304
5.622726,8,25.105382
-4.287664,5,25.673807
1.261447,7,26.483906
5.868281,8,27.47198
0.94336,3,27.804648
5.785364,9,28.810583
1.97965,4,29.286581
3.729508,6,29.976096
1.719406,5,30.543781
-4.474404,7,31.376269
6.044453,10,32.913073
4.217201,7,33.691943
4.095421,8,34.68721
6.506207,8,35.637263
-3.238684,6,36.377533
0.134705,4,36.860328
0.307588,5,37.450345
6.867633,8,38.414163
-3.98882,6,39.078994
5.531531,8,40.001271
1.85927,5,40.587934
-3.628178,8,41.579835
2.703053,7,42.384484
1.902014,5,42.984216
4.323575,6,43.688898
3.365952,5,44.293651
0.450809,7,45.105408
2.828165,6,45.7762
0.651749,4,46.260233
-0.261319,6,46.967295
2.240464,10,48.467023
-2.080454,3,48.874553
-0.617004,3,49.222209
4.538974,8,50.138203
7.86813,9,51.202143
-0.072541,5,51.794367
6.473077,10,52.976329
4.883505,7,53.776681
6.835587,8,54.731947
-2.600107,5,55.301026
2.037664,10,56.404154
4.589695,7,57.201864
3.181245,6,57.929384
0.457679,6,58.64294
6.133092,10,59.801205
2.24315,6,60.497121
-1.933439,5,61.115037
3.40481,6,61.823687
5.376649,6,63.018261
5.234744,11,64.273251
8.065533,9,65.377016
3.585197,6,66.077037
-2.969139,11,67.331635
4.788404,8,68.285663
-4.40236,5,68.897061
-2.762086,7,69.699173
-1.526473,6,70.429296
4.15208,5,70.973774
3.341099,6,71.659318
0.908487,3,72.027006
3.1211,4,72.493672
4.935497,7,73.289611
-1.001011,6,73.994211
6.3762,7,74.782673
16.986051,20,77.114912
3.357977,5,77.688569
2.377964,5,78.615272
3.575897,6,79.32306
-1.052925,5,79.943863
-0.114133,5,80.517715
1.182029,7,81.332085
-0.524406,5,81.916687
0.873074,5,82.513986
2.398446,5,83.084962
-2.425387,4,83.558963
-3.42497,5,84.125758
0.837884,3,84.46742
0.028813,8,85.412964
-0.757883,6,86.142348
-1.495331,3,86.475385
-5.764943,7,87.294905
3.193307,7,88.101924
3.584574,6,88.833999
3.445286,6,89.566359
-0.93727,6,90.270833
2.903603,8,91.177794
-1.896158,5,91.795608
2.308937,8,92.728887
-1.151229,5,93.775898
-3.334326,5,94.470885
2.485017,5,95.087253
-3.667631,5,95.653234
-3.373902,7,96.510737
-7.563105,10,97.684774
3.025714,4,98.169113
-0.917029,6,98.855533
2.860854,8,99.865315
1.919251,8,100.878418
0.471862,5,101.468432
2.522498,8,102.434033
5.516019,7,103.263823
4.487665,6,103.979848
-0.710908,4,104.464254
-3.099381,5,105.08701
0.534068,4,105.574275
1.33986,5,106.173148
3.158419,6,106.855329
-1.218454,5,107.436058
3.05036,6,108.127056
15.82012,20,110.838573
0.236134,3,111.223264
2.559424,7,111.990142
0.285076,5,112.567049
1.781715,9,113.606965
1.936747,8,114.560639
5.299249,6,115.277923
1.227423,6,115.934013
7.523895,7,116.752242
3.415213,9,117.785255
17.844161,20,119.981963
0.409891,5,120.528135
-4.373363,8,121.432007
2.327889,7,122.287484
1.583268,5,122.861421
-11.088862,20,125.676872
2.129143,7,126.458108
-0.81708,7,127.200576
-5.022967,7,128.02853
-1.228992,7,128.85548
3.68719,5,129.435928
2.009666,5,130.042983
1.884274,10,131.109831
5.205819,10,132.310449
0.021137,7,133.126983
1.689309,7,133.95792
5.223263,7,134.762229
3.035008,8,135.684902
-0.745958,7,136.436254
20.362603,20,138.744123
-0.008313,4,139.229967
1.93456,7,140.362317
5.289453,9,141.359752
15.527397,20,143.567486
-0.540607,7,144.39283
-2.571551,8,145.334775
-3.008524,5,145.931015
-0.317579,9,146.91185
-0.102804,6,147.640866
4.321986,11,148.90071
4.543115,6,149.543839
-0.853232,5,150.104221
18.826088,20,152.296853
37.612976,20,155.129796
0.509993,7,155.930029
8.960335,16,157.747649
0.602017,5,158.314745
14.923584,20,160.490658
14.724857,20,162.676441
-1.100637,3,163.002572
-0.051776,5,163.572644
19.18973,20,165.889226
-0.578756,5,166.453398
-1.549516,9,167.483801
0.394151,6,168.165076
34.826908,20,170.868642
-1.468025,12,172.283391
1.440773,8,173.175832
-0.599702,6,173.836678
-1.150686,5,174.426164
-4.19711,15,176.098794
-2.376082,5,176.640839
0.406066,13,178.098712
-1.139048,5,178.669799
-1.818173,4,179.109103
-0.358099,7,179.871975
-1.555753,5,180.454707
1.767978,5,181.001309
19.076821,20,183.102582
-1.901324,4,183.559398
-1.466129,5,184.573544
-0.756355,3,184.921253
3.801158,5,185.563364
-0.445249,5,186.131834
-2.149538,5,186.719364
17.205339,20,188.908479
0.35416,8,189.792767
-5.010172,10,190.931284
-2.200388,6,191.586151
-1.136683,5,192.14666
-1.345929,5,192.720586
8.461893,20,194.93213
6.165434,6,195.559113
5.109525,11,196.742755
2.281186,5,197.322312
15.791823,20,199.90185
-1.09523,8,200.749049
16.979737,20,202.853113
4.89854,7,203.649043
0.14981,9,204.624675
3.099766,7,205.394192
-2.14026,5,205.955254
1.847541,5,206.528054
0.187659,5,207.076141
-0.566606,5,207.652847
1.289223,5,208.25513
0.617164,9,209.245366
18.636397,20,211.511693
-0.102689,4,211.988688
-1.812661,7,212.819706
20.258948,20,215.654313
1.6139,11,216.892116
-2.285999,10,217.956744
3.563401,4,218.411452
5.225354,6,219.103596
10.495394,16,220.922244
5.858982,7,221.719012
-2.303573,5,222.336242
1.816418,8,223.258497
2.491352,11,224.48928
1.615666,4,224.962275
0.154855,5,225.532278
-1.114242,8,226.473269
4.818131,9,227.469994
1.708444,7,228.640848
6.164106,10,229.742824
1.697297,8,230.642495
-0.156229,5,231.225388
2.659938,7,231.995597
-2.340821,8,232.872257
0.405615,10,234.011057
2.110907,7,234.761564
7.006054,7,235.479633
5.118168,8,236.358126
14.437792,20,238.558578
37.552161,20,240.811861
14.933512,18,243.060041
1.502524,5,243.665675
-1.46776,8,244.595115
1.46992,6,245.261051
-1.204365,4,245.710295
-0.78555,8,246.652338
3.103504,6,247.335343
19.240267,20,249.577037
-0.216951,4,250.002018
0.447049,4,250.463782
14.852236,18,252.4691
3.829082,5,253.059947
6.059405,10,254.126106
-0.676728,10,255.273955
0.108628,5,255.856699
5.172622,6,256.58208
-1.172857,8,257.493397
2.228912,6,258.523142
13.104722,20,260.69584
-0.212878,6,261.387817
-1.432682,6,262.082051
4.747796,9,263.056098
2.516872,9,264.061735
0.918136,5,264.602216
-2.100145,10,265.730933
16.991695,20,267.970538
3.462764,7,268.711624
-0.640157,4,269.137895
2.377358,9,270.091851
7.388961,11,271.26671
18.109178,20,273.849781
-1.608202,5,274.406953
16.810691,20,276.599373
-4.999927,6,277.282019
-0.927918,7,278.059855
-1.115389,8,278.96468
4.863318,11,280.11469
-3.136242,10,281.150345
18.176242,20,283.308822
38.473428,20,285.370455
3.292945,7,286.11622
2.925874,6,287.092526
9.838229,11,288.282498
2.8232,5,288.848314
0.152903,9,289.841725
13.837614,20,292.07055
1.862593,4,292.53712
-4.910974,9,293.53326
15.625775,20,295.672608
34.840151,20,297.9366
-1.249278,10,299.04359
15.800532,17,301.282325
2.311675,4,301.742893
19.31371,20,303.919356
12.66331,16,305.669159
3.022846,5,306.22988
-1.252675,9,307.224734
4.264215,7,307.960113
-1.789642,11,309.126728
2.751894,5,309.69257
1.435709,8,310.574092
-1.790468,9,311.60037
-0.08109,7,312.374197
37.556961,20,314.613849
1.752274,16,316.730535
4.401412,6,317.470442
-10.467382,19,319.698077
5.591033,10,320.707151
5.329,9,321.728447
-1.047748,3,322.075226
-0.867305,6,322.762
-2.514224,6,323.414526
15.78179,20,325.649918
-0.928822,5,326.273181
15.245652,20,328.608549
8.128648,17,330.844531
3.787237,7,331.626285
0.526034,4,332.073143
6.625996,9,333.11542
0.996267,10,334.249494
-4.534627,18,336.351561
16.902339,20,338.611845
1.350386,10,339.754804
39.698571,20,341.954389
-4.199165,15,343.650441
0.617947,8,344.523715
12.221853,16,346.705671
2.769376,6,347.382791
1.133157,5,347.920792
1.176206,5,348.413945
-0.909031,6,349.080186
-1.525416,9,350.080984
1.357827,7,350.860471
2.27252,6,351.56237
-0.193529,5,352.151725
-10.476942,20,354.36172
17.304459,20,356.543859
2.696586,5,357.116875
0.012175,4,357.558089
-0.661411,9,358.580178
18.136444,20,361.039213
0.776891,6,361.713754
19.087344,20,363.827617
18.759942,20,367.692683
-2.070814,11,368.916995
-2.316516,9,369.91292
-0.560272,4,370.382047
0.110346,10,371.489378
12.004693,20,373.717853
-0.852527,5,374.30016
3.375705,7,375.075227
9.348686,12,376.762374
38.701425,20,378.942972
-2.408956,9,379.882786
-1.638743,5,380.471376
18.525066,20,382.669181
1.512422,7,383.475822
-3.108834,9,384.448591
0.648812,7,385.186856
2.088686,4,385.629217
17.101073,20,387.784927
-7.054744,13,389.150384
-3.595332,8,390.322041
1.311312,5,390.852814
-1.388699,13,392.264963
8.797086,13,393.696154
3.68007,5,394.227602
-2.676584,7,395.013803
14.349921,20,397.117588
0.536389,5,397.676138
-0.281978,7,398.421049
-1.222845,5,398.9365
3.713787,8,399.843838
-2.194229,6,400.550023
8.619662,19,402.640569
3.733493,8,403.50893
5.004544,20,405.999159
-0.303871,9,406.997422
