#{"t_start": 1715966504.5568182, "env_id": "ContinuousJumps-v0"}
r,l,t
-0.669559,3,0.926447
0.016616,5,1.424536
-1.839429,7,2.147137
1.714413,5,2.736108
2.124484,7,3.564632
0.358266,3,3.936124
3.294387,8,4.922248
4.157047,7,5.797895
3.626198,8,6.79734
0.66921,6,7.586653
2.783011,6,8.326808
1.86018,5,8.923241
-0.244437,8,9.83372
5.025484,6,10.546625
3.605916,8,11.506818
-0.54716,3,11.880366
-1.993513,4,12.370583
3.091338,6,13.111863
3.138322,4,13.578767
-0.953722,5,14.194733
2.067144,6,14.926796
-1.280257,6,15.649711
1.662381,5,16.665869
1.787401,5,17.302911
2.792248,4,17.78928
3.346909,7,18.631614
-3.251226,6,19.361716
-0.289639,6,20.075896
-1.169243,3,20.479622
-10.55326,12,21.909952
4.037141,7,22.729069
9.913283,11,24.053984
-1.982711,7,24.844423
-1.736275,3,25.259588
1.669858,6,25.911364
1.652337,6,26.623921
5.711134,6,27.348431
0.155813,4,27.828698
-1.02371,4,28.285532
0.094599,7,29.049582
-0.950241,4,29.533604
5.659615,6,30.209647
1.621367,7,31.026719
-2.887359,7,32.238937
-0.813537,8,33.156599
3.960231,8,34.09994
6.700159,8,35.071828
-0.546764,4,35.531472
1.155068,6,36.265537
2.450763,6,36.989326
2.20498,7,37.839958
3.753567,8,38.756736
-1.489765,7,39.55324
7.512787,10,40.728351
-1.905893,4,41.231408
0.887956,5,41.836673
7.075654,8,42.759904
0.217914,5,43.337091
-1.628656,3,43.710311
1.270159,5,44.315827
-0.568535,4,44.777417
-3.327644,5,45.366546
4.092573,5,45.912408
3.575016,6,46.614217
4.599765,6,47.677798
6.755527,9,48.738865
5.554951,8,49.673645
3.090663,5,50.298097
3.520546,9,51.339366
1.841271,5,51.934949
4.774473,6,52.636442
0.65458,5,53.264103
3.295281,6,53.939856
-2.854269,5,54.522114
-0.361744,14,56.071488
1.580353,6,56.751347
3.999551,6,57.432801
-0.546659,7,58.296043
0.308965,7,59.124673
-1.116535,4,59.598315
-0.392564,3,59.922293
0.023658,9,61.01289
1.674721,8,61.954518
0.406019,4,62.920317
0.630187,6,63.57969
3.100296,8,64.552304
-2.154047,5,65.136152
2.796371,5,65.706587
6.996587,8,66.673028
4.715871,6,67.355138
0.861935,4,67.814102
4.541512,6,68.51711
-5.668497,14,70.17401
0.830246,6,70.868723
6.21027,7,71.683414
7.17977,8,72.626234
3.379132,7,73.449736
2.348769,9,74.459265
5.307853,7,75.266697
4.645952,9,76.309824
4.71193,6,77.004025
3.266985,8,78.304779
-0.459975,4,78.755058
1.97516,5,79.34796
-0.372038,8,80.282556
0.442766,6,81.006109
0.441358,5,81.57186
0.958911,5,82.1404
7.016991,10,83.326522
5.014662,6,84.012758
0.010035,6,84.74268
4.240577,7,85.535697
5.603047,9,86.655638
1.872978,7,87.421642
7.635217,13,88.976825
5.034907,7,89.795971
4.176251,7,90.636587
4.444592,7,91.453063
-3.738589,5,92.055538
5.249835,9,93.138168
-0.353052,7,94.493892
0.338376,4,94.923233
1.684997,7,95.814123
1.334488,7,96.675745
-0.25618,6,97.338736
0.117002,6,98.052196
1.463678,5,98.622083
0.691132,5,99.25899
