#{"t_start": 1715966504.5538018, "env_id": "ContinuousJumps-v0"}
r,l,t
-1.596686,6,1.210489
5.413886,6,1.775814
2.516596,11,3.038088
3.901506,7,3.900527
0.727725,5,4.5513
-3.14894,5,5.15627
0.730732,4,5.640273
-1.528627,6,6.410048
1.598517,4,6.924742
0.327993,4,7.413683
1.678481,11,8.77249
0.579617,6,9.467274
2.196809,4,9.93917
5.244908,7,10.780396
-3.686952,8,11.724661
2.110502,8,12.696165
0.372683,6,13.425534
-4.694535,7,14.295275
5.775216,7,15.158819
5.942228,7,16.398091
6.358516,8,17.413271
3.405861,6,18.14055
3.490963,11,19.480373
-2.353901,5,20.04192
1.439144,5,20.703003
3.022526,6,21.402365
-2.704918,5,22.00561
-3.502111,8,22.937449
-0.522122,3,23.353319
-0.565477,3,23.701139
2.765819,4,24.148827
-0.540627,5,24.710495
0.04921,3,25.083764
8.084425,8,26.012454
-2.279232,6,26.74846
-2.819949,6,27.44746
1.404785,7,28.251596
4.991392,8,29.158602
3.691677,10,30.293869
-3.928029,7,31.125079
-1.358482,6,32.205953
-3.722554,5,32.77406
5.21666,9,33.809381
4.312383,8,34.80089
-2.364481,5,35.380046
-3.858007,11,36.732349
4.449715,5,37.303368
-2.32708,6,38.035968
0.928163,3,38.392175
3.80883,7,39.197915
2.772958,8,40.112993
4.559583,8,41.08728
1.647805,6,41.800095
-2.173851,7,42.618016
-2.992353,6,43.303605
-5.952454,7,44.1577
4.109579,6,44.871357
3.155771,8,45.755246
-4.186717,8,46.711146
3.047573,7,47.895821
-4.125718,6,48.584943
6.975163,8,49.512196
9.238688,10,50.721259
7.63933,8,51.670412
4.227722,6,52.364517
0.123437,7,53.229615
0.654551,6,53.905748
0.430586,5,54.489194
5.159846,9,55.502453
-0.802959,7,56.274741
0.941122,8,57.180782
-2.461497,5,57.778295
2.198417,4,58.260507
0.625259,4,58.75952
-4.366797,7,59.563109
-2.492479,4,60.031526
-2.480644,5,60.62929
2.719436,5,61.214314
-3.270115,7,62.067224
5.320045,10,63.686709
5.033024,7,64.517413
2.584129,6,65.244482
-0.162462,7,66.04801
4.424299,7,66.877457
-4.133174,9,67.917585
4.670667,7,68.753595
2.770718,5,69.338596
0.827119,6,70.03488
1.888834,7,70.836231
1.12106,4,71.324006
1.017675,7,72.133318
7.723888,9,73.152233
-3.687667,6,73.871142
6.250835,10,75.004602
-0.396237,5,75.587825
-0.786267,5,76.146863
2.222169,6,76.855964
-1.276554,5,77.414758
0.458478,8,78.721133
1.41858,7,79.551075
2.559592,7,80.374677
-0.109438,7,81.198026
-2.034743,9,82.257155
1.533689,8,83.182273
1.053097,8,84.10276
3.051347,5,84.708663
-1.055788,10,85.854453
1.514582,6,86.618755
7.039338,8,87.522928
-1.820615,5,88.076506
-1.533401,6,88.812231
3.294647,6,89.545132
4.631104,7,90.378728
2.457334,4,90.823811
-1.350495,4,91.28483
8.900443,8,92.256883
4.105298,6,92.97797
-1.508189,6,94.212893
7.387056,7,95.063253
4.884902,6,95.774544
18.54885,20,98.149144
-4.060959,15,100.0093
11.337416,14,101.700654
5.102552,6,102.411067
-0.81021,3,102.78403
6.338256,7,103.598343
-4.656238,11,104.948749
1.874321,5,105.550526
1.102904,4,106.033928
16.946813,19,108.268092
-0.929513,4,108.723232
-0.854055,5,109.720904
-0.365811,8,110.609006
3.181593,5,111.200674
34.783455,20,113.474732
8.465829,11,114.779426
2.012793,4,115.256021
18.041595,14,116.853888
6.611113,7,117.634183
-0.831102,3,117.993053
2.543712,8,118.866573
4.74011,6,119.574961
-0.521464,5,120.080997
7.880355,11,121.273535
-1.432467,6,122.012639
0.714438,5,122.634437
4.018897,5,123.239219
-0.058576,6,123.926875
37.545222,20,126.684241
-0.989112,6,127.345599
8.4415,13,128.834751
5.718914,8,129.793465
9.320776,12,131.084828
-0.003671,8,132.055472
5.822878,9,133.101999
2.529803,3,133.475268
-0.398444,5,134.075487
-0.906119,8,135.005707
1.347153,11,136.190111
4.951377,6,136.858319
0.389196,5,137.436102
11.279989,15,139.205904
1.596557,9,140.562392
18.875963,20,142.809486
-1.270459,7,143.544489
-1.894227,11,144.854948
10.26851,19,147.036877
2.436323,13,148.567091
-1.071265,8,149.430616
-0.167879,4,149.890362
0.396908,6,150.565569
4.004514,7,151.305243
-3.138448,6,151.948796
-1.776615,6,152.653727
-0.225998,7,153.475021
2.070771,5,154.054307
-0.920014,5,155.109159
0.302997,4,155.574802
2.97425,5,156.133368
6.762943,8,157.037391
-0.290378,8,157.97453
1.8884,6,158.654813
1.661356,5,159.212029
-2.147796,6,159.844383
3.64644,6,160.465591
10.867909,12,161.805913
3.520932,5,162.351762
0.939403,7,163.110931
-3.121833,7,163.934286
8.74128,11,165.195394
0.076747,6,165.867242
0.521889,5,166.428841
1.379316,7,167.21805
38.691721,20,169.934386
6.198112,7,170.744829
3.708345,7,171.531334
17.859873,20,173.811709
-0.871446,5,174.401551
36.647443,20,176.615704
0.93467,5,177.191303
2.862541,6,177.85072
11.589405,20,180.073608
19.096663,20,182.232541
11.791651,11,183.423441
-1.198538,11,185.144685
-1.412623,5,185.798909
-2.42044,11,187.056192
-4.420423,6,187.725065
39.629948,20,189.894906
8.239826,12,191.23597
3.583532,5,191.823334
1.22688,8,192.69559
-0.172926,10,193.821593
33.274461,20,195.972847
19.312192,20,198.174698
5.605386,7,199.334029
-0.823377,5,199.880854
2.544586,9,200.857207
4.199072,6,201.508545
15.654658,20,203.628005
1.482473,4,204.076959
-1.491517,16,205.819115
-1.046941,5,206.404658
0.140183,9,207.440018
3.017487,5,208.017265
0.844615,5,208.572949
2.48038,6,209.221426
-0.40764,9,210.206229
6.334529,6,210.893576
-0.623232,6,211.624728
15.647738,20,214.592176
18.964334,20,216.772187
11.960134,20,218.973457
-0.877059,6,219.637694
-3.890709,11,220.900181
-2.831517,8,221.860903
-2.154335,17,223.801452
3.068655,5,224.368519
-0.319699,5,224.939293
-0.656604,9,225.991121
-1.726603,5,226.590158
17.838992,20,229.180301
-4.086195,12,230.521522
17.25352,20,232.752876
2.952597,6,233.417437
-0.362521,5,233.986083
38.543059,20,236.100452
38.733046,20,238.308471
17.342151,20,240.569276
10.192551,14,242.155334
1.083264,7,243.170869
-2.274236,9,244.26909
-5.947708,18,246.291482
-1.823017,5,246.852122
3.928745,12,248.196232
-0.197152,10,249.321687
4.672453,12,250.674816
8.961503,14,252.223063
-1.240577,7,253.032956
18.625633,20,255.249863
-1.011394,7,256.0754
14.943508,20,258.745316
-2.335506,7,259.561081
17.358661,20,261.718599
-1.668485,7,262.500147
6.193561,7,263.275835
-1.378581,10,264.387923
0.015339,4,264.829861
1.875572,6,265.481485
-1.765056,9,266.475406
0.378285,7,267.265759
-1.513353,5,267.841694
-2.670178,10,268.904945
12.684238,20,271.048668
1.078005,6,271.712166
-3.795611,8,272.95977
2.789159,7,273.732673
0.241803,5,274.276191
-0.576556,5,274.833805
-0.676769,5,275.357277
-1.321047,9,276.337749
-1.011695,6,277.055846
4.004415,17,278.941571
38.48547,20,281.038376
13.834633,20,283.170959
15.602744,20,285.242145
19.108354,20,287.733764
16.114172,20,289.969649
7.140343,10,291.046449
3.847501,6,291.715817
0.800259,9,292.744251
19.29374,20,294.843966
-5.085638,11,296.124024
-0.884291,7,296.933181
0.238126,6,297.60415
-1.495784,6,298.264848
2.109394,6,298.916502
0.549449,9,299.88668
17.069021,20,302.49345
18.021949,20,304.651887
-0.222036,6,305.303621
6.759141,9,306.335799
-0.863658,5,306.878005
18.365117,20,309.004358
11.502147,16,310.796213
-2.559111,8,311.702462
-3.306428,10,312.793874
-0.801295,6,313.502536
-1.135708,11,314.737891
5.721791,10,316.165296
0.799073,7,316.962539
2.504254,6,317.703538
9.748769,16,319.546351
0.595138,7,320.293593
1.868605,6,320.938699
4.905593,7,321.70391
0.506604,4,322.194823
1.557807,14,323.724032
4.295199,7,324.536514
37.578625,20,326.80859
4.56348,7,327.609359
9.381308,14,329.265017
-5.066475,18,331.605888
12.322812,20,333.886727
-2.137231,6,334.575601
0.392247,5,335.195431
0.303203,4,335.676244
0.4274,9,336.674584
6.100167,11,337.890982
7.629963,15,339.5886
0.677533,6,340.276486
-3.551865,9,341.222366
-0.726764,5,341.816402
-1.723243,11,343.052446
2.950333,17,345.38173
-1.208755,6,346.019051
-0.728995,7,346.822728
0.367057,4,347.245892
14.623549,20,349.394341
-0.140957,5,349.948871
1.564916,4,350.378771
3.655864,6,351.1034
-4.924659,15,352.784119
19.143616,20,354.996744
-3.374105,7,355.755828
-0.463874,8,356.651876
2.076119,9,357.690269
-0.757945,5,358.238059
5.761867,10,359.338097
0.733877,5,360.171038
1.30885,9,361.154363
7.830283,20,363.254415
1.833601,6,363.93487
0.461624,6,364.599346
-3.917616,14,367.796697
-0.771226,6,368.441428
-0.407688,11,369.661945
-1.953436,11,370.939607
1.376918,5,371.466653
3.76405,6,372.109377
0.284608,4,372.584598
