#{"t_start": 1715964952.843174, "env_id": "ContinuousJumps-v0"}
r,l,t
1.273851,8,4.026493
4.865947,8,4.974517
-2.010269,3,5.327627
-2.45509,8,6.327285
3.389636,6,7.048577
1.196468,6,7.769319
-3.088269,4,8.258224
0.006808,6,8.95193
0.798043,12,10.371194
9.1751,9,11.422957
11.08027,9,12.406538
4.759098,6,13.103487
1.795097,7,13.926582
-1.423211,3,14.319229
1.6261,6,15.004662
1.522556,4,15.465664
10.804337,14,17.066589
8.684161,10,18.668783
2.0926,5,19.236293
-0.676245,6,19.882769
5.018243,6,20.543597
1.322352,4,21.027127
0.314268,6,21.737515
-2.69047,4,22.206461
-1.799183,3,22.567675
7.021657,9,23.60746
0.942774,4,24.089846
3.564607,5,24.682561
-0.74796,4,25.146565
3.465531,6,25.887287
-1.321795,3,26.265522
1.295129,6,26.96741
5.766357,9,28.055092
-0.276498,7,28.887682
1.262902,6,29.613186
-1.786671,6,30.391186
-1.490061,8,31.374126
-0.063102,7,32.181837
-1.511383,5,32.782361
2.573793,9,34.191348
2.297193,7,34.915148
0.428535,4,35.389647
-3.01049,16,37.232966
-2.388962,4,37.683355
1.94034,5,38.249518
5.064234,6,38.951512
7.359258,8,39.830277
4.034666,6,40.511342
6.723109,8,41.399691
-1.597392,5,41.98298
0.484719,7,42.823162
1.197575,4,43.296136
-5.201997,9,44.26547
5.309739,7,45.084634
5.487991,7,45.903005
-3.511872,6,46.586065
-0.629132,4,47.053395
7.281125,8,47.955868
-1.350215,6,48.626768
-2.453425,6,49.676166
-1.253861,7,50.463681
1.469684,4,50.95365
2.088914,4,51.376974
-2.184912,6,52.037642
-4.404387,6,52.711101
9.050653,12,54.031808
3.802164,9,55.038243
9.360852,12,56.430439
2.707307,7,57.246534
2.120349,6,57.927854
17.823924,18,60.038865
-2.120695,6,60.705868
-2.944038,6,61.383927
1.868878,6,62.042893
0.269403,7,62.848391
5.318161,6,63.523118
2.980335,9,64.973901
7.629262,9,66.032691
3.758443,6,66.706951
7.948651,12,68.088772
2.818665,8,69.016272
15.433345,17,70.936266
-1.92012,4,71.416718
1.227886,11,72.661802
4.397751,6,73.346858
-1.130429,9,74.348167
2.009826,3,74.682915
-2.252401,8,75.665318
3.097259,8,76.596025
2.447192,9,77.616297
-1.163103,4,78.077474
0.273178,6,79.026646
2.185845,5,79.642042
5.021285,12,81.090994
-2.011323,5,81.666848
0.57666,6,82.393839
7.219607,14,83.969549
-2.073166,6,84.660372
-2.691496,6,85.357368
-7.014376,13,86.85983
2.346675,4,87.273767
18.865337,20,89.438531
12.572825,15,91.202262
-3.741254,5,91.745393
2.818178,12,93.103106
3.36316,5,93.997253
7.163235,11,95.225734
0.054023,6,95.90439
-1.421314,5,96.483044
7.069639,11,97.693921
1.005702,8,98.601737
-0.0281,5,99.135104
2.994119,6,99.780289
-0.826745,6,100.431513
3.106434,6,101.083767
1.457172,4,101.541007
4.118775,12,102.889685
2.143892,7,103.629141
3.310238,6,104.328481
-5.331094,12,105.690124
0.393762,4,106.184959
0.266482,3,106.546073
4.622753,6,107.255286
-4.547663,6,107.956153
4.14664,12,109.631622
2.55542,6,110.304576
1.647666,6,110.945729
5.287387,7,111.724446
3.745344,9,112.726674
2.585559,12,114.028937
2.629906,6,114.719865
