#{"t_start": 1715964952.8651767, "env_id": "ContinuousJumps-v0"}
r,l,t
-2.379141,3,3.406989
0.189263,3,3.787505
2.744658,5,4.384095
-2.756993,4,4.874761
-2.028925,6,5.598996
-2.014961,5,6.215803
1.309396,5,6.82494
1.934335,6,7.555918
9.972941,11,8.842748
0.207917,6,9.55666
0.996787,5,10.142148
1.304583,5,10.716694
6.779137,9,11.747
-2.175392,4,12.195448
8.375944,10,13.343552
3.814335,10,14.556219
0.564085,6,15.254738
2.32397,6,15.939643
4.487798,5,16.493742
-5.290032,6,17.212279
-2.153787,7,18.022854
-3.786149,9,19.462383
0.548129,4,19.907767
7.623161,11,21.155319
5.617658,7,21.980512
0.059008,6,22.696091
1.60733,7,23.489132
5.251311,6,24.225843
4.725413,9,25.316327
-0.315742,5,25.93651
-0.490729,4,26.389616
3.145204,6,27.13269
-0.264256,3,27.510672
-1.024917,7,28.330014
4.763065,7,29.165943
-3.905232,5,29.767183
-4.87852,7,30.678185
-2.386318,7,31.514182
-2.556149,4,31.966247
-0.158087,9,33.022438
4.633352,12,34.729084
-2.073142,7,35.525515
1.198336,5,36.117468
2.007746,5,36.694847
4.218148,8,37.583184
1.165456,4,38.053406
3.817004,5,38.630282
15.394518,20,40.877896
0.356258,5,41.425352
-0.994154,4,41.885977
10.515352,15,43.62859
0.121239,5,44.167462
1.261771,7,44.986112
4.730682,8,45.930129
2.133039,7,46.701471
4.300275,5,47.299848
2.986441,6,47.982126
0.99188,5,48.517514
2.9842,5,49.481875
4.483646,6,50.130057
0.009792,6,50.837655
2.181091,7,51.59763
2.187168,9,52.595081
-6.027723,7,53.43281
10.725925,13,54.811569
1.564955,4,55.307569
-0.414621,6,56.009052
3.536091,5,56.566439
1.548989,6,57.277536
-2.382222,5,57.830855
-2.267863,6,58.504495
-2.625436,9,59.553725
0.603853,13,61.071897
0.052403,6,61.730901
17.263599,20,64.421816
5.861038,8,65.348786
0.443647,3,65.701576
12.778043,10,66.831946
0.41883,5,67.426733
-1.000762,5,67.982759
1.808304,5,68.593765
5.626368,7,69.372743
1.706833,7,70.158148
0.964137,3,70.465759
3.807603,8,71.4446
3.310102,5,72.020152
2.734433,7,72.84453
6.433187,8,73.694187
4.716776,6,74.38843
2.026248,3,74.709294
3.328033,6,75.424252
1.946544,3,75.811265
-0.67684,5,76.382602
1.831048,6,77.084842
3.899192,6,77.744115
2.565834,9,79.065661
-1.338996,7,79.891214
1.238447,16,81.799847
2.233246,9,82.871567
8.200743,8,83.724537
7.668447,8,84.700395
-1.115636,6,85.390368
1.470502,7,86.211931
9.185167,19,88.211386
3.630578,7,89.002766
1.294756,5,89.589513
6.050458,8,90.513346
2.864189,14,92.066638
12.086135,15,94.148542
0.300931,6,94.811234
-0.000437,4,95.253422
2.875811,6,95.934508
5.085856,5,96.510952
-10.82011,18,98.506585
1.758026,4,98.92454
14.593974,20,101.112152
-0.553304,8,101.986437
1.671338,16,103.770632
2.607741,5,104.355897
2.075852,4,104.787904
3.346558,5,105.368522
-1.904352,4,105.849771
-0.987597,6,106.587795
7.857092,10,107.74554
-0.766747,4,108.212787
4.674648,10,109.65476
11.502416,17,111.517365
6.518897,6,112.197711
2.139792,7,112.960023
15.748383,14,114.487654
-1.606792,11,115.73007
15.527788,18,117.823307
5.132216,7,118.621773
18.571844,20,120.849769
3.167278,4,121.301575
1.958616,4,121.744634
15.036341,18,124.092697
-0.526004,6,124.737092
17.087382,20,126.92346
-1.629035,5,127.544612
15.184235,20,129.6616
6.468249,9,130.626614
-2.765948,6,131.328025
11.391634,15,132.898923
-0.277349,5,133.429799
15.924596,20,135.557694
7.890399,13,137.071722
-1.772528,3,137.802575
0.254094,3,138.116088
5.243616,5,138.662326
37.392026,20,140.726162
-0.425086,6,141.235103
0.514866,7,141.858838
-4.732884,7,142.522641
0.701692,7,143.164966
-0.964518,7,143.772272
0.213095,7,144.434397
4.121433,8,145.129831
1.815621,5,145.565714
-0.772495,5,145.987585
10.970342,15,147.436231
1.384871,7,148.223606
3.805948,6,148.945973
-0.91382,6,149.67196
-1.560579,5,150.229141
17.751076,20,152.871511
2.007856,15,154.444457
-0.494825,5,155.008446
0.613777,6,155.714572
-1.174832,8,156.549949
6.167177,9,157.509626
14.819455,20,159.744796
5.996228,11,160.908935
2.611013,5,161.430236
3.940889,5,161.943334
