#{"t_start": 1715964952.8351743, "env_id": "ContinuousJumps-v0"}
r,l,t
5.162222,5,3.637359
-2.661161,5,4.241491
-2.167617,5,4.838046
0.774318,6,5.566281
0.319349,6,6.310383
-6.386229,7,7.171401
-2.511406,11,8.478705
1.551243,9,9.502653
-2.299119,4,9.988884
-0.618329,4,10.483827
0.830915,7,11.290003
-5.133038,7,12.071507
1.456332,6,12.727544
-1.149134,3,13.085483
-3.948132,9,14.155491
3.903738,5,14.756166
-2.510034,6,15.448646
3.840539,6,16.138728
1.059361,4,16.596402
5.459284,8,17.53423
-0.844517,5,18.117597
-1.551833,4,19.003675
1.997643,6,19.658277
3.006504,10,20.776062
-4.900839,7,21.617516
-0.572618,6,22.318052
-0.532959,8,23.232376
4.370841,6,23.952954
4.593357,8,24.912549
-5.996705,11,26.249518
-1.89207,3,26.619535
3.459137,4,27.096674
3.031762,9,28.178019
-0.580004,7,29.028666
0.08436,9,30.125198
3.637017,7,31.021883
-2.130946,10,32.158711
3.859964,8,33.114539
2.506952,6,34.170061
7.633784,11,35.372515
2.57777,6,36.088473
5.205681,7,36.911848
5.227327,6,37.551948
-3.258154,9,38.596979
10.534777,15,40.277888
2.400284,4,40.751101
2.791275,10,41.854164
1.794933,8,42.806103
0.705105,6,43.507543
1.45941,5,44.038657
-4.109963,7,44.823159
1.495582,5,45.439805
6.06163,9,46.466397
1.241755,7,47.254852
2.889145,5,47.81077
-4.305474,7,48.611361
6.045866,8,49.89748
5.566619,7,50.695647
5.444042,7,51.475947
-0.838944,5,52.023644
-2.145703,5,52.565096
-3.68277,6,53.286785
7.873625,10,54.367535
-0.580092,5,54.903591
5.502497,9,55.976062
-1.166371,8,56.919441
4.431615,5,57.496531
-0.290154,5,58.062891
1.08853,8,58.931741
1.177232,4,59.402755
-0.971572,5,60.022889
4.588659,11,61.271897
3.419519,8,62.161939
-1.330749,5,62.71673
1.777884,5,63.297516
0.285581,9,64.746811
2.260093,11,66.015676
-4.115783,5,66.591945
0.506934,6,67.276627
5.322323,8,68.250756
2.038853,15,69.90767
-1.411352,3,70.250065
5.463632,10,71.398155
-0.674056,5,71.990081
12.014904,20,74.229202
3.807598,8,75.176621
2.257234,6,75.907661
0.32367,8,76.848054
2.823126,11,78.0586
-1.136471,8,79.268663
-2.158342,6,79.991199
4.428648,7,80.829509
0.608329,5,81.434989
-0.073749,7,82.268837
-0.812317,10,83.377575
-0.662081,5,83.95354
3.124904,5,84.527385
-2.057494,8,85.485385
-2.479431,5,86.05675
-3.165909,7,86.840809
0.187978,5,87.378859
