#{"t_start": 1715964952.8791728, "env_id": "ContinuousJumps-v0"}
r,l,t
-3.325554,6,3.813493
0.051299,7,4.655415
-0.562465,8,5.622876
2.571553,4,6.078939
1.151642,4,6.588943
2.507861,7,7.446493
0.208243,6,8.16723
1.294935,6,8.866838
2.436071,8,9.807538
-7.192753,8,10.743736
-0.31928,5,11.338988
-2.448727,9,12.318502
0.286509,4,12.781462
-0.512414,6,13.495493
-0.627257,6,14.225592
-0.96762,14,15.841738
-9.83102,15,17.576767
3.830168,8,18.919689
1.137869,7,19.707277
-5.969267,10,20.829302
2.449368,5,21.40599
4.313805,6,22.119463
1.87576,16,23.999958
-1.835645,5,24.591543
-5.386533,6,25.356284
0.083761,5,25.959521
-4.014782,7,26.776959
1.627772,3,27.154687
3.268598,7,27.96409
-1.875639,7,28.800749
3.305023,14,30.566246
-1.037009,8,31.554019
-0.466718,6,32.231064
-2.636716,5,32.818053
-2.1878,5,33.404604
-1.964878,7,34.530602
2.97338,4,34.962149
0.580381,3,35.291519
6.240925,11,36.584851
16.188997,17,38.498491
-0.968375,5,39.088546
2.520069,8,39.996867
6.641146,13,41.448361
-4.360482,6,42.158278
2.601359,4,42.614619
3.541174,5,43.208009
-2.328869,5,43.747431
1.479018,9,44.74116
1.982489,5,45.342881
4.766477,6,46.060647
-0.901715,6,46.72678
9.061158,13,48.211549
-0.327387,5,49.166322
5.94035,11,50.361649
-3.040637,4,50.856663
9.730118,9,51.834637
0.415215,7,52.624092
1.982803,4,53.091683
0.862264,11,54.283524
0.525353,7,55.079227
0.408037,5,55.68605
5.444243,7,56.46446
-0.351857,3,56.83345
-0.505392,10,57.968854
0.995615,8,58.824503
-0.129146,5,59.452734
-0.582508,8,60.391778
2.135915,5,60.970908
5.231165,9,61.958899
2.545017,5,62.517743
-0.069626,6,63.198528
4.791121,7,64.443801
2.973335,6,65.123888
2.655705,4,65.590581
3.698168,6,66.293222
1.312935,7,67.077402
0.890362,5,67.661662
2.228006,6,68.389855
15.569234,20,70.611629
3.955988,5,71.174924
0.397203,4,71.679424
3.050211,9,72.706422
6.123508,7,73.484773
2.623631,5,74.022607
0.742128,6,74.73308
2.147912,6,75.446802
4.081774,8,76.407603
-5.720627,8,77.330378
2.127458,6,77.963104
4.938809,8,79.184649
4.104503,8,80.158025
6.788567,7,80.984004
4.913324,8,81.938854
2.767174,7,82.766555
-1.110472,7,83.52955
-0.169957,6,84.229335
-1.624487,8,85.151375
2.421735,7,85.969834
2.614326,4,86.446953
33.088154,20,88.572832
11.846281,13,90.065143
3.682386,5,90.639844
1.780256,4,91.112913
1.768663,4,91.560398
4.956938,8,92.455735
0.35038,5,93.005041
3.977083,6,94.035493
1.206126,6,94.711081
-3.474587,8,95.600286
4.198433,7,96.39471
4.534114,8,97.300425
0.775677,8,98.168538
6.579409,9,99.170642
15.399741,20,101.34686
4.498388,6,102.015719
14.133325,20,104.241941
-0.814957,11,105.498032
2.132858,6,106.224499
-0.978696,7,107.041229
1.397711,4,107.52022
-2.553858,6,108.235803
3.192909,4,108.987423
7.337496,9,109.998113
9.012978,13,111.412354
5.417792,10,112.524746
18.755332,20,114.751671
0.185759,4,115.188118
-1.388657,5,115.753228
2.965137,7,116.603584
0.048765,6,117.252318
-1.149209,4,117.722298
0.236751,3,118.071274
1.132992,5,118.658779
-2.198202,5,119.220622
-3.337905,5,119.772808
2.535859,7,120.53246
3.293912,5,121.068631
-0.492467,9,122.096398
0.786699,6,122.764092
16.135256,19,125.192531
3.836116,5,125.696771
-0.346608,6,126.347479
4.246177,5,126.948457
4.934368,8,127.907641
16.662638,20,129.990052
0.065138,6,130.647688
0.566721,4,131.089544
-3.118396,6,131.750569
-1.253798,7,132.4887
-2.027903,9,133.462837
-2.271263,8,134.289382
-1.853224,5,134.844899
4.911408,9,135.808185
1.375683,4,136.235553
0.115888,6,136.959143
-2.496733,10,138.467778
2.841537,6,139.12196
13.855135,20,141.062123
-5.264975,12,142.144444
3.642723,6,142.70725
-1.82572,5,143.183927
5.382299,8,143.868193
1.019787,5,144.349911
17.706594,20,146.112141
17.304536,20,148.097595
0.620659,7,148.972991
15.428094,20,151.686805
16.146493,20,153.829067
3.324454,7,154.569123
-2.09447,4,155.02943
0.609922,5,155.587438
-1.593324,4,156.025509
-6.980085,13,157.392237
-2.224237,8,158.298595
37.505037,20,160.519923
17.897617,20,162.609786
-0.478404,6,163.272873
5.466404,9,164.262506
-2.514475,6,165.258216
-0.114224,4,165.691839
16.456499,20,167.941173
38.733053,20,170.17202
-0.226208,5,170.746522
-0.566612,5,171.324571
0.477594,7,172.11344
0.83239,5,172.672091
0.906123,7,173.439382
-2.052809,7,174.179956
-2.195881,8,175.118882
-0.472987,6,175.82386
18.371816,20,178.025406
18.870804,20,180.636555
2.801822,5,181.217191
-0.324203,4,181.717698
18.621185,20,184.066561
15.04547,20,186.282638
-2.438158,8,187.22815
6.334462,18,189.179384
-1.518077,7,189.973459
18.100464,20,192.168596
-0.082352,5,192.687571
-2.683718,8,193.502085
2.528113,6,194.503179
-0.153593,4,194.988158
1.004467,6,195.631171
36.027317,20,197.801709
3.163215,10,198.907034
2.025513,6,199.545991
0.71752,6,200.225745
2.33151,4,200.665969
17.177891,20,202.775257
1.676361,6,203.406092
15.106298,20,205.605534
-1.013182,9,206.635776
15.575021,20,209.019297
-2.156234,9,210.038053
-1.283632,8,210.933286
2.582051,9,211.897287
16.810879,20,214.041646
0.689652,5,214.591275
-4.38469,12,215.908488
13.888833,20,218.025985
-0.531885,5,218.587146
18.42418,20,220.736753
18.249736,20,223.407199
-1.920481,12,224.849014
18.620357,20,227.087574
-0.491089,4,227.545967
1.095548,8,228.412818
-1.960914,7,229.17029
2.93718,8,230.010149
5.12567,7,230.799315
0.651755,6,231.460025
1.394381,6,232.124508
38.51857,20,234.389739
-2.560033,16,236.203296
1.314313,4,236.67638
12.342146,20,239.262147
-2.027695,7,240.060966
-1.798366,10,241.159382
0.283554,9,242.176911
18.849704,20,244.342948
-5.04285,9,245.357642
-1.372277,11,246.579919
-5.144973,12,247.873009
-2.238059,7,248.674647
-1.844875,6,249.348587
-1.175006,3,249.684995
-0.870636,5,250.220368
-1.142651,9,251.185183
2.164754,4,251.606097
18.713781,20,253.995635
-1.851904,6,254.713285
-0.922779,4,255.154328
-1.043469,5,255.777164
0.310222,9,256.741488
-2.26151,20,258.914191
0.00019,8,259.77186
-1.457668,8,260.653135
-1.186736,6,261.334599
-4.860931,15,262.872198
37.077545,20,264.960863
1.89895,6,265.593564
1.61238,3,265.906545
1.548173,12,267.56811
-3.332297,6,268.172063
-0.762434,6,268.820727
15.066582,20,270.974876
-3.713945,11,272.07835
1.117388,6,272.712548
-1.81375,8,273.554992
3.389688,14,275.018054
-0.65336,12,276.308259
0.365889,5,276.87344
7.078609,17,278.651978
4.547242,8,279.478117
4.578299,8,280.668936
15.653258,20,282.778095
-4.618502,11,283.931439
-1.34286,11,285.067152
-0.30173,3,285.409986
0.931309,5,285.979256
16.242361,20,288.082458
-0.693534,4,288.531574
18.105043,20,290.632237
2.530028,5,291.196936
0.568687,9,292.205598
15.757643,20,294.871603
10.023434,14,296.404694
