# This file has been generated by fmt_fig5.py
#
# date: datetime
# XXX-XXX: [°C] canopy temperature for given modality
# TS: [°C] average soil temperature
# Tair: [°C] average air temperature
# rs: [W.m-2] sun radiation
#
date;ARA-DI1;ARA-DI2;TOU-DI1;TOU-DI2;TS;Tair;rs
2015-07-08 00:00:00;22.0;20.9;22.0;20.7;20.7;21.1;-0.4
2015-07-08 05:00:00;16.0;15.6;16.0;15.7;15.7;15.6;0.1
2015-07-08 09:00:00;20.5;20.7;21.1;20.6;24.4;23.9;704.9
2015-07-08 11:00:00;26.3;27.0;27.7;26.9;41.2;29.0;966.5
2015-07-08 14:00:00;33.9;37.3;34.7;36.7;51.2;36.3;943.4
2015-07-08 17:00:00;37.0;38.2;38.0;37.8;43.7;36.9;203.0
2015-07-08 20:00:00;32.0;32.0;31.8;31.7;31.3;30.7;-0.6
2015-07-09 00:00:00;22.6;21.3;21.6;21.4;21.2;21.0;-1.3
2015-07-09 06:00:00;14.6;13.5;14.6;13.6;14.5;17.0;70.3
2015-07-09 09:00:00;25.9;26.3;26.3;27.1;35.6;28.7;797.2
2015-07-09 11:00:00;29.3;31.3;30.5;32.0;45.5;34.1;1026.1
