# This file has been generated by fmt_fig1.py
#
# date: datetime
# rh: [%] average relative humidity
# rs: [W.m-2] sun radiation
# tc: [°C] average air temperature
#
date;rh;rs;tc
2014-07-24 00:00:00;78.5;-0.2;16.5
2014-07-24 01:00:00;81.0;-0.2;16.1
2014-07-24 02:00:00;86.5;-0.7;15.3
2014-07-24 03:00:00;88.9;-1.7;14.8
2014-07-24 04:00:00;90.0;-2.7;14.5
2014-07-24 05:00:00;89.8;-3.7;14.7
2014-07-24 06:00:00;84.9;-4.7;15.7
2014-07-24 07:00:00;78.8;12.2;16.6
2014-07-24 08:00:00;73.6;63.8;17.5
2014-07-24 09:00:00;65.0;202.6;19.6
2014-07-24 10:00:00;55.9;530.5;21.9
2014-07-24 11:00:00;49.2;764.8;23.8
2014-07-24 12:00:00;42.9;874.9;25.5
2014-07-24 13:00:00;39.3;904.2;26.7
2014-07-24 14:00:00;37.8;845.1;27.5
2014-07-24 15:00:00;33.7;780.6;28.6
2014-07-24 16:00:00;30.5;818.1;29.6
2014-07-24 17:00:00;30.5;628.4;29.7
2014-07-24 18:00:00;32.9;261.1;28.7
2014-07-24 19:00:00;39.9;162.1;26.6
2014-07-24 20:00:00;48.6;95.5;24.1
2014-07-24 21:00:00;57.6;11.6;21.9
2014-07-24 22:00:00;66.3;-1.7;20.1
2014-07-24 23:00:00;74.2;-1.7;18.4
2014-08-19 00:00:00;81.0;-4.3;16.6
2014-08-19 01:00:00;82.9;-4.3;16.3
2014-08-19 02:00:00;87.4;-4.3;15.4
2014-08-19 03:00:00;90.3;-4.3;14.3
2014-08-19 04:00:00;92.7;-4.3;13.5
2014-08-19 05:00:00;94.5;-4.3;13.2
2014-08-19 06:00:00;93.5;-4.3;13.8
2014-08-19 07:00:00;89.5;0.5;14.5
2014-08-19 08:00:00;84.9;30.5;15.2
2014-08-19 09:00:00;78.1;87.5;16.7
2014-08-19 10:00:00;67.0;214.4;19.0
2014-08-19 11:00:00;55.8;583.3;21.7
