# This file has been generated by fmt_daily_carbon_uptake.py
#
# variety: grape variety
# year: year of measurement
# stage: pheno stage of measurement
# zone: Id of measured zone
# photo_net: [gC m-2 day-1] Carbon assimilated by leaves
#
variety;year;stage;zone;photo_net
tempranillo;1997;pea_size;1;1.4
tempranillo;1997;pea_size;2;3.5
tempranillo;1997;pea_size;3;4.5
tempranillo;1997;pea_size;4;5.9
tempranillo;1997;pea_size;5;5.2
tempranillo;1997;pea_size;6;3.4
tempranillo;1997;pea_size;7;1.8
tempranillo;1997;pea_size;8;0.3
tempranillo;1997;ripeness;1;1.0
tempranillo;1997;ripeness;2;1.8
tempranillo;1997;ripeness;3;2.1
tempranillo;1997;ripeness;4;2.3
tempranillo;1997;ripeness;5;2.8
tempranillo;1997;ripeness;6;2.4
tempranillo;1997;ripeness;7;1.5
tempranillo;1997;ripeness;8;0.7
tempranillo;1997;veraison;1;1.8
tempranillo;1997;veraison;2;2.8
tempranillo;1997;veraison;3;3.8
tempranillo;1997;veraison;4;3.5
tempranillo;1997;veraison;5;3.3
tempranillo;1997;veraison;6;3.0
tempranillo;1997;veraison;7;1.9
tempranillo;1997;veraison;8;0.5
tempranillo;1999;pea_size;1;2.6
tempranillo;1999;pea_size;2;3.2
tempranillo;1999;pea_size;3;5.6
tempranillo;1999;pea_size;4;7.0
tempranillo;1999;pea_size;5;5.0
tempranillo;1999;pea_size;6;3.5
tempranillo;1999;pea_size;7;2.3
tempranillo;1999;pea_size;8;0.4
tempranillo;1999;ripeness;1;1.2
tempranillo;1999;ripeness;2;2.1
tempranillo;1999;ripeness;3;2.4
tempranillo;1999;ripeness;4;3.5
tempranillo;1999;ripeness;5;1.9
tempranillo;1999;ripeness;6;2.0
tempranillo;1999;ripeness;7;1.5
tempranillo;1999;ripeness;8;0.5
tempranillo;1999;veraison;1;2.0
tempranillo;1999;veraison;2;2.9
tempranillo;1999;veraison;3;3.5
tempranillo;1999;veraison;4;4.2
tempranillo;1999;veraison;5;2.8
tempranillo;1999;veraison;6;2.2
tempranillo;1999;veraison;7;1.4
tempranillo;1999;veraison;8;0.7
