#{"t_start": 1715883063.9178703, "env_id": "DiscreteSteps-v0"}
r,l,t
-30.616758,12,1.665711
-9.114544,5,2.107763
-19.738083,9,2.918005
-8.522751,5,3.387789
11.949941,10,4.807779
-30.840792,8,5.525022
-12.832161,6,6.079225
-23.038226,8,6.815867
-10.443109,6,7.691541
-11.62363,7,8.363435
-21.201716,9,9.177389
-14.485964,9,9.988772
-25.114048,16,11.754923
-8.135844,4,12.129885
10.992687,15,13.85733
-17.216387,8,14.611526
-16.921261,9,15.436907
-15.147578,7,16.075846
-12.289112,6,16.604797
-10.691271,5,17.435001
-22.915244,10,18.337212
1.398337,3,18.631489
-14.672914,7,19.261082
-5.731624,10,20.511573
-8.125538,6,21.043539
-5.294702,6,21.58515
-13.222951,11,22.55335
-8.813573,5,23.02095
5.328086,9,24.18493
4.509854,10,25.074974
-13.254354,8,25.785852
-25.226942,16,27.615875
-15.262104,20,29.380249
-5.808895,5,30.195811
-5.549964,7,30.840801
-3.634683,3,31.114765
-15.875956,11,32.117918
0.000576,5,32.562086
4.906629,11,33.95191
-1.619285,4,34.346633
-0.953475,4,34.728853
-5.487627,5,35.160558
5.642694,13,36.698347
1.467095,5,37.143902
-5.866608,5,37.60645
4.956265,7,38.249232
-5.925268,6,38.793031
-4.834082,8,39.522326
-2.349613,3,40.151489
-5.793175,4,40.513598
-11.352619,8,41.240293
-10.533165,8,41.977913
23.279032,19,44.020061
-0.7214,5,44.463156
-4.956728,6,45.017094
-10.584896,6,45.552038
4.962367,11,46.881282
2.789098,9,47.694849
17.557104,11,48.669642
-16.076894,12,50.122324
-6.219444,20,51.874895
24.958962,19,53.907204
-3.121161,7,54.485461
1.700602,8,55.198734
16.167971,20,57.315988
0.119431,3,57.595206
2.169326,12,58.638269
3.537581,20,60.709762
6.092928,9,61.502309
-14.808926,15,63.126153
-5.022998,5,63.574386
-3.66194,6,64.086542
26.951145,20,66.18498
3.103863,6,66.714857
-7.26486,14,67.908674
5.815416,7,68.860464
-2.70978,7,69.440813
17.521552,20,71.162133
5.804879,20,73.259886
2.347261,8,73.96453
18.072882,20,76.064026
-7.005794,7,76.689759
23.398804,20,78.760766
22.885187,20,80.452904
-9.291573,20,82.508769
-0.983584,7,83.118594
