#{"t_start": 1715883063.9114826, "env_id": "DiscreteSteps-v0"}
r,l,t
-15.363791,8,1.260381
-34.787348,20,3.075701
-12.03885,4,3.455408
-11.278669,7,4.596353
-15.203551,10,5.482141
-13.303703,8,6.228319
-41.096999,14,7.868962
-5.220262,4,8.240487
-37.445696,19,9.936167
-7.76523,10,11.215701
-11.526254,13,12.380089
-5.726841,7,12.996097
-2.443662,6,13.923677
-6.37738,3,14.20998
-2.44785,6,14.758152
4.212669,5,15.183014
-21.950072,8,15.91794
-24.925343,14,17.573163
-8.794799,7,18.213786
-0.8226,4,18.588994
-5.983093,7,19.218152
-3.004645,6,19.749216
-6.572762,4,20.466563
8.181364,11,21.451451
6.853605,7,22.084113
-14.444825,9,22.899335
-13.032769,8,23.975796
-1.066937,11,24.952376
-8.840634,6,25.486673
-7.585325,5,25.932734
-7.388725,6,26.853035
-18.834169,20,28.621574
-20.591824,19,30.684568
4.004619,8,31.448415
-21.147261,16,32.883265
-3.375932,7,33.909035
6.975246,8,34.675627
-0.866702,7,35.319541
1.972837,6,35.852646
-19.157094,8,36.935733
-9.171531,7,37.563798
-10.140486,9,38.409644
-3.82835,4,38.749776
-0.033257,7,39.388756
14.880416,9,40.571916
-14.610647,17,42.123508
-5.215987,8,43.18526
-10.186157,7,43.805853
-17.590715,17,45.32541
1.440468,6,45.858411
-14.358363,5,46.667662
1.064642,9,47.462837
4.799999,10,48.375002
-8.081834,8,49.099943
-13.246716,11,50.435869
-18.491513,12,51.48031
-7.888315,7,52.099959
-1.334321,4,52.807732
5.368752,20,54.542653
-8.9338,10,55.436465
13.171421,14,57.020674
-7.14719,6,57.552593
-1.106806,4,57.901339
36.511434,20,59.984163
-1.319562,20,61.727629
12.420887,11,63.004123
-3.56469,13,64.152928
4.30056,14,65.695645
3.842297,4,66.063532
6.479481,20,67.756934
35.347897,20,69.844292
-3.429818,5,70.263734
26.361945,20,72.364034
-7.023362,6,72.893435
-9.671862,8,73.584527
25.442122,20,75.664462
-5.164755,6,76.234477
33.326942,20,78.300269
-3.804454,12,79.332364
11.162099,20,81.380928
35.69502,20,83.07564
10.814779,20,85.144697
13.163401,18,86.68912
-0.318532,6,87.554332
3.369172,11,88.518079
0.546847,6,89.014863
6.059903,20,91.165676
-1.155186,3,91.431369
-1.149953,8,92.131202
-5.978143,14,93.681635
-9.28011,6,94.208537
-10.97717,20,95.906677
36.341094,20,97.963818
-1.897309,5,98.426859
2.260239,20,100.844282
-2.851654,4,101.185984
-5.109011,6,101.989407
22.501404,20,104.214514
19.717197,20,105.941715
-2.075705,3,106.214436
10.927462,20,108.374175
15.689622,11,109.345098
19.312729,20,111.484951
16.07044,20,113.576784
20.523562,20,115.287384
16.164015,20,117.404845
4.988146,11,118.334845
6.025188,20,120.499148
12.485621,17,121.951345
-10.085854,4,122.665875
6.677335,16,124.014409
19.345929,20,126.083748
-9.50567,7,126.677349
22.690861,19,128.655272
-2.080468,3,128.914483
3.722318,7,129.514659
-7.564083,5,129.987384
-2.323338,7,130.574585
14.136738,20,132.684128
-14.044013,10,133.553082
5.229321,20,135.645965
-7.353451,10,136.529111
7.660091,20,138.632078
17.632225,20,140.353604
38.521178,20,142.474279
0.02519,20,144.515862
-6.915802,3,144.77453
39.127923,20,146.493204
-12.176102,7,147.458151
-4.348362,8,148.174063
2.507874,13,149.290769
17.41502,20,151.363275
-2.128115,9,152.133228
7.158491,20,154.215231
8.874676,20,155.945302
23.483323,20,158.040567
24.750897,20,160.130517
14.041628,20,161.868721
23.75178,20,163.995152
39.214798,20,165.708515
6.465235,20,167.79189
13.001263,20,169.956698
-4.896563,20,171.66336
39.686111,20,173.725135
19.054105,20,175.805467
30.635708,20,177.503352
13.817442,20,179.564188
27.080607,20,181.271017
39.530407,20,183.385298
-2.436263,20,185.462151
13.905571,20,187.155462
-2.750528,20,189.194578
4.114461,20,191.296569
9.871124,20,192.993913
-0.500208,13,194.456933
15.26905,20,196.186442
21.851094,20,198.37661
15.725474,20,200.057526
39.604507,20,202.104066
39.610739,20,204.180763
-9.549791,20,205.851736
7.096896,18,207.730225
2.789405,20,209.77152
17.122555,20,211.467149
3.25105,20,213.534584
16.762829,20,215.235758
-8.556368,5,216.034189
2.620546,20,217.715062
16.441621,20,219.73713
20.046998,20,221.411068
-15.990645,13,222.858459
15.644552,20,224.543106
14.62475,20,226.593451
-0.725775,20,228.608664
3.231505,20,230.274789
-3.98128,20,232.391488
12.125323,20,234.434559
26.683061,20,236.124483
9.403184,20,238.32021
-6.889381,3,238.577236
9.061928,20,240.63342
14.145068,20,242.323312
-7.952109,5,242.764362
13.45859,20,244.830989
11.403296,20,246.861782
39.484617,20,248.534955
12.068719,20,250.573245
2.712007,20,252.266244
18.634749,20,254.314833
-6.326603,20,256.366819
-5.560506,6,256.891526
11.628876,20,258.927656
22.101783,20,260.599892
39.690257,20,262.662528
-17.784068,20,264.348468
8.351478,20,266.605847
14.262029,20,268.641783
14.000516,20,270.326806
38.355121,20,272.464129
10.084157,20,274.56836
18.294643,20,276.288164
18.3043,20,278.386728
14.540429,20,280.069327
10.056136,20,282.137675
24.690918,20,284.183157
11.977113,20,285.881635
-9.811328,20,287.915981
38.655473,20,289.959395
16.490333,20,291.634498
16.053817,20,293.698017
26.16282,20,295.403513
15.237183,20,297.505525
14.391373,20,299.587111
1.330504,20,301.263248
16.619555,20,303.322345
2.030428,20,305.476435
2.274231,20,309.09412
9.435367,20,311.148263
-1.962169,6,311.667231
39.717678,20,313.737916
8.956215,20,315.414971
39.662982,20,317.480006
-4.968425,4,317.831723
-8.407962,20,319.875915
36.589525,20,321.567069
-13.446157,9,322.719544
7.44931,20,324.406372
18.670763,20,326.494705
-4.727144,20,328.2316
30.749938,20,330.387431
17.466357,20,332.448578
31.755974,20,334.161625
12.18597,20,336.375154
27.531625,20,338.456695
31.565211,20,340.148105
13.676229,20,342.18675
17.855426,20,343.894338
13.620276,20,345.974751
12.801884,20,348.078834
10.750181,20,349.805671
17.573505,20,351.892464
15.256537,20,354.022338
11.548486,20,355.807706
18.348751,20,358.049359
10.903042,20,359.80577
8.975152,20,361.984614
-1.591782,20,364.127695
24.250361,20,365.830442
39.185361,20,367.903463
39.675005,20,369.981069
16.031237,20,371.710535
39.126745,20,373.785287
33.926916,20,375.478858
18.306402,20,377.538363
-3.651639,17,379.390548
16.441536,20,381.080878
6.201844,20,383.147474
13.191038,20,384.844103
-6.90863,9,385.969351
9.353118,20,387.665966
31.37912,20,389.736093
10.114918,20,391.84134
15.398161,20,393.567559
39.580046,20,395.632406
12.496856,20,397.376051
-3.32593,5,398.228141
21.818695,20,399.9215
15.712632,20,402.065321
3.478051,15,403.374753
14.441148,20,405.46503
20.080209,20,407.655116
31.553017,20,409.350078
17.180886,20,411.440657
19.755246,20,413.142375
11.121057,20,415.498075
35.20221,20,417.636218
14.319092,20,419.324287
20.182461,20,421.398392
31.438008,20,423.486215
30.582579,20,425.187556
16.357914,20,427.245435
25.337695,20,428.954891
30.69318,20,430.981816
6.646313,20,433.023748
11.118367,20,434.705046
-1.323153,20,436.809529
14.142798,20,438.887646
-9.825026,20,440.601704
24.979883,20,442.710408
27.319245,20,444.406264
-4.361069,3,445.035022
39.660372,20,446.71171
11.747274,20,448.901204
5.66317,20,450.597029
23.810858,20,452.683309
37.228019,20,454.727974
39.714606,20,456.417506
33.503336,20,458.455017
19.667809,20,460.504324
14.08076,20,462.160964
34.912896,20,464.180337
-2.479149,9,464.931432
26.121696,20,466.974694
15.340642,20,468.663884
20.215395,20,470.734819
9.157109,20,472.765822
39.532957,20,474.444163
4.121046,20,476.481226
1.467845,20,478.163334
9.734106,20,480.231922
16.705036,20,482.307745
22.043737,20,484.016989
16.977805,20,486.083752
15.403322,20,488.16608
18.042287,20,489.820749
17.818312,20,491.856071
39.22706,20,493.553822
5.612017,20,495.634176
-1.78705,6,496.129263
9.984976,18,498.027276
7.088242,20,499.724453
5.032199,20,501.783437
12.378562,20,503.83611
