#{"t_start": 1715883063.907643, "env_id": "DiscreteSteps-v0"}
r,l,t
-12.757294,6,1.053742
-9.896361,7,1.70692
-14.469083,7,2.339196
-23.423084,9,3.150088
-12.462555,6,4.221951
-24.097094,9,5.028201
-15.9716,7,5.645414
-11.188512,5,6.120449
-12.366313,14,7.732769
-6.104967,4,8.134409
-18.17322,12,9.219494
-13.807174,8,9.911035
-12.913261,6,10.818016
-0.002758,11,11.79694
-17.893387,6,12.354026
-13.114808,10,13.249218
-18.671632,9,14.453185
-4.061447,10,15.359122
-6.0579,7,16.003248
1.038441,4,16.36627
-8.155949,3,16.646645
-20.508397,9,17.831738
-8.661489,6,18.381377
-24.985005,20,20.552039
-14.043311,12,21.628671
0.434207,6,22.157953
-2.229125,7,22.794171
-13.997278,9,23.940537
-7.107914,7,24.577022
-23.237211,18,26.209169
7.653796,7,27.205708
-0.017647,5,27.657289
-22.427088,15,28.9531
0.907778,4,29.312478
-8.356138,5,30.137175
-14.131708,10,31.045016
-3.3992,4,31.411235
-6.208139,7,32.032144
-11.328534,9,32.856875
-6.151926,14,34.569592
-11.384028,8,35.283735
-1.599098,5,35.74581
-5.974283,12,37.186509
-0.834723,11,38.169492
-8.316549,12,39.280678
-4.175431,7,40.284924
-5.048351,4,40.646882
1.704439,8,41.382102
-20.012982,17,43.259099
0.675383,5,43.698337
9.404658,9,44.505386
-0.418383,7,45.138847
-11.248337,9,45.93314
-7.518806,7,46.922665
-2.274055,3,47.171819
0.495398,5,47.636281
-3.185662,15,48.983116
11.743913,11,50.328712
-7.867412,7,50.964264
28.197837,20,53.05328
-13.303033,20,54.79691
-1.960889,5,55.240324
-3.868098,5,56.046029
-5.201068,11,56.994603
6.175992,20,59.118958
8.270972,11,60.058275
21.167236,13,61.16727
25.159961,19,63.167436
20.640095,14,64.394424
8.688298,13,65.868215
-17.042222,17,67.305374
22.430455,20,69.373112
-5.184514,4,69.730502
-3.461212,14,70.917235
-3.531272,8,72.013665
-6.262633,9,72.774314
13.630859,20,74.892857
11.375073,11,75.819352
-2.539294,4,76.199303
5.811014,20,78.274991
-6.928253,7,78.881991
12.267442,20,80.938393
3.991623,20,82.630765
-2.258491,20,84.724115
11.044439,13,85.813987
-3.840782,4,86.161688
-5.485538,12,87.529053
16.491781,20,89.246572
7.907579,19,91.317953
5.421263,11,92.294044
6.265678,20,94.372419
8.891221,13,95.462916
-12.203685,7,96.061803
-6.969293,8,97.111983
17.467674,11,98.049169
6.361964,20,100.449713
-8.733266,4,100.817379
-8.218235,6,101.419179
-27.741247,17,103.587593
8.62734,10,104.463386
19.233134,20,106.188204
-12.760379,11,107.588877
18.937609,20,109.318791
31.425811,20,111.459057
0.90026,20,113.551056
-1.158288,20,115.260723
37.352265,20,117.379134
-5.208179,7,117.969416
18.467298,20,120.127113
-8.473263,3,120.384906
1.014797,13,121.507569
-6.462203,6,122.025148
9.870749,20,124.089227
-2.70171,9,124.8694
18.978969,20,126.930481
16.115192,20,128.988928
-3.41644,8,129.680366
-1.205454,3,129.951619
15.826343,20,132.050679
1.18984,6,132.57987
-10.85227,5,133.021724
15.905493,20,135.101258
6.523323,20,136.847508
28.042607,20,138.954323
-12.378735,13,140.068393
2.887383,16,141.839106
14.523274,20,143.514594
5.206615,20,145.580997
15.889121,20,147.70349
17.546706,20,149.453726
38.138849,20,151.538502
14.759229,20,153.240393
-6.354851,5,154.029819
-8.45745,6,154.553641
29.104339,20,156.27015
13.582365,20,158.372897
11.982666,20,160.473184
-10.609424,7,161.091238
38.001976,20,163.219376
11.163323,20,164.920128
27.433878,20,167.003915
20.23873,20,168.715907
4.359382,20,170.864677
-4.506979,8,171.55777
13.923085,20,173.618875
39.633434,20,175.699989
15.856484,20,177.397238
2.605307,8,178.093401
18.394062,20,180.150467
14.104976,20,182.232521
7.561355,20,183.951225
-5.01598,4,184.293207
39.560009,20,186.342231
-3.747962,5,186.779562
-3.670793,20,188.819602
-7.381798,6,189.359748
23.130497,20,191.460546
13.471736,20,193.16353
39.368917,20,195.235331
-3.814392,9,195.989795
17.290382,20,198.184046
39.400981,20,199.862336
16.343866,20,201.910595
7.152827,20,203.986226
