#{"t_start": 1715891579.2606163, "env_id": "DiscreteSteps-v0"}
r,l,t
-20.634633,13,1.804449
-20.045209,14,3.482249
-17.928631,10,4.840132
-14.013672,9,5.934688
-10.313514,5,6.700737
-11.323148,8,7.665869
-9.000061,8,8.74992
-7.237597,4,9.188908
-6.449358,4,9.552948
-7.167688,4,9.953254
-6.272041,7,10.63572
-0.650822,6,11.201577
-7.963084,6,11.808581
-5.082947,5,12.268874
-15.870518,7,12.918196
-18.194773,17,14.513053
-5.647701,8,15.26381
-12.507932,7,15.890632
-8.511627,11,16.915318
-29.011499,10,17.834647
-21.837589,9,18.647352
-15.188612,8,19.493796
-7.371657,7,20.13632
15.853227,20,22.01352
10.316822,10,22.915143
10.448341,20,24.768477
25.022207,18,26.408511
0.442602,6,27.013658
0.696563,20,28.86331
15.754982,20,30.693264
-0.33378,20,32.481825
8.535838,20,34.290031
13.592849,20,36.048596
-2.107438,6,36.584406
15.791909,20,38.394655
2.168788,20,40.133259
24.054041,20,41.883554
-5.21304,6,42.460247
-0.432114,9,43.232083
17.862117,20,45.021179
-16.451342,20,46.810999
-5.930941,6,47.33904
38.700208,20,49.110357
37.991793,20,50.874008
24.670026,20,52.683833
-19.266183,20,54.438927
-9.683573,20,56.183108
-5.712144,20,57.965912
18.607123,20,59.768999
0.788264,20,61.547451
12.539181,20,63.300004
-2.353933,20,65.046666
11.538809,20,66.798009
39.54601,20,68.513158
11.769554,20,70.251608
39.749028,20,72.350086
37.953396,20,74.280123
33.013685,20,76.033939
18.323231,20,77.728323
12.960887,20,79.432536
16.629878,20,81.178294
8.466986,20,83.012387
5.2291,20,84.743112
12.194774,20,86.743753
10.153545,20,88.910845
29.456489,20,91.165129
34.452522,20,93.398165
7.32226,20,95.635469
-5.846588,15,97.33849
33.986775,20,99.70024
10.326112,20,101.835631
1.691933,17,103.75067
17.646892,20,105.949142
35.111511,20,108.11953
-15.430348,20,110.441723
-17.24858,20,112.607425
15.959932,20,114.739534
3.05817,20,116.940995
39.122892,20,119.390043
25.642066,20,121.625254
-14.416535,20,123.780144
-7.966696,20,126.100414
39.000186,20,128.437995
-10.202092,20,130.540081
4.09283,20,132.660477
11.95237,20,134.789723
-8.716966,20,137.107956
