#{"t_start": 1716399506.8622434, "env_id": "DiscreteSteps-v0"}
r,l,t
-7.391127,6,1.189583
-25.744915,14,2.451468
-14.259594,7,3.10569
-12.391573,8,4.250281
-3.814221,6,4.799609
-1.601248,12,5.871315
-2.012109,5,6.359066
-6.791515,7,7.407224
-27.309816,17,8.995481
11.635639,19,11.089017
-13.831777,6,11.649498
-13.579978,11,12.636523
-6.785412,4,13.033091
-10.3177,4,13.442497
2.3091,6,14.364699
-16.55421,9,15.209367
-7.134523,7,15.847987
-10.874243,7,16.537673
-12.101164,8,17.644559
-4.598777,3,17.931953
-4.238222,9,18.757647
-8.611628,8,19.517546
-0.660556,6,20.064506
-6.270871,4,20.92
-11.537466,4,21.293253
5.344396,15,22.701533
