#{"t_start": 1716399506.8587236, "env_id": "DiscreteSteps-v0"}
r,l,t
-1.620903,9,1.454836
-9.020227,9,2.250527
-11.420681,8,2.986017
-14.268559,6,3.536761
0.964125,14,5.240896
-12.144064,11,6.248609
-8.038571,5,6.702966
-15.109219,8,7.855479
-15.621735,7,8.504489
-11.390761,5,8.968441
-6.162706,5,9.408353
-10.233393,4,9.779049
-16.297161,6,10.693558
-29.666533,8,11.439338
-18.742695,7,12.085596
-25.666269,10,12.994375
-4.90873,4,13.416781
-6.027404,7,14.440664
-16.417185,8,15.182617
-11.53381,12,16.33054
-14.037674,12,17.823653
-5.677115,7,18.459884
-6.969806,10,19.382788
-13.767346,9,20.232675
-5.93637,4,21.092901
-9.126358,3,21.379076
-6.679669,6,21.924685
-8.182214,4,22.303682
-10.888422,3,22.579152
