#{"t_start": 1716399506.8557324, "env_id": "DiscreteSteps-v0"}
r,l,t
-17.320301,6,1.156925
-23.196688,10,2.05318
-22.731739,12,3.174274
-8.995463,11,4.582085
-6.035078,7,5.223773
6.723715,9,6.056151
-24.060924,11,7.485989
-12.851463,3,7.753987
-2.396765,4,8.116386
-6.32196,4,8.487376
-15.74668,7,9.146299
-14.097475,6,9.666088
-8.991904,10,10.96956
-6.073758,5,11.421479
-25.605123,8,12.17213
-23.942258,8,12.894326
-14.898844,8,14.052657
-7.589302,5,14.526332
-7.624287,4,14.894675
-2.157354,4,15.279145
-12.731331,7,15.927669
-0.760709,4,16.31305
-12.51956,7,16.956164
-2.695378,3,17.599098
-3.47032,6,18.186816
-4.786427,10,19.08333
-5.242398,4,19.483578
-4.144197,6,20.029167
-18.394383,5,20.992871
-12.536681,5,21.463916
-10.360707,9,22.286556
-8.558819,7,22.964532
