# This file has been generated by fmt_tab4.py
#
# variety: vine variety
# modality: irrigation deficit treatment
# date: datetime
# tc_POS_LIGHT: [°C] Canopy temperature for given position and whether leaves where shaded or not
# ts_LIGHT: [°C] Soil temperature whether soil was shaded or not
#
variety;modality;date;tc_clus_shd;tc_clus_sun;tc_up_shd;tc_up_sun;ts_shd;ts_sun
ara;di1;2015-07-08 05:00:00;16.2;15.9;15.9;15.8;16.7;16.3
ara;di1;2015-07-08 09:00:00;20.9;24.3;20.1;22.5;24.9;24.7
ara;di1;2015-07-08 11:00:00;27.0;30.3;26.1;27.9;31.8;44.0
ara;di1;2015-07-08 14:30:00;35.2;35.3;34.1;33.5;44.4;50.9
ara;di1;2015-07-08 17:00:00;36.6;37.4;35.8;36.0;41.2;49.9
ara;di1;2015-07-08 20:00:00;31.4;31.9;31.5;31.6;30.6;31.1
ara;di2;2015-07-08 05:00:00;15.6;15.3;15.4;15.3;15.7;15.5
ara;di2;2015-07-08 09:00:00;20.8;24.0;20.7;22.0;22.9;23.2
ara;di2;2015-07-08 11:00:00;27.0;29.5;26.9;27.5;29.3;37.7
ara;di2;2015-07-08 14:30:00;35.5;38.7;34.3;36.3;41.2;47.1
ara;di2;2015-07-08 17:00:00;36.8;39.0;36.1;38.0;41.3;43.5
ara;di2;2015-07-08 20:00:00;31.2;31.7;31.3;32.0;30.5;30.8
tou;di1;2015-07-08 05:00:00;16.0;15.8;15.6;15.5;16.2;16.4
tou;di1;2015-07-08 09:00:00;21.1;24.6;20.9;22.5;24.2;24.8
tou;di1;2015-07-08 11:00:00;28.4;30.8;27.5;28.8;31.0;41.0
tou;di1;2015-07-08 14:30:00;35.6;36.5;34.4;34.3;40.4;49.5
tou;di1;2015-07-08 17:00:00;36.6;38.5;35.8;36.8;39.8;46.5
tou;di1;2015-07-08 20:00:00;31.6;32.0;31.3;31.8;31.1;31.4
tou;di2;2015-07-08 05:00:00;15.6;15.9;15.2;15.0;15.8;16.0
tou;di2;2015-07-08 09:00:00;20.9;24.3;20.5;21.4;24.0;26.0
tou;di2;2015-07-08 11:00:00;27.3;30.3;26.6;27.8;29.6;39.0
tou;di2;2015-07-08 14:30:00;35.2;37.8;35.4;35.2;38.9;50.7
tou;di2;2015-07-08 17:00:00;36.6;39.0;36.1;37.0;41.1;48.7
tou;di2;2015-07-08 20:00:00;31.4;31.6;31.0;31.2;31.0;31.2
