# This file has been generated by fmt_rce.py
#
# variety: grape variety
# year: year of measurement
# stage: pheno stage of measurement
# ipar: [molphoton m-2 day-1] intercepted radiation (units corrected from paper)
# an: [molC m-2 day-1] Daily carbon assimilated by leaves (units corrected from paper)
#
variety;year;stage;an;ipar
tempranillo;1997;pea_size;0.03;3.93
tempranillo;1997;pea_size;0.15;9.41
tempranillo;1997;pea_size;0.12;15.06
tempranillo;1997;pea_size;0.29;17.46
tempranillo;1997;pea_size;0.30;26.52
tempranillo;1997;pea_size;0.38;36.06
tempranillo;1997;pea_size;0.44;38.86
tempranillo;1997;pea_size;0.50;47.86
tempranillo;1997;ripeness;0.06;3.49
tempranillo;1997;ripeness;0.13;13.13
tempranillo;1997;ripeness;0.08;16.38
tempranillo;1997;ripeness;0.20;16.45
tempranillo;1997;ripeness;0.23;23.61
tempranillo;1997;ripeness;0.14;27.08
tempranillo;1997;ripeness;0.17;44.32
tempranillo;1997;ripeness;0.19;46.60
tempranillo;1997;veraison;0.05;2.86
tempranillo;1997;veraison;0.16;8.77
tempranillo;1997;veraison;0.25;19.80
tempranillo;1997;veraison;0.15;25.56
tempranillo;1997;veraison;0.24;27.26
tempranillo;1997;veraison;0.27;34.16
tempranillo;1997;veraison;0.30;39.77
tempranillo;1997;veraison;0.32;40.81
tempranillo;1999;pea_size;0.04;1.42
tempranillo;1999;pea_size;0.20;9.62
tempranillo;1999;pea_size;0.29;19.81
tempranillo;1999;pea_size;0.27;22.50
tempranillo;1999;pea_size;0.22;24.46
tempranillo;1999;pea_size;0.42;31.89
tempranillo;1999;pea_size;0.48;45.49
tempranillo;1999;pea_size;0.58;50.06
tempranillo;1999;ripeness;0.04;3.54
tempranillo;1999;ripeness;0.13;15.37
tempranillo;1999;ripeness;0.18;17.70
tempranillo;1999;ripeness;0.11;24.62
tempranillo;1999;ripeness;0.16;27.44
tempranillo;1999;ripeness;0.18;32.07
tempranillo;1999;ripeness;0.29;38.83
tempranillo;1999;ripeness;0.21;40.97
tempranillo;1999;veraison;0.07;3.17
tempranillo;1999;veraison;0.12;12.79
tempranillo;1999;veraison;0.17;14.53
tempranillo;1999;veraison;0.19;22.43
tempranillo;1999;veraison;0.24;29.61
tempranillo;1999;veraison;0.24;32.34
tempranillo;1999;veraison;0.29;43.74
tempranillo;1999;veraison;0.36;46.18
