学校,省份,城市,层次,性质,985,211,双一流
安徽大学,安徽,合肥,本科,公办,否,是,是
合肥工业大学,安徽,合肥,本科,公办,否,是,是
安徽理工大学,安徽,淮南,本科,公办,否,否,否
安徽农业大学,安徽,合肥,本科,公办,否,否,否
蚌埠医学院,安徽,蚌埠,本科,公办,否,否,否
安徽中医药大学,安徽,合肥,本科,公办,否,否,否
阜阳师范大学,安徽,阜阳,本科,公办,否,否,否
淮北师范大学,安徽,淮北,本科,公办,否,否,否
皖西学院,安徽,六安,本科,公办,否,否,否
安徽财经大学,安徽,蚌埠,本科,公办,否,否,否
巢湖学院,安徽,合肥,本科,公办,否,否,否
铜陵学院,安徽,铜陵,本科,公办,否,否,否
安徽科技学院,安徽,滁州,本科,公办,否,否,否
蚌埠学院,安徽,蚌埠,本科,公办,否,否,否
亳州学院,安徽,亳州,本科,公办,否,否,否
安徽艺术学院,安徽,合肥,本科,公办,否,否,否
安徽新华学院,安徽,合肥,本科,民办,否,否,否
安徽外国语学院,安徽,合肥,本科,民办,否,否,否
安徽大学江淮学院,安徽,合肥,本科,民办,否,否,否
马鞍山学院,安徽,马鞍山,本科,民办,否,否,否
合肥经济学院,安徽,合肥,本科,民办,否,否,否
安徽医科大学临床医学院,安徽,合肥,本科,民办,否,否,否
淮北理工学院,安徽,淮北,本科,民办,否,否,否
北京大学,北京,北京,本科,公办,是,是,是
清华大学,北京,北京,本科,公办,是,是,是
北京工业大学,北京,北京,本科,公办,否,是,是
北京理工大学,北京,北京,本科,公办,是,是,是
北方工业大学,北京,北京,本科,公办,否,否,否
北京工商大学,北京,北京,本科,公办,否,否,否
北京邮电大学,北京,北京,本科,公办,否,是,是
北京建筑大学,北京,北京,本科,公办,否,否,否
北京电子科技学院,北京,北京,本科,公办,否,否,否
北京农学院,北京,北京,本科,公办,否,否,否
北京协和医学院,北京,北京,本科,公办,否,否,是
北京中医药大学,北京,北京,本科,公办,否,是,是
首都师范大学,北京,北京,本科,公办,否,否,是
北京外国语大学,北京,北京,本科,公办,否,是,是
北京语言大学,北京,北京,本科,公办,否,否,否
中央财经大学,北京,北京,本科,公办,否,是,是
北京物资学院,北京,北京,本科,公办,否,否,否
中国消防救援学院,北京,北京,本科,公办,否,否,否
中国人民公安大学,北京,北京,本科,公办,否,否,是
北京体育大学,北京,北京,本科,公办,否,是,是
中国音乐学院,北京,北京,本科,公办,否,否,是
中央戏剧学院,北京,北京,本科,公办,否,否,是
北京电影学院,北京,北京,本科,公办,否,否,否
中央民族大学,北京,北京,本科,公办,是,是,是
华北电力大学,北京,北京,本科,公办,否,是,是
北京信息科技大学,北京,北京,本科,公办,否,否,否
中国石油大学（北京）,北京,北京,本科,公办,否,是,是
北京联合大学,北京,北京,本科,公办,否,否,否
首钢工学院,北京,北京,本科,公办,否,否,否
北京警察学院,北京,北京,本科,公办,否,否,否
中国社会科学院大学,北京,北京,本科,公办,否,否,否
首都师范大学科德学院,北京,北京,本科,民办,否,否,否
北京邮电大学世纪学院,北京,北京,本科,民办,否,否,否
北京第二外国语学院中瑞酒店管理学院,北京,北京,本科,民办,否,否,否
华侨大学,福建,泉州,本科,公办,否,否,否
福建理工大学,福建,福州,本科,公办,否,否,否
集美大学,福建,厦门,本科,公办,否,否,否
福建中医药大学,福建,福州,本科,公办,否,否,否
闽江学院,福建,福州,本科,公办,否,否,否
宁德师范学院,福建,宁德,本科,公办,否,否,否
闽南师范大学,福建,漳州,本科,公办,否,否,否
三明学院,福建,三明,本科,公办,否,否,否
福建商学院,福建,福州,本科,公办,否,否,否
莆田学院,福建,莆田,本科,公办,否,否,否
福建江夏学院,福建,福州,本科,公办,否,否,否
仰恩大学,福建,泉州,本科,民办,否,否,否
闽南理工学院,福建,泉州,本科,民办,否,否,否
闽南科技学院,福建,泉州,本科,民办,否,否,否
厦门工学院,福建,厦门,本科,民办,否,否,否
厦门大学嘉庚学院,福建,漳州,本科,民办,否,否,否
集美大学诚毅学院,福建,厦门,本科,民办,否,否,否
福州外语外贸学院,福建,福州,本科,民办,否,否,否
福州理工学院,福建,福州,本科,民办,否,否,否
兰州大学,甘肃,兰州,本科,公办,是,是,是
兰州交通大学,甘肃,兰州,本科,公办,否,否,否
甘肃中医药大学,甘肃,兰州,本科,公办,否,否,否
兰州城市学院,甘肃,兰州,本科,公办,否,否,否
天水师范学院,甘肃,天水,本科,公办,否,否,否
兰州财经大学,甘肃,兰州,本科,公办,否,否,否
甘肃政法大学,甘肃,兰州,本科,公办,否,否,否
兰州文理学院,甘肃,兰州,本科,公办,否,否,否
兰州工业学院,甘肃,兰州,本科,公办,否,否,否
兰州资源环境职业技术大学,甘肃,兰州,本科,公办,否,否,否
兰州博文科技学院,甘肃,兰州,本科,民办,否,否,否
中山大学,广东,广州,本科,公办,是,是,是
汕头大学,广东,汕头,本科,公办,否,否,否
华南农业大学,广东,广州,本科,公办,否,否,是
广州医科大学,广东,广州,本科,公办,否,否,是
广州中医药大学,广东,广州,本科,公办,否,否,是
华南师范大学,广东,广州,本科,公办,否,是,是
惠州学院,广东,惠州,本科,公办,否,否,否
岭南师范学院,广东,湛江,本科,公办,否,否,否
嘉应学院,广东,梅州,本科,公办,否,否,否
广州美术学院,广东,广州,本科,公办,否,否,否
广东技术师范大学,广东,广州,本科,公办,否,否,否
广东财经大学,广东,广州,本科,公办,否,否,否
广州航海学院,广东,广州,本科,公办,否,否,否
仲恺农业工程学院,广东,广州,本科,公办,否,否,否
广东金融学院,广东,广州,本科,公办,否,否,否
东莞理工学院,广东,东莞,本科,公办,否,否,否
广东外语外贸大学,广东,广州,本科,公办,否,否,否
南方医科大学,广东,广州,本科,公办,否,否,否
南方科技大学,广东,深圳,本科,公办,否,否,是
深圳职业技术大学,广东,深圳,本科,公办,否,否,否
电子科技大学中山学院,广东,中山,本科,民办,否,否,否
